year,County,FarmCode,Postcode,FieldName,FieldNumber,crop,Pcode,UNIQUE,a,l,m,h,v,Density.Score,n,Density.States
2014,Cambridgeshire,midload,CB25_9LQ,chivers.top.left,1,ww,CB25_9LQ_grid_1,CB25_9LQ_grid_1_2014,2,91,26,37,8,1.743902439,164,5
2014,Cambridgeshire,midload,CB25_9LQ,chivers.bottom.right,2,ww,CB25_9LQ_grid_2,CB25_9LQ_grid_2_2014,7,104,33,14,0,1.341772152,158,4
2014,Cambridgeshire,temple,CB7_4SS,sandy.ground,1,ww,CB7_4SS_grid_1,CB7_4SS_grid_1_2014,86,112,0,0,0,0.565656566,198,2
2014,Cambridgeshire,temple,CB7_4SS,sedgefen,2,ww,CB7_4SS_grid_2,CB7_4SS_grid_2_2014,80,42,3,0,0,0.384,125,3
2014,Warwickshire,squab.hall,CV33_9QB,field.3,1,ww,CV33_9QB_grid_1,CV33_9QB_grid_1_2014,33,157,14,3,0,0.937198068,207,4
2014,Warwickshire,squab.hall,CV33_9QB,field.5,2,ww,CV33_9QB_grid_2,CV33_9QB_grid_2_2014,5,57,10,2,0,1.121621622,74,4
2014,Warwickshire,gaydon.hill,CV35_0HQ,shooters.bank,1,ww,CV35_0HQ_grid_1,CV35_0HQ_grid_1_2014,0,128,44,13,11,1.525510204,196,4
2014,Warwickshire,gaydon.hill,CV35_0HQ,mushroom.field,2,ww,CV35_0HQ_grid_2,CV35_0HQ_grid_2_2014,0,27,74,92,38,2.61038961,231,4
2014,Warwickshire,croft,CV37_7NF,big.meadow,1,ww,CV37_7NF_grid_1,CV37_7NF_grid_1_2014,5,160,13,0,0,1.04494382,178,3
2014,Warwickshire,croft,CV37_7NF,new.bridge,2,ww,CV37_7NF_grid_2,CV37_7NF_grid_2_2014,23,129,5,0,0,0.885350318,157,3
2014,Nottinghamshire,magpie.hall,DN22_0LB,s15,1,ww,DN22_0LB_grid_1,DN22_0LB_grid_1_2014,0,16,34,79,100,3.148471616,229,4
2014,Nottinghamshire,magpie.hall,DN22_0LB,s16,2,ww,DN22_0LB_grid_2,DN22_0LB_grid_2_2014,0,33,11,29,26,2.484848485,99,4
2014,Lincolnshire,grange,DN36_5UP,stones,1,ww,DN36_5UP_grid_1,DN36_5UP_grid_1_2014,67,103,16,6,5,0.878172589,197,5
2014,Lincolnshire,grange,DN36_5UP,grimoldbys,2,ww,DN36_5UP_grid_2,DN36_5UP_grid_2_2014,0,23,21,25,54,2.894308943,123,4
2014,Lincolnshire,grange.faulding,DN40_3PX,glebe.22,1,ww,DN40_3PX_grid_1,DN40_3PX_grid_1_2014,0,112,52,19,23,1.77184466,206,4
2014,Lincolnshire,grange.faulding,DN40_3PX,glebe.24,2,ww,DN40_3PX_grid_2,DN40_3PX_grid_2_2014,0,24,74,125,13,2.538135593,236,4
2014,South Yorks,highfields,DN5_7UJ,common.hill,1,ww,DN5_7UJ_grid_1,DN5_7UJ_grid_1_2014,0,20,51,92,67,2.895652174,230,4
2014,South Yorks,highfields,DN5_7UJ,rig.field,2,ww,DN5_7UJ_grid_2,DN5_7UJ_grid_2_2014,17,63,34,20,7,1.553191489,141,5
2014,South Yorks,manor.robinson,DN7_5TG,front.field,1,ww,DN7_5TG_grid_1,DN7_5TG_grid_1_2014,0,50,37,39,55,2.546961326,181,4
2014,South Yorks,manor.robinson,DN7_5TG,buckleys,2,ww,DN7_5TG_grid_2,DN7_5TG_grid_2_2014,0,62,40,102,31,2.434042553,235,4
2014,Buckinghamshire,moorleys,HP18_9QQ,wells.road,1,ww,HP18_9QQ_grid_1,HP18_9QQ_grid_1_2014,0,0,13,53,205,3.708487085,271,3
2014,Buckinghamshire,moorleys,HP18_9QQ,cow.road,2,ww,HP18_9QQ_grid_2,HP18_9QQ_grid_2_2014,1,26,31,9,4,1.845070423,71,5
2014,East Riding of Yorkshire,new.headlands,HU11_4QA,dottoms,1,ww,HU11_4QA_grid_1,HU11_4QA_grid_1_2014,0,16,25,69,94,3.181372549,204,4
2014,East Riding of Yorkshire,new.headlands,HU11_4QA,back.of.beans,2,ww,HU11_4QA_grid_2,HU11_4QA_grid_2_2014,0,95,47,44,26,2.004716981,212,4
2014,East Riding of Yorkshire,grange.patchett,HU15_1RG,back.field,1,ww,HU15_1RG_grid_1,HU15_1RG_grid_1_2014,42,178,20,4,0,0.942622951,244,4
2014,East Riding of Yorkshire,grange.patchett,HU15_1RG,15.acre.greenoak,2,ww,HU15_1RG_grid_2,HU15_1RG_grid_2_2014,6,122,6,0,0,1,134,3
2014,East Riding of Yorkshire,bransholme.dairy,HU7_4YP,field.3,1,ww,HU7_4YP_grid_1,HU7_4YP_grid_1_2014,15,156,31,10,6,1.247706422,218,5
2014,East Riding of Yorkshire,bransholme.dairy,HU7_4YP,field.2,2,ww,HU7_4YP_grid_2,HU7_4YP_grid_2_2014,6,98,31,21,7,1.539877301,163,5
2014,Norfolk,hill,IP25_7EF,arable,1,ww,IP25_7EF_grid_1,IP25_7EF_grid_1_2014,87,47,4,2,0,0.435714286,140,4
2014,Norfolk,hill,IP25_7EF,bush.meadow,2,ww,IP25_7EF_grid_2,IP25_7EF_grid_2_2014,0,15,31,53,72,3.064327485,171,4
2014,Leicestershire,welldale,LE12_6JD,20.acre.railway,1,ww,LE12_6JD_grid_1,LE12_6JD_grid_1_2014,16,74,21,2,1,1.105263158,114,5
2014,Leicestershire,welldale,LE12_6JD,17.acre.middle,2,ww,LE12_6JD_grid_2,LE12_6JD_grid_2_2014,39,88,17,14,20,1.370786517,178,5
2014,Northamptonshire,fox.and.hounds,LE16_7UG,19.acre,1,ww,LE16_7UG_grid_1,LE16_7UG_grid_1_2014,0,107,56,8,0,1.421052632,171,3
2014,Northamptonshire,fox.and.hounds,LE16_7UG,25.acre,2,ww,LE16_7UG_grid_2,LE16_7UG_grid_2_2014,3,123,31,2,0,1.201257862,159,4
2014,Northamptonshire,poplars,LE16_8TB,seeds,1,ww,LE16_8TB_grid_1,LE16_8TB_grid_1_2014,0,105,51,8,1,1.424242424,165,4
2014,Northamptonshire,poplars,LE16_8TB,18.acre,2,ww,LE16_8TB_grid_2,LE16_8TB_grid_2_2014,0,39,83,34,5,2.031055901,161,4
2014,Lincolnshire,hall,LN1_2LL,top.cliffe,1,ww,LN1_2LL_grid_1,LN1_2LL_grid_1_2014,47,50,9,6,0,0.767857143,112,4
