"population","field","farm","postcode","county","year","fieldnumber","crop","eastings_BNG","northings_BNG","lat_WGS","long_WGS","a","l","m","h","v","den_mean","den_n","Density.States","surv_mean","surv_sd","surv_se","surv_n"
1,"chivers.top.left","midload","CB25_9LQ","Cambridgeshire",2014,1,"ww","550094.1","267073.5","52.281275999999998","0.198848",2,91,26,37,8,1.743902439,164,5,0.705555555666667,0.259272486435067,0.183333333333333,2
2,"chivers.bottom.right","midload","CB25_9LQ","Cambridgeshire",2014,2,"ww","550373.1","267403","52.28416","0.20308100000000001",7,104,33,14,0,1.341772152,158,4,0.75,0.196418550015327,0.138888888666667,2
3,"sandy.ground","temple","CB7_4SS","Cambridgeshire",2014,1,"ww","562559","286844.3333","52.455325999999999","0.39098500000000003",86,112,0,0,0,0.565656566,198,2,0.611111110833333,0.314269680448787,0.222222222166667,2
4,"sedgefen","temple","CB7_4SS","Cambridgeshire",2014,2,"ww","567849.33330000006","283624","52.424802999999997","0.46714899999999998",80,42,3,0,0,0.384,125,3,0.1944444445,0.117851129962056,0.0833333331666667,2
5,"field.3","squab.hall","CV33_9QB","Warwickshire",2014,1,"ww","432013.6","261714.6","52.252645000000001","-1.5324629999999999",33,157,14,3,0,0.937198068,207,4,0.861111111,0.0392837099087845,0.0277777776666667,2
6,"field.5","squab.hall","CV33_9QB","Warwickshire",2014,2,"ww","432379.5","262017.9","52.25535","-1.527075",5,57,10,2,0,1.121621622,74,4,0.8055555555,0.117851129962056,0.0833333331666667,2
7,"shooters.bank","gaydon.hill","CV35_0HQ","Warwickshire",2014,1,"ww","438469.9","256153.3","52.202235999999999","-1.43852",0,128,44,13,11,1.525510204,196,4,0.9444444445,0.0785674200532712,0.0555555555,2
8,"mushroom.field","gaydon.hill","CV35_0HQ","Warwickshire",2014,2,"ww","438315.2","256366.9","52.204166999999998","-1.44076",0,27,74,92,38,2.61038961,231,4,0.75,0.196418550015327,0.138888888666667,2
9,"big.meadow","croft","CV37_7NF","Warwickshire",2014,1,"ww","423395.3","253604.1","52.180160999999998","-1.6592690000000001",5,160,13,0,0,1.04494382,178,3,0.638888888833333,0.0392837101444867,0.0277777778333333,2
10,"new.bridge","croft","CV37_7NF","Warwickshire",2014,2,"ww","423147.5","253483.7","52.179088999999998","-1.662901",23,129,5,0,0,0.885350318,157,3,0.583333333333333,0.274985970775705,0.194444444666667,2
11,"s15","magpie.hall","DN22_0LB","Nottinghamshire",2014,1,"ww","476745.7","377422.2","53.288204999999998","-0.85019999999999996",0,16,34,79,100,3.148471616,229,4,0.722222222333333,0.157134840106542,0.111111111,2
12,"s16","magpie.hall","DN22_0LB","Nottinghamshire",2014,2,"ww","476214.9","377390.8","53.287998999999999","-0.85816800000000004",0,33,11,29,26,2.484848485,99,4,0.9166666665,0.0392837101444867,0.0277777778333333,2
13,"stones","grange","DN36_5UP","Lincolnshire",2014,1,"ww","534024.30000000005","401065","53.489218999999999","1.8609000000000001E-2",67,103,16,6,5,0.878172589,197,5,0.472222222166667,0.274985970540003,0.1944444445,2
14,"grimoldbys","grange","DN36_5UP","Lincolnshire",2014,2,"ww","532630.19999999995","402477.8","53.502262999999999","-1.792E-3",0,23,21,25,54,2.894308943,123,4,0.738888888833333,0.290699454409235,0.2055555555,2
15,"glebe.22","grange.faulding","DN40_3PX","Lincolnshire",2014,1,"ww","513046.5","421512.9","53.677852999999999","-0.29000900000000002",0,112,52,19,23,1.77184466,206,4,0.734126984,0.297433804807265,0.210317460333333,2
16,"glebe.24","grange.faulding","DN40_3PX","Lincolnshire",2014,2,"ww","513854.6","421496.3","53.677529","-0.27778700000000001",0,24,74,125,13,2.538135593,236,4,0.865079365166667,0.190806591625288,0.134920634833333,2
