"Field_no","field_name","crop1","crop2","crop3","crop4","crop5","crop6","yield.1","output.1","fertcost.1","seedcost.1","herbcost.1","sundry.1","varcost.1","gmargin.1","fuelcost.1","labcost.1","opcost.1","grossprof.1","rotgrossprof.1","yield.2","output.2","fertcost.2","seedcost.2","herbcost.2","sundry.2","varcost.2","gmargin.2","fuelcost.2","labcost.2","opcost.2","grossprof.2","rotgrossprof.2","yield.3","output.3","fertcost.3","seedcost.3","herbcost.3","sundry.3","varcost.3","gmargin.3","fuelcost.3","labcost.3","opcost.3","grossprof.3","rotgrossprof.3","yield.4","output.4","fertcost.4","seedcost.4","herbcost.4","sundry.4","varcost.4","gmargin.4","fuelcost.4","labcost.4","opcost.4","grossprof.4","rotgrossprof.4","yield.5","output.5","fertcost.5","seedcost.5","herbcost.5","sundry.5","varcost.5","gmargin.5","fuelcost.5","labcost.5","opcost.5","grossprof.5","rotgrossprof.5","yield.6","output.6","fertcost.6","seedcost.6","herbcost.6","sundry.6","varcost.6","gmargin.6","fuelcost.6","labcost.6","opcost.6","grossprof.6","rotgrossprof.6","totalrotgrossprof"
1,"N_heavy_HD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",8.29,1735.93,191.76,72,171.09,182,616.85,1119.08,117,62,179,940.08,156.68,7.461,1584.63,191.76,72,171.09,182,616.85,967.78,114,60,174,793.78,132.3,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,8.29,1735.93,191.76,72,171.09,182,616.85,1119.08,117,62,179,940.08,156.68,7.0465,1508.99,191.76,72,171.09,182,616.85,892.14,114,60,174,718.14,119.69,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,747.41
2,"N_heavy_VD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",8.29,1735.93,191.76,72,171.09,182,616.85,1119.08,117,62,179,940.08,156.68,7.461,1584.63,191.76,72,171.09,182,616.85,967.78,114,60,174,793.78,132.3,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,8.29,1735.93,191.76,72,171.09,182,616.85,1119.08,117,62,179,940.08,156.68,7.0465,1508.99,191.76,72,171.09,182,616.85,892.14,114,60,174,718.14,119.69,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,747.41
3,"N_heavy_LD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",8.29,1735.93,191.76,72,168.66,182,614.42,1121.51,117,62,179,942.51,157.08,7.461,1584.63,191.76,72,168.66,182,614.42,970.21,114,60,174,796.21,132.7,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,8.29,1735.93,191.76,72,168.66,182,614.42,1121.51,117,62,179,942.51,157.08,7.0465,1508.99,191.76,72,168.66,182,614.42,894.57,114,60,174,720.57,120.09,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,749.01
4,"N_heavy_MD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",8.29,1735.93,191.76,72,168.66,182,614.42,1121.51,117,62,179,942.51,157.08,7.461,1584.63,191.76,72,168.66,182,614.42,970.21,114,60,174,796.21,132.7,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,8.29,1735.93,191.76,72,168.66,182,614.42,1121.51,117,62,179,942.51,157.08,7.0465,1508.99,191.76,72,168.66,182,614.42,894.57,114,60,174,720.57,120.09,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,749.01
5,"N_heavy_LD-LR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",8.29,1735.93,191.76,72,168.66,182,614.42,1121.51,117,62,179,942.51,157.08,7.461,1584.63,191.76,72,168.66,182,614.42,970.21,114,60,174,796.21,132.7,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,8.29,1735.93,191.76,72,168.66,182,614.42,1121.51,117,62,179,942.51,157.08,7.0465,1508.99,191.76,72,168.66,182,614.42,894.57,114,60,174,720.57,120.09,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,749.01
6,"N_heavy_MD-LR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",8.29,1735.93,191.76,72,168.66,182,614.42,1121.51,117,62,179,942.51,157.08,7.461,1584.63,191.76,72,168.66,182,614.42,970.21,114,60,174,796.21,132.7,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,8.29,1735.93,191.76,72,168.66,182,614.42,1121.51,117,62,179,942.51,157.08,7.0465,1508.99,191.76,72,168.66,182,614.42,894.57,114,60,174,720.57,120.09,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,749.01
7,"N_medium_HD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",7.35,1564.38,191.76,72,171.09,182,616.85,947.53,104,56,160,787.53,131.25,6.615,1430.24,191.76,72,171.09,182,616.85,813.39,114,62,176,637.39,106.23,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,7.35,1564.38,191.76,72,171.09,182,616.85,947.53,104,56,160,787.53,131.25,6.2475,1363.17,191.76,72,171.09,182,616.85,746.32,114,62,176,570.32,95.05,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,598.46
8,"N_medium_VD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",7.35,1564.38,191.76,72,171.09,182,616.85,947.53,104,56,160,787.53,131.25,6.615,1430.24,191.76,72,171.09,182,616.85,813.39,114,62,176,637.39,106.23,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,7.35,1564.38,191.76,72,171.09,182,616.85,947.53,104,56,160,787.53,131.25,6.2475,1363.17,191.76,72,171.09,182,616.85,746.32,114,62,176,570.32,95.05,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,598.46
9,"N_medium_LD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",7.35,1564.38,191.76,72,168.66,182,614.42,949.96,104,56,160,789.96,131.66,6.615,1430.24,191.76,72,168.66,182,614.42,815.82,114,62,176,639.82,106.64,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,7.35,1564.38,191.76,72,168.66,182,614.42,949.96,104,56,160,789.96,131.66,6.2475,1363.17,191.76,72,168.66,182,614.42,748.75,114,62,176,572.75,95.46,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,600.1
10,"N_medium_MD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",7.35,1564.38,191.76,72,168.66,182,614.42,949.96,104,56,160,789.96,131.66,6.615,1430.24,191.76,72,168.66,182,614.42,815.82,114,62,176,639.82,106.64,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,7.35,1564.38,191.76,72,168.66,182,614.42,949.96,104,56,160,789.96,131.66,6.2475,1363.17,191.76,72,168.66,182,614.42,748.75,114,62,176,572.75,95.46,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,600.1
