"Field_no","field_name","crop1","crop2","crop3","crop4","crop5","crop6","yield.1","output.1","fertcost.1","seedcost.1","herbcost.1","sundry.1","varcost.1","gmargin.1","fuelcost.1","labcost.1","opcost.1","grossprof.1","rotgrossprof.1","yield.2","output.2","fertcost.2","seedcost.2","herbcost.2","sundry.2","varcost.2","gmargin.2","fuelcost.2","labcost.2","opcost.2","grossprof.2","rotgrossprof.2","yield.3","output.3","fertcost.3","seedcost.3","herbcost.3","sundry.3","varcost.3","gmargin.3","fuelcost.3","labcost.3","opcost.3","grossprof.3","rotgrossprof.3","yield.4","output.4","fertcost.4","seedcost.4","herbcost.4","sundry.4","varcost.4","gmargin.4","fuelcost.4","labcost.4","opcost.4","grossprof.4","rotgrossprof.4","yield.5","output.5","fertcost.5","seedcost.5","herbcost.5","sundry.5","varcost.5","gmargin.5","fuelcost.5","labcost.5","opcost.5","grossprof.5","rotgrossprof.5","yield.6","output.6","fertcost.6","seedcost.6","herbcost.6","sundry.6","varcost.6","gmargin.6","fuelcost.6","labcost.6","opcost.6","grossprof.6","rotgrossprof.6","totalrotgrossprof"
1,"N_heavy_HD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",6.66,1438.45,191.76,72,171.09,182,616.85,821.6,115,62,177,644.6,107.43,5.994,1316.9,191.76,72,171.09,182,616.85,700.06,112,60,172,528.06,88.01,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,6.66,1438.45,191.76,72,171.09,182,616.85,821.6,115,62,177,644.6,107.43,5.661,1256.13,191.76,72,171.09,182,616.85,639.28,112,60,172,467.28,77.88,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,562.81
2,"N_heavy_VD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",6.66,1438.45,191.76,72,171.09,182,616.85,821.6,115,62,177,644.6,107.43,5.994,1316.9,191.76,72,171.09,182,616.85,700.06,112,60,172,528.06,88.01,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,6.66,1438.45,191.76,72,171.09,182,616.85,821.6,115,62,177,644.6,107.43,5.661,1256.13,191.76,72,171.09,182,616.85,639.28,112,60,172,467.28,77.88,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,562.81
3,"N_heavy_LD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",6.66,1438.45,191.76,72,168.66,182,614.42,824.03,115,62,177,647.03,107.84,5.994,1316.9,191.76,72,168.66,182,614.42,702.49,112,60,172,530.49,88.41,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,6.66,1438.45,191.76,72,168.66,182,614.42,824.03,115,62,177,647.03,107.84,5.661,1256.13,191.76,72,168.66,182,614.42,641.71,112,60,172,469.71,78.29,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,564.44
4,"N_heavy_MD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",6.66,1438.45,191.76,72,168.66,182,614.42,824.03,115,62,177,647.03,107.84,5.994,1316.9,191.76,72,168.66,182,614.42,702.49,112,60,172,530.49,88.41,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,6.66,1438.45,191.76,72,168.66,182,614.42,824.03,115,62,177,647.03,107.84,5.661,1256.13,191.76,72,168.66,182,614.42,641.71,112,60,172,469.71,78.29,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,564.44
5,"N_heavy_LD-LR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",6.66,1438.45,191.76,72,168.66,182,614.42,824.03,115,62,177,647.03,107.84,5.994,1316.9,191.76,72,168.66,182,614.42,702.49,112,60,172,530.49,88.41,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,6.66,1438.45,191.76,72,168.66,182,614.42,824.03,115,62,177,647.03,107.84,5.661,1256.13,191.76,72,168.66,182,614.42,641.71,112,60,172,469.71,78.29,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,564.44
6,"N_heavy_MD-LR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",6.66,1438.45,191.76,72,168.66,182,614.42,824.03,115,62,177,647.03,107.84,5.994,1316.9,191.76,72,168.66,182,614.42,702.49,112,60,172,530.49,88.41,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,6.66,1438.45,191.76,72,168.66,182,614.42,824.03,115,62,177,647.03,107.84,5.661,1256.13,191.76,72,168.66,182,614.42,641.71,112,60,172,469.71,78.29,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,564.44
7,"N_medium_HD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",5.91,1301.57,191.76,72,171.09,182,616.85,684.73,102,55,157,527.73,87.95,5.319,1193.72,191.76,72,171.09,182,616.85,576.87,112,61,173,403.87,67.31,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,5.91,1301.57,191.76,72,171.09,182,616.85,684.73,102,55,157,527.73,87.95,5.0235,1139.79,191.76,72,171.09,182,616.85,522.94,112,61,173,349.94,58.32,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,436.21
8,"N_medium_VD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",5.91,1301.57,191.76,72,171.09,182,616.85,684.73,102,55,157,527.73,87.95,5.319,1193.72,191.76,72,171.09,182,616.85,576.87,112,61,173,403.87,67.31,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,5.91,1301.57,191.76,72,171.09,182,616.85,684.73,102,55,157,527.73,87.95,5.0235,1139.79,191.76,72,171.09,182,616.85,522.94,112,61,173,349.94,58.32,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,436.21
9,"N_medium_LD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",5.91,1301.57,191.76,72,168.66,182,614.42,687.16,102,55,157,530.16,88.36,5.319,1193.72,191.76,72,168.66,182,614.42,579.3,112,61,173,406.3,67.72,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,5.91,1301.57,191.76,72,168.66,182,614.42,687.16,102,55,157,530.16,88.36,5.0235,1139.79,191.76,72,168.66,182,614.42,525.37,112,61,173,352.37,58.73,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,437.85
10,"N_medium_MD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",5.91,1301.57,191.76,72,168.66,182,614.42,687.16,102,55,157,530.16,88.36,5.319,1193.72,191.76,72,168.66,182,614.42,579.3,112,61,173,406.3,67.72,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,5.91,1301.57,191.76,72,168.66,182,614.42,687.16,102,55,157,530.16,88.36,5.0235,1139.79,191.76,72,168.66,182,614.42,525.37,112,61,173,352.37,58.73,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,437.85
11,"N_medium_LD-LR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",5.91,1301.57,191.76,72,168.66,182,614.42,687.16,102,55,157,530.16,88.36,5.319,1193.72,191.76,72,168.66,182,614.42,579.3,112,61,173,406.3,67.72,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,5.91,1301.57,191.76,72,168.66,182,614.42,687.16,102,55,157,530.16,88.36,5.0235,1139.79,191.76,72,168.66,182,614.42,525.37,112,61,173,352.37,58.73,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,437.85
12,"N_medium_MD-LR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",5.91,1301.57,191.76,72,168.66,182,614.42,687.16,102,55,157,530.16,88.36,5.319,1193.72,191.76,72,168.66,182,614.42,579.3,112,61,173,406.3,67.72,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,5.91,1301.57,191.76,72,168.66,182,614.42,687.16,102,55,157,530.16,88.36,5.0235,1139.79,191.76,72,168.66,182,614.42,525.37,112,61,173,352.37,58.73,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,437.85
13,"N_light_HD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",4.83,1104.47,142.06,72,171.09,182,567.15,537.33,90,48,138,399.33,66.55,4.347,1016.33,142.06,72,171.09,182,567.15,449.18,95,51,146,303.18,50.53,2.37,1016.95,202.3,23.49,67.26,192,485.05,531.9,174,95,269,262.9,43.82,4.83,1104.47,142.06,72,171.09,182,567.15,537.33,90,48,138,399.33,66.55,4.1055,972.25,142.06,72,171.09,182,567.15,405.1,95,51,146,259.1,43.18,2.37,1016.95,202.3,23.49,67.26,192,485.05,531.9,174,95,269,262.9,43.82,314.45
14,"N_light_VD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",4.83,1104.47,142.06,72,171.09,182,567.15,537.33,90,48,138,399.33,66.55,4.347,1016.33,142.06,72,171.09,182,567.15,449.18,95,51,146,303.18,50.53,2.37,1016.95,202.3,23.49,67.26,192,485.05,531.9,174,95,269,262.9,43.82,4.83,1104.47,142.06,72,171.09,182,567.15,537.33,90,48,138,399.33,66.55,4.1055,972.25,142.06,72,171.09,182,567.15,405.1,95,51,146,259.1,43.18,2.37,1016.95,202.3,23.49,67.26,192,485.05,531.9,174,95,269,262.9,43.82,314.45
15,"N_light_LD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",4.83,1104.47,142.06,72,168.66,182,564.72,539.76,90,48,138,401.76,66.96,4.347,1016.33,142.06,72,168.66,182,564.72,451.61,95,51,146,305.61,50.93,2.37,1016.95,202.3,23.49,67.26,192,485.05,531.9,174,95,269,262.9,43.82,4.83,1104.47,142.06,72,168.66,182,564.72,539.76,90,48,138,401.76,66.96,4.1055,972.25,142.06,72,168.66,182,564.72,407.53,95,51,146,261.53,43.59,2.37,1016.95,202.3,23.49,67.26,192,485.05,531.9,174,95,269,262.9,43.82,316.08
16,"N_light_MD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",4.83,1104.47,142.06,72,168.66,182,564.72,539.76,90,48,138,401.76,66.96,4.347,1016.33,142.06,72,168.66,182,564.72,451.61,95,51,146,305.61,50.93,2.37,1016.95,202.3,23.49,67.26,192,485.05,531.9,174,95,269,262.9,43.82,4.83,1104.47,142.06,72,168.66,182,564.72,539.76,90,48,138,401.76,66.96,4.1055,972.25,142.06,72,168.66,182,564.72,407.53,95,51,146,261.53,43.59,2.37,1016.95,202.3,23.49,67.26,192,485.05,531.9,174,95,269,262.9,43.82,316.08
17,"N_light_LD-LR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",4.83,1104.47,142.06,72,168.66,182,564.72,539.76,90,48,138,401.76,66.96,4.347,1016.33,142.06,72,168.66,182,564.72,451.61,95,51,146,305.61,50.93,2.37,1016.95,202.3,23.49,67.26,192,485.05,531.9,174,95,269,262.9,43.82,4.83,1104.47,142.06,72,168.66,182,564.72,539.76,90,48,138,401.76,66.96,4.1055,972.25,142.06,72,168.66,182,564.72,407.53,95,51,146,261.53,43.59,2.37,1016.95,202.3,23.49,67.26,192,485.05,531.9,174,95,269,262.9,43.82,316.08
18,"N_light_MD-LR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",4.83,1104.47,142.06,72,168.66,182,564.72,539.76,90,48,138,401.76,66.96,4.347,1016.33,142.06,72,168.66,182,564.72,451.61,95,51,146,305.61,50.93,2.37,1016.95,202.3,23.49,67.26,192,485.05,531.9,174,95,269,262.9,43.82,4.83,1104.47,142.06,72,168.66,182,564.72,539.76,90,48,138,401.76,66.96,4.1055,972.25,142.06,72,168.66,182,564.72,407.53,95,51,146,261.53,43.59,2.37,1016.95,202.3,23.49,67.26,192,485.05,531.9,174,95,269,262.9,43.82,316.08
19,"C_heavy_HD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",6.66,1438.45,191.76,72,171.09,182,616.85,821.6,115,62,177,644.6,107.43,5.994,1316.9,191.76,72,171.09,182,616.85,700.06,112,60,172,528.06,88.01,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,6.66,1438.45,191.76,72,171.09,182,616.85,821.6,115,62,177,644.6,107.43,5.661,1256.13,191.76,72,171.09,182,616.85,639.28,112,60,172,467.28,77.88,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,562.81
20,"C_heavy_VD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",6.66,1438.45,191.76,72,171.09,182,616.85,821.6,115,62,177,644.6,107.43,5.994,1316.9,191.76,72,171.09,182,616.85,700.06,112,60,172,528.06,88.01,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,6.66,1438.45,191.76,72,171.09,182,616.85,821.6,115,62,177,644.6,107.43,5.661,1256.13,191.76,72,171.09,182,616.85,639.28,112,60,172,467.28,77.88,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,562.81
21,"C_heavy_LD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",6.66,1438.45,191.76,72,168.66,182,614.42,824.03,115,62,177,647.03,107.84,5.994,1316.9,191.76,72,168.66,182,614.42,702.49,112,60,172,530.49,88.41,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,6.66,1438.45,191.76,72,168.66,182,614.42,824.03,115,62,177,647.03,107.84,5.661,1256.13,191.76,72,168.66,182,614.42,641.71,112,60,172,469.71,78.29,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,564.44
22,"C_heavy_MD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",6.66,1438.45,191.76,72,168.66,182,614.42,824.03,115,62,177,647.03,107.84,5.994,1316.9,191.76,72,168.66,182,614.42,702.49,112,60,172,530.49,88.41,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,6.66,1438.45,191.76,72,168.66,182,614.42,824.03,115,62,177,647.03,107.84,5.661,1256.13,191.76,72,168.66,182,614.42,641.71,112,60,172,469.71,78.29,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,564.44
23,"C_heavy_LD-LR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",6.66,1438.45,191.76,72,168.66,182,614.42,824.03,115,62,177,647.03,107.84,5.994,1316.9,191.76,72,168.66,182,614.42,702.49,112,60,172,530.49,88.41,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,6.66,1438.45,191.76,72,168.66,182,614.42,824.03,115,62,177,647.03,107.84,5.661,1256.13,191.76,72,168.66,182,614.42,641.71,128,70,198,443.71,73.95,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,560.1
24,"C_heavy_MD-LR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",6.66,1438.45,191.76,72,168.66,182,614.42,824.03,115,62,177,647.03,107.84,5.994,1316.9,191.76,72,168.66,182,614.42,702.49,112,60,172,530.49,88.41,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,6.66,1438.45,191.76,72,168.66,182,614.42,824.03,115,62,177,647.03,107.84,5.661,1256.13,191.76,72,168.66,182,614.42,641.71,128,70,198,443.71,73.95,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,560.1
