"Field_no","field_name","crop1","crop2","crop3","crop4","crop5","crop6","yield.1","output.1","fertcost.1","seedcost.1","herbcost.1","sundry.1","varcost.1","gmargin.1","fuelcost.1","labcost.1","opcost.1","grossprof.1","rotgrossprof.1","yield.2","output.2","fertcost.2","seedcost.2","herbcost.2","sundry.2","varcost.2","gmargin.2","fuelcost.2","labcost.2","opcost.2","grossprof.2","rotgrossprof.2","yield.3","output.3","fertcost.3","seedcost.3","herbcost.3","sundry.3","varcost.3","gmargin.3","fuelcost.3","labcost.3","opcost.3","grossprof.3","rotgrossprof.3","yield.4","output.4","fertcost.4","seedcost.4","herbcost.4","sundry.4","varcost.4","gmargin.4","fuelcost.4","labcost.4","opcost.4","grossprof.4","rotgrossprof.4","yield.5","output.5","fertcost.5","seedcost.5","herbcost.5","sundry.5","varcost.5","gmargin.5","fuelcost.5","labcost.5","opcost.5","grossprof.5","rotgrossprof.5","yield.6","output.6","fertcost.6","seedcost.6","herbcost.6","sundry.6","varcost.6","gmargin.6","fuelcost.6","labcost.6","opcost.6","grossprof.6","rotgrossprof.6","totalrotgrossprof"
1,"N_heavy_HD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",8.96,1858.2,243.3,72,463.08,182,960.38,897.82,148,76,224,673.82,112.3,8.064,1694.68,243.3,72,463.08,182,960.38,734.3,134,68,202,532.3,88.72,7.9744,1678.33,243.3,72,463.08,182,960.38,717.95,134,68,202,515.95,85.99,7.616,1612.92,243.3,72,463.08,182,960.38,652.54,134,68,202,450.54,75.09,7.616,1612.92,243.3,72,463.08,182,960.38,652.54,134,68,202,450.54,75.09,7.4368,1580.22,243.3,72,463.08,182,960.38,619.84,134,68,202,417.84,69.64,506.83
2,"N_heavy_VD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",8.96,1858.2,243.3,72,463.08,182,960.38,897.82,148,76,224,673.82,112.3,8.064,1694.68,243.3,72,463.08,182,960.38,734.3,134,68,202,532.3,88.72,7.9744,1678.33,243.3,72,463.08,182,960.38,717.95,134,68,202,515.95,85.99,7.616,1612.92,243.3,72,463.08,182,960.38,652.54,134,68,202,450.54,75.09,7.616,1612.92,243.3,72,463.08,182,960.38,652.54,134,68,202,450.54,75.09,7.4368,1580.22,243.3,72,463.08,182,960.38,619.84,134,68,202,417.84,69.64,506.83
3,"N_heavy_LD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",8.96,1858.2,243.3,72,458.22,182,955.52,902.68,148,76,224,678.68,113.11,8.064,1694.68,243.3,72,458.22,182,955.52,739.16,134,68,202,537.16,89.53,7.9744,1678.33,243.3,72,458.22,182,955.52,722.81,134,68,202,520.81,86.8,7.616,1612.92,243.3,72,458.22,182,955.52,657.4,134,68,202,455.4,75.9,7.616,1612.92,243.3,72,458.22,182,955.52,657.4,134,68,202,455.4,75.9,7.4368,1580.22,243.3,72,458.22,182,955.52,624.7,134,68,202,422.7,70.45,511.69
4,"N_heavy_MD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",8.96,1858.2,243.3,72,458.22,182,955.52,902.68,148,76,224,678.68,113.11,8.064,1694.68,243.3,72,458.22,182,955.52,739.16,134,68,202,537.16,89.53,7.9744,1678.33,243.3,72,458.22,182,955.52,722.81,134,68,202,520.81,86.8,7.616,1612.92,243.3,72,458.22,182,955.52,657.4,134,68,202,455.4,75.9,7.616,1612.92,243.3,72,458.22,182,955.52,657.4,134,68,202,455.4,75.9,7.4368,1580.22,243.3,72,458.22,182,955.52,624.7,134,68,202,422.7,70.45,511.69
5,"N_heavy_LD-LR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",8.96,1858.2,243.3,72,458.22,182,955.52,902.68,148,76,224,678.68,113.11,8.064,1694.68,243.3,72,458.22,182,955.52,739.16,134,68,202,537.16,89.53,7.9744,1678.33,243.3,72,458.22,182,955.52,722.81,134,68,202,520.81,86.8,7.616,1612.92,243.3,72,458.22,182,955.52,657.4,134,68,202,455.4,75.9,7.616,1612.92,243.3,72,458.22,182,955.52,657.4,134,68,202,455.4,75.9,7.4368,1580.22,243.3,72,458.22,182,955.52,624.7,134,68,202,422.7,70.45,511.69
6,"N_heavy_MD-LR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",8.96,1858.2,243.3,72,458.22,182,955.52,902.68,148,76,224,678.68,113.11,8.064,1694.68,243.3,72,458.22,182,955.52,739.16,134,68,202,537.16,89.53,7.9744,1678.33,243.3,72,458.22,182,955.52,722.81,134,68,202,520.81,86.8,7.616,1612.92,243.3,72,458.22,182,955.52,657.4,134,68,202,455.4,75.9,7.616,1612.92,243.3,72,458.22,182,955.52,657.4,134,68,202,455.4,75.9,7.4368,1580.22,243.3,72,458.22,182,955.52,624.7,134,68,202,422.7,70.45,511.69
7,"N_medium_HD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",7.94,1672.05,243.3,72,463.08,182,960.38,711.67,130,67,197,514.67,85.78,7.146,1527.14,243.3,72,463.08,182,960.38,566.76,120,61,181,385.76,64.29,7.0666,1512.65,243.3,72,463.08,182,960.38,552.27,120,61,181,371.27,61.88,6.749,1454.69,243.3,72,463.08,182,960.38,494.31,120,61,181,313.31,52.22,6.749,1454.69,243.3,72,463.08,182,960.38,494.31,120,61,181,313.31,52.22,6.5902,1425.71,243.3,72,463.08,182,960.38,465.33,120,61,181,284.33,47.39,363.78
8,"N_medium_VD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",7.94,1672.05,243.3,72,463.08,182,960.38,711.67,130,67,197,514.67,85.78,7.146,1527.14,243.3,72,463.08,182,960.38,566.76,120,61,181,385.76,64.29,7.0666,1512.65,243.3,72,463.08,182,960.38,552.27,120,61,181,371.27,61.88,6.749,1454.69,243.3,72,463.08,182,960.38,494.31,120,61,181,313.31,52.22,6.749,1454.69,243.3,72,463.08,182,960.38,494.31,120,61,181,313.31,52.22,6.5902,1425.71,243.3,72,463.08,182,960.38,465.33,120,61,181,284.33,47.39,363.78
9,"N_medium_LD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",7.94,1672.05,243.3,72,458.22,182,955.52,716.53,130,67,197,519.53,86.59,7.146,1527.14,243.3,72,458.22,182,955.52,571.62,120,61,181,390.62,65.1,7.0666,1512.65,243.3,72,458.22,182,955.52,557.13,120,61,181,376.13,62.69,6.749,1454.69,243.3,72,458.22,182,955.52,499.17,120,61,181,318.17,53.03,6.749,1454.69,243.3,72,458.22,182,955.52,499.17,120,61,181,318.17,53.03,6.5902,1425.71,243.3,72,458.22,182,955.52,470.19,120,61,181,289.19,48.2,368.64
10,"N_medium_MD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",7.94,1672.05,243.3,72,458.22,182,955.52,716.53,130,67,197,519.53,86.59,7.146,1527.14,243.3,72,458.22,182,955.52,571.62,120,61,181,390.62,65.1,7.0666,1512.65,243.3,72,458.22,182,955.52,557.13,120,61,181,376.13,62.69,6.749,1454.69,243.3,72,458.22,182,955.52,499.17,120,61,181,318.17,53.03,6.749,1454.69,243.3,72,458.22,182,955.52,499.17,120,61,181,318.17,53.03,6.5902,1425.71,243.3,72,458.22,182,955.52,470.19,120,61,181,289.19,48.2,368.64
11,"N_medium_LD-LR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",7.94,1672.05,243.3,72,458.22,182,955.52,716.53,130,67,197,519.53,86.59,7.146,1527.14,243.3,72,458.22,182,955.52,571.62,120,61,181,390.62,65.1,7.0666,1512.65,243.3,72,458.22,182,955.52,557.13,120,61,181,376.13,62.69,6.749,1454.69,243.3,72,458.22,182,955.52,499.17,120,61,181,318.17,53.03,6.749,1454.69,243.3,72,458.22,182,955.52,499.17,120,61,181,318.17,53.03,6.5902,1425.71,243.3,72,458.22,182,955.52,470.19,120,61,181,289.19,48.2,368.64
