"Field_no","field_name","crop1","crop2","crop3","crop4","crop5","crop6","yield.1","output.1","fertcost.1","seedcost.1","herbcost.1","sundry.1","varcost.1","gmargin.1","fuelcost.1","labcost.1","opcost.1","grossprof.1","rotgrossprof.1","yield.2","output.2","fertcost.2","seedcost.2","herbcost.2","sundry.2","varcost.2","gmargin.2","fuelcost.2","labcost.2","opcost.2","grossprof.2","rotgrossprof.2","yield.3","output.3","fertcost.3","seedcost.3","herbcost.3","sundry.3","varcost.3","gmargin.3","fuelcost.3","labcost.3","opcost.3","grossprof.3","rotgrossprof.3","yield.4","output.4","fertcost.4","seedcost.4","herbcost.4","sundry.4","varcost.4","gmargin.4","fuelcost.4","labcost.4","opcost.4","grossprof.4","rotgrossprof.4","yield.5","output.5","fertcost.5","seedcost.5","herbcost.5","sundry.5","varcost.5","gmargin.5","fuelcost.5","labcost.5","opcost.5","grossprof.5","rotgrossprof.5","yield.6","output.6","fertcost.6","seedcost.6","herbcost.6","sundry.6","varcost.6","gmargin.6","fuelcost.6","labcost.6","opcost.6","grossprof.6","rotgrossprof.6","totalrotgrossprof"
1,"N_heavy_HD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",6.66,1438.45,243.3,72,463.08,182,960.38,478.07,145,75,220,258.07,43.01,5.994,1316.9,243.3,72,463.08,182,960.38,356.53,131,67,198,158.53,26.42,5.9274,1304.75,243.3,72,463.08,182,960.38,344.37,131,67,198,146.37,24.4,5.661,1256.13,243.3,72,463.08,182,960.38,295.75,131,67,198,97.75,16.29,5.661,1256.13,243.3,72,463.08,182,960.38,295.75,131,67,198,97.75,16.29,5.5278,1231.82,243.3,72,463.08,182,960.38,271.44,131,67,198,73.44,12.24,138.65
2,"N_heavy_VD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",6.66,1438.45,243.3,72,463.08,182,960.38,478.07,145,75,220,258.07,43.01,5.994,1316.9,243.3,72,463.08,182,960.38,356.53,131,67,198,158.53,26.42,5.9274,1304.75,243.3,72,463.08,182,960.38,344.37,131,67,198,146.37,24.4,5.661,1256.13,243.3,72,463.08,182,960.38,295.75,131,67,198,97.75,16.29,5.661,1256.13,243.3,72,463.08,182,960.38,295.75,131,67,198,97.75,16.29,5.5278,1231.82,243.3,72,463.08,182,960.38,271.44,131,67,198,73.44,12.24,138.65
3,"N_heavy_LD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",6.66,1438.45,243.3,72,458.22,182,955.52,482.93,145,75,220,262.93,43.82,5.994,1316.9,243.3,72,458.22,182,955.52,361.38,131,67,198,163.38,27.23,5.9274,1304.75,243.3,72,458.22,182,955.52,349.23,131,67,198,151.23,25.21,5.661,1256.13,243.3,72,458.22,182,955.52,300.61,131,67,198,102.61,17.1,5.661,1256.13,243.3,72,458.22,182,955.52,300.61,131,67,198,102.61,17.1,5.5278,1231.82,243.3,72,458.22,182,955.52,276.3,131,67,198,78.3,13.05,143.51
4,"N_heavy_MD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",6.66,1438.45,243.3,72,458.22,182,955.52,482.93,145,75,220,262.93,43.82,5.994,1316.9,243.3,72,458.22,182,955.52,361.38,131,67,198,163.38,27.23,5.9274,1304.75,243.3,72,458.22,182,955.52,349.23,131,67,198,151.23,25.21,5.661,1256.13,243.3,72,458.22,182,955.52,300.61,131,67,198,102.61,17.1,5.661,1256.13,243.3,72,458.22,182,955.52,300.61,131,67,198,102.61,17.1,5.5278,1231.82,243.3,72,458.22,182,955.52,276.3,131,67,198,78.3,13.05,143.51
5,"N_heavy_LD-LR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",6.66,1438.45,243.3,72,458.22,182,955.52,482.93,145,75,220,262.93,43.82,5.994,1316.9,243.3,72,458.22,182,955.52,361.38,131,67,198,163.38,27.23,5.9274,1304.75,243.3,72,458.22,182,955.52,349.23,131,67,198,151.23,25.21,5.661,1256.13,243.3,72,458.22,182,955.52,300.61,131,67,198,102.61,17.1,5.661,1256.13,243.3,72,458.22,182,955.52,300.61,131,67,198,102.61,17.1,5.5278,1231.82,243.3,72,458.22,182,955.52,276.3,131,67,198,78.3,13.05,143.51
6,"N_heavy_MD-LR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",6.66,1438.45,243.3,72,458.22,182,955.52,482.93,145,75,220,262.93,43.82,5.994,1316.9,243.3,72,458.22,182,955.52,361.38,131,67,198,163.38,27.23,5.9274,1304.75,243.3,72,458.22,182,955.52,349.23,131,67,198,151.23,25.21,5.661,1256.13,243.3,72,458.22,182,955.52,300.61,131,67,198,102.61,17.1,5.661,1256.13,243.3,72,458.22,182,955.52,300.61,131,67,198,102.61,17.1,5.5278,1231.82,243.3,72,458.22,182,955.52,276.3,131,67,198,78.3,13.05,143.51
7,"N_medium_HD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",5.91,1301.57,243.3,72,463.08,182,960.38,341.19,127,66,193,148.19,24.7,5.319,1193.72,243.3,72,463.08,182,960.38,233.34,117,60,177,56.34,9.39,5.2599,1182.93,243.3,72,463.08,182,960.38,222.55,117,60,177,45.55,7.59,5.0235,1139.79,243.3,72,463.08,182,960.38,179.41,117,60,177,2.41,0.4,5.0235,1139.79,243.3,72,463.08,182,960.38,179.41,117,60,177,2.41,0.4,4.9053,1118.22,243.3,72,463.08,182,960.38,157.84,117,60,177,-19.16,-3.19,39.29
8,"N_medium_VD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",5.91,1301.57,243.3,72,463.08,182,960.38,341.19,127,66,193,148.19,24.7,5.319,1193.72,243.3,72,463.08,182,960.38,233.34,117,60,177,56.34,9.39,5.2599,1182.93,243.3,72,463.08,182,960.38,222.55,117,60,177,45.55,7.59,5.0235,1139.79,243.3,72,463.08,182,960.38,179.41,117,60,177,2.41,0.4,5.0235,1139.79,243.3,72,463.08,182,960.38,179.41,117,60,177,2.41,0.4,4.9053,1118.22,243.3,72,463.08,182,960.38,157.84,117,60,177,-19.16,-3.19,39.29
9,"N_medium_LD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",5.91,1301.57,243.3,72,458.22,182,955.52,346.05,127,66,193,153.05,25.51,5.319,1193.72,243.3,72,458.22,182,955.52,238.2,117,60,177,61.2,10.2,5.2599,1182.93,243.3,72,458.22,182,955.52,227.41,117,60,177,50.41,8.4,5.0235,1139.79,243.3,72,458.22,182,955.52,184.27,117,60,177,7.27,1.21,5.0235,1139.79,243.3,72,458.22,182,955.52,184.27,117,60,177,7.27,1.21,4.9053,1118.22,243.3,72,458.22,182,955.52,162.7,117,60,177,-14.3,-2.38,44.15
10,"N_medium_MD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",5.91,1301.57,243.3,72,458.22,182,955.52,346.05,127,66,193,153.05,25.51,5.319,1193.72,243.3,72,458.22,182,955.52,238.2,117,60,177,61.2,10.2,5.2599,1182.93,243.3,72,458.22,182,955.52,227.41,117,60,177,50.41,8.4,5.0235,1139.79,243.3,72,458.22,182,955.52,184.27,117,60,177,7.27,1.21,5.0235,1139.79,243.3,72,458.22,182,955.52,184.27,117,60,177,7.27,1.21,4.9053,1118.22,243.3,72,458.22,182,955.52,162.7,117,60,177,-14.3,-2.38,44.15
11,"N_medium_LD-LR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",5.91,1301.57,243.3,72,458.22,182,955.52,346.05,127,66,193,153.05,25.51,5.319,1193.72,243.3,72,458.22,182,955.52,238.2,117,60,177,61.2,10.2,5.2599,1182.93,243.3,72,458.22,182,955.52,227.41,117,60,177,50.41,8.4,5.0235,1139.79,243.3,72,458.22,182,955.52,184.27,117,60,177,7.27,1.21,5.0235,1139.79,243.3,72,458.22,182,955.52,184.27,117,60,177,7.27,1.21,4.9053,1118.22,243.3,72,458.22,182,955.52,162.7,117,60,177,-14.3,-2.38,44.15
