"scenario","year","initDR3","mds","mds_95ci_l","mds_95ci_u","hvh","hvh_95ci_l","hvh_95ci_u","pdec","pdec_95ci_l","pdec_95ci_u","pinc","pinc_95ci_l","pinc_95ci_u","mds_diff","mds_diff_95ci_l","mds_diff_95ci_u","hvh_diff","hvh_diff_95ci_l","hvh_diff_95ci_u"
"BAU",1,"LD-LR",2.1,2.1,2.1,0,0,0,0.7,0.7,0.7,0,0,0,0,0,0,0,0,0
"BAU",2,"LD-LR",2.60026764890871,2.50759303324728,2.69294226457014,0.163034846484215,0.134817643528862,0.191252049439569,0.575362792464066,0.525491907334785,0.625233677593346,0.163034846484215,0.134817643528862,0.191252049439569,0,0,0,0,0,0
"BAU",3,"LD-LR",3.62970526269784,3.44945478150324,3.80995574389244,0.558050685297814,0.484516708245865,0.631584662349764,0.18541120606861,0.135570490507241,0.235251921629978,0.558050685297814,0.484516708245865,0.631584662349764,0,0,0,0,0,0
"BAU",4,"LD-LR",2.9978588027074,2.82020792533945,3.17550968007536,0.309417961542425,0.243842940985143,0.374992982099707,0.388869332904189,0.305900264765823,0.471838401042554,0.309417961542425,0.243842940985143,0.374992982099707,0,0,0,0,0,0
"BAU",5,"LD-LR",2.28019833159567,2.16432121372199,2.39607544946936,0.0744649951329609,0.0520699405807827,0.0968600496851391,0.748235805196495,0.687548864474827,0.808922745918163,0.0744649951329609,0.0520699405807827,0.0968600496851391,0,0,0,0,0,0
"BAU",6,"LD-LR",3.45006756955676,3.24684634839298,3.65328879072054,0.485794700424795,0.402135743758079,0.569453657091511,0.228668457847997,0.163034623476679,0.294302292219316,0.485794700424795,0.402135743758079,0.569453657091511,0,0,0,0,0,0
"BAU",1,"LD-HR",2.1,2.1,2.1,0,0,0,0.7,0.7,0.7,0,0,0,0,0,0,0,0,0
"BAU",2,"LD-HR",3.25209696791591,3.13024177358568,3.37395216224615,0.40854763038392,0.359046674478172,0.458048586289668,0.289804630591688,0.243806930886091,0.335802330297285,0.40854763038392,0.359046674478172,0.458048586289668,0,0,0,0,0,0
"BAU",3,"LD-HR",4.48329493159768,4.35950321900715,4.60708664418822,0.871885586968118,0.832007967250207,0.911763206686029,0.033556734576818,0.0202170728658051,0.046896396287831,0.871885586968118,0.832007967250207,0.911763206686029,0,0,0,0,0,0
"BAU",4,"LD-HR",4.0806763688535,3.90654327202807,4.25480946567893,0.754316119265758,0.68372923130279,0.824903007228727,0.0731173791542546,0.0393039886825041,0.106930769626005,0.754316119265758,0.68372923130279,0.824903007228727,0,0,0,0,0,0
"BAU",5,"LD-HR",3.27019447991904,3.07678598538836,3.46360297444973,0.414748691926674,0.336010898665807,0.493486485187541,0.263910389304423,0.18247803497505,0.345342743633797,0.414748691926674,0.336010898665807,0.493486485187541,0,0,0,0,0,0
"BAU",6,"LD-HR",4.50082964970386,4.34722600681743,4.6544332925903,0.879257984368892,0.829349806010331,0.929166162727453,0.0310409022413921,0.0146069697777629,0.0474748347050214,0.879257984368892,0.829349806010331,0.929166162727453,0,0,0,0,0,0
"BAU",1,"HD-HR",3.3,3.3,3.3,0.5,0.5,0.5,0.3,0.3,0.3,0.5,0.5,0.5,0,0,0,0,0,0
"BAU",2,"HD-HR",3.76150920632796,3.64619769256839,3.87682072008753,0.61884296617821,0.576027950717465,0.661657981638956,0.181005097463987,0.153064126921859,0.208946068006115,0.61884296617821,0.576027950717465,0.661657981638956,0,0,0,0,0,0
"BAU",3,"HD-HR",4.60580821673896,4.50683918407266,4.70477724940525,0.907728215644668,0.878168388057292,0.937288043232045,0.0232837239384565,0.0139586945315406,0.0326087533453723,0.907728215644668,0.878168388057292,0.937288043232045,0,0,0,0,0,0
"BAU",4,"HD-HR",4.08020824169783,3.91417862688716,4.2462378565085,0.756869561357705,0.689108328245071,0.82463079447034,0.070096294643219,0.0385246154409078,0.10166797384553,0.756869561357705,0.689108328245071,0.82463079447034,0,0,0,0,0,0
"BAU",5,"HD-HR",3.21216446668864,3.02241508028123,3.40191385309605,0.389184896192666,0.313110376356653,0.46525941602868,0.283600239427441,0.200646507460529,0.366553971394352,0.389184896192666,0.313110376356653,0.46525941602868,0,0,0,0,0,0
"BAU",6,"HD-HR",4.48685878971072,4.33467807753932,4.63903950188213,0.875649820519822,0.825660885576167,0.925638755463478,0.03192748517907,0.0153021232698879,0.0485528470882522,0.875649820519822,0.825660885576167,0.925638755463478,0,0,0,0,0,0
"MIT",1,"LD-LR",2.1,2.1,2.1,0,0,0,0.7,0.7,0.7,0,0,0,0,0,0,0,0,0
"MIT",2,"LD-LR",2.46705234203744,2.10297847798717,2.8311262060877,0.160168182470044,0.0423007843316353,0.278035580608453,0.67107218518831,0.508350485538287,0.833793884838333,0.160168182470044,0.0423007843316353,0.278035580608453,-0.133215306871271,-0.540619789240527,0.274189175497984,-0.00286666401417119,-0.133580789396893,0.127847461368551
"MIT",3,"LD-LR",2.70808028951749,2.55711510846071,2.85904547057426,0.210658668601078,0.164208474695178,0.257108862506978,0.530791834404838,0.455038361948749,0.606545306860927,0.210658668601078,0.164208474695178,0.257108862506978,-0.921624973180353,-0.993471844516963,-0.849778101843742,-0.347392016696736,-0.382846470686902,-0.311937562706571
"MIT",4,"LD-LR",2.09828646497995,1.97403505321504,2.22253787674486,0.0523458890195501,0.0335534569939737,0.0711383210451266,0.825660710863604,0.775267262827051,0.876054158900156,0.0523458890195501,0.0335534569939737,0.0711383210451266,-0.899572337727454,-0.963886126252146,-0.835258549202762,-0.257072072522875,-0.305580161430396,-0.208563983615354
"MIT",5,"LD-LR",2.19455592869722,1.73820373150494,2.65090812588949,0.127145840918141,0.0103885152454976,0.243903166590784,0.752777549501758,0.569809574926284,0.935745524077232,0.127145840918141,0.0103885152454976,0.243903166590784,-0.0856424028984562,-0.586629841114809,0.415345035317897,0.0526808457851799,-0.0725429192336539,0.177904610804014
"MIT",6,"LD-LR",2.14638490218352,1.9642567374997,2.32851306686735,0.0630165954270932,0.0189021252522987,0.107131065601888,0.814177965191255,0.723348846172375,0.905007084210135,0.0630165954270932,0.0189021252522987,0.107131065601888,-1.30368266737324,-1.57967180492911,-1.02769352981737,-0.422778104997701,-0.519340415148479,-0.326215794846924
"MIT",1,"LD-HR",2.1,2.1,2.1,0,0,0,0.7,0.7,0.7,0,0,0,0,0,0,0,0,0
"MIT",2,"LD-HR",2.16672967035886,1.85722726879495,2.47623207192278,0.0922842913958627,0.0424167994223373,0.142151783369388,0.756562995048341,0.642829834245368,0.870296155851315,0.0922842913958627,0.0424167994223373,0.142151783369388,-1.08536729755705,-1.43773986359029,-0.73299473152381,-0.316263338988058,-0.389916339998862,-0.242610337977253
"MIT",3,"LD-HR",2.68130701353665,2.36783073250034,2.99478329457297,0.21887067482872,0.117036798131093,0.320704551526347,0.557722788923065,0.410746844902198,0.704698732943933,0.21887067482872,0.117036798131093,0.320704551526347,-1.80198791806103,-2.06587481074869,-1.53810102537337,-0.653014912139398,-0.739780034776061,-0.566249789502735
"MIT",4,"LD-HR",2.63607202646293,2.27014260782366,3.00200144510219,0.207967070611487,0.103367843396438,0.312566297826537,0.574521002161551,0.409575292481244,0.739466711841859,0.207967070611487,0.103367843396438,0.312566297826537,-1.44460434239057,-1.70661173049,-1.18259695429114,-0.546349048654271,-0.627637030095441,-0.465061067213101
"MIT",5,"LD-HR",2.31455383136952,1.73603122686363,2.89307643587541,0.174680217551898,0.0334940442869797,0.315866390816816,0.671006919538451,0.463560814781423,0.878453024295479,0.174680217551898,0.0334940442869797,0.315866390816816,-0.955640648549524,-1.61826329510328,-0.293018001995766,-0.240068474374777,-0.418231215040915,-0.0619057337086386
