"scenario","year","initdenres_collapsed","gp","gp_ci_l","gp_ci_u","oc","oc_ci_l","oc_ci_u"
"BAU",1,"LD-LR",887.096666666667,784.325444841467,989.867888491867,0,0,0
"BAU",2,"LD-LR",714.689657520562,623.670650938973,805.708664102152,0,0,0
"BAU",3,"LD-LR",404.383333333333,324.237134583105,484.529532083562,0,0,0
"BAU",4,"LD-LR",831.552715553331,736.03789221366,927.067538893001,0,0,0
"BAU",5,"LD-LR",654.70877110192,571.571694825048,737.845847378791,0,0,0
"BAU",6,"LD-LR",404.383333333333,324.237134583105,484.529532083562,0,0,0
"BAU",1,"LD-HR",887.096666666667,784.325444841467,989.867888491867,0,0,0
"BAU",2,"LD-HR",668.020323041522,580.691006146905,755.34963993614,0,0,0
"BAU",3,"LD-HR",404.383333333333,324.237134583105,484.529532083562,0,0,0
"BAU",4,"LD-HR",705.169294224476,615.466152689872,794.87243575908,0,0,0
"BAU",5,"LD-HR",603.153372896843,522.414528903618,683.892216890068,0,0,0
"BAU",6,"LD-HR",404.383333333333,324.237134583105,484.529532083562,0,0,0
"BAU",1,"HD-HR",768.176666666667,676.134282248575,860.219051084758,0,0,0
"BAU",2,"HD-HR",602.80961058589,518.254936752519,687.364284419261,0,0,0
"BAU",3,"HD-HR",404.383333333333,324.237134583105,484.529532083562,0,0,0
"BAU",4,"HD-HR",704.723122340482,612.535308467156,796.910936213807,0,0,0
"BAU",5,"HD-HR",606.119560471599,523.418419229819,688.820701713379,0,0,0
"BAU",6,"HD-HR",404.383333333333,324.237134583105,484.529532083562,0,0,0
"CWW",1,"LD-LR",511.63,414.80023473642,608.45976526358,-375.466666666667,-381.433231321288,-369.500102012045
"CWW",2,"LD-LR",372.214203949876,285.815735618776,458.612672280977,-342.475453570686,-349.028919055066,-335.921988086306
"CWW",3,"LD-LR",348.96548137796,264.843664906864,433.087297849056,-55.4178519553733,-62.9348275412568,-47.9008763694899
"CWW",4,"LD-LR",286.915260112239,208.40324252388,365.427277700597,-544.637455441092,-562.401308030842,-526.873602851342
"CWW",5,"LD-LR",283.6570167258,205.407106706924,361.906926744675,-371.05175437612,-378.835251154373,-363.268257597867
"CWW",6,"LD-LR",254.599983456774,178.933430237163,330.266536676386,-149.783349876559,-160.171012727514,-139.395687025604
"CWW",1,"LD-HR",511.63,414.80023473642,608.45976526358,-375.466666666667,-381.433231321288,-369.500102012045
"CWW",2,"LD-HR",340.63288018186,256.708290886393,424.557469477327,-327.387442859662,-333.848248553231,-320.926637166092
"CWW",3,"LD-HR",279.515509100965,199.067513406601,359.963504795329,-124.867824232368,-143.792929857422,-105.942718607314
"CWW",4,"LD-HR",201.10574487204,125.823459821147,276.388029922934,-504.063549352436,-518.64466765438,-489.482431050491
"CWW",5,"LD-HR",189.899159959419,114.665673708052,265.132646210786,-413.254212937424,-424.98244207383,-401.525983801017
"CWW",6,"LD-HR",160.353309361441,87.5123748507107,233.194243872172,-244.030023971892,-270.778467716084,-217.2815802277
"CWW",1,"HD-HR",390.361666666667,304.121533699361,476.601799633973,-377.815,-383.665465768281,-371.964534231719
"CWW",2,"HD-HR",276.587537091295,196.408660248391,356.766413934199,-326.222073494595,-331.014637631552,-321.429509357639
"CWW",3,"HD-HR",246.365586223838,167.070044144587,325.661128303088,-158.017747109496,-179.634872212243,-136.400622006748
"CWW",4,"HD-HR",184.413607529547,109.56107264221,259.266142416885,-520.309514810935,-538.278802759994,-502.340226861875
"CWW",5,"HD-HR",179.891885682167,104.867538664409,254.916232699924,-426.227674789432,-440.526263034269,-411.929086544595
