"scenario","region","soiltype","initdenres_collapsed","gp","gp_ci_l","gp_ci_u","oc","oc_ci_l","oc_ci_u"
"BAU","north","heavy","LD-LR",799.368412416855,627.293893975344,971.442930858366,0,0,0
"BAU","north","medium","LD-LR",651.754340685766,483.239274704866,820.269406666665,0,0,0
"BAU","north","light","LD-LR",491.927141042647,339.535094877271,644.319187208023,0,0,0
"BAU","central","heavy","LD-LR",795.102134703892,622.893067212582,967.311202195202,0,0,0
"BAU","central","medium","LD-LR",651.754340685766,483.239274704866,820.269406666665,0,0,0
"BAU","central","light","LD-LR",491.927141042647,339.535094877271,644.319187208023,0,0,0
"BAU","east","heavy","LD-LR",819.706723957734,635.188890448363,1004.2245574671,0,0,0
"BAU","east","medium","LD-LR",651.754340685766,483.239274704866,820.269406666665,0,0,0
"BAU","east","light","LD-LR",491.927141042647,339.535094877271,644.319187208023,0,0,0
"BAU","north","heavy","LD-HR",746.193862057906,591.049190179227,901.338533936585,0,0,0
"BAU","north","medium","LD-HR",612.368293224841,460.806899181107,763.929687268575,0,0,0
"BAU","north","light","LD-HR",460.641397569045,323.009886373404,598.272908764685,0,0,0
"BAU","central","heavy","LD-HR",746.346959851426,591.19259689418,901.501322808671,0,0,0
"BAU","central","medium","LD-HR",612.368293224841,460.806899181107,763.929687268575,0,0,0
"BAU","central","light","LD-HR",460.641397569045,323.009886373404,598.272908764685,0,0,0
"BAU","east","heavy","LD-HR",796.739590953272,626.119414189067,967.359767717477,0,0,0
"BAU","east","medium","LD-HR",612.368293224841,460.806899181107,763.929687268575,0,0,0
"BAU","east","light","LD-HR",460.641397569045,323.009886373404,598.272908764685,0,0,0
"BAU","north","heavy","HD-HR",711.495335042933,592.818860276535,830.17180980933,0,0,0
"BAU","north","medium","HD-HR",584.872699040267,461.008847349123,708.73655073141,0,0,0
"BAU","north","light","HD-HR",431.634994077747,318.430226505971,544.839761649523,0,0,0
"BAU","central","heavy","HD-HR",711.64836404503,592.952093275134,830.344634814927,0,0,0
"BAU","central","medium","HD-HR",584.872699040267,461.008847349123,708.73655073141,0,0,0
"BAU","central","light","HD-HR",431.634994077747,318.430226505971,544.839761649523,0,0,0
"BAU","east","heavy","HD-HR",763.226661654953,620.001148620712,906.452174689194,0,0,0
"BAU","east","medium","HD-HR",584.872699040267,461.008847349123,708.73655073141,0,0,0
"BAU","east","light","HD-HR",431.634994077747,318.430226505971,544.839761649523,0,0,0
"CWW","north","heavy","LD-LR",476.721991868256,386.164432930262,567.279550806249,-322.646420548599,-463.861764778469,-181.43107631873
"CWW","north","medium","LD-LR",348.089363678428,271.969535129993,424.209192226862,-303.664977007339,-446.689480622947,-160.64047339173
"CWW","north","light","LD-LR",193.3994997262,130.109342509912,256.689656942487,-298.527641316448,-430.224032874759,-166.831249758137
"CWW","central","heavy","LD-LR",477.365938954742,387.129899868229,567.601978041256,-317.73619574915,-457.415441009876,-178.056950488423
"CWW","central","medium","LD-LR",348.525861145367,272.624183170048,424.427539120685,-303.228479540399,-446.280175553795,-160.176783527004
"CWW","central","light","LD-LR",193.755567049527,130.643031322689,256.868102776366,-298.171573993119,-429.893280727098,-166.449867259141
"CWW","east","heavy","LD-LR",506.83326781656,430.909628427808,582.756907205312,-312.873456141173,-474.708134810465,-151.038777471882
"CWW","east","medium","LD-LR",348.525861145367,272.624183170048,424.427539120685,-303.228479540399,-446.280175553795,-160.176783527004
"CWW","east","light","LD-LR",193.755567049527,130.643031322689,256.868102776366,-298.171573993119,-429.893280727098,-166.449867259141
"CWW","north","heavy","LD-HR",388.082854428442,255.415382424594,520.75032643229,-358.111007629464,-455.565395824867,-260.656619434061
"CWW","north","medium","LD-HR",282.747837480442,175.015566559787,390.480108401097,-329.620455744399,-436.971500849935,-222.269410638863
"CWW","north","light","LD-HR",140.066339984318,50.9941900320933,229.138489936542,-320.575057584727,-423.299590347174,-217.850524822281
"CWW","central","heavy","LD-HR",389.245092950313,257.093740531829,521.396445368796,-357.101866901113,-454.608642835594,-259.595090966632
"CWW","central","medium","LD-HR",283.71620964898,176.431200478889,391.001218819071,-328.652083575861,-436.023949854441,-221.28021729728
"CWW","central","light","LD-HR",140.857131212993,52.1502867946986,229.563975631287,-319.784266356052,-422.53730007923,-217.031232632874
"CWW","east","heavy","LD-HR",475.416098646129,384.38405110579,566.448146186468,-321.323492307143,-459.873957253321,-182.773027360966
"CWW","east","medium","LD-HR",283.71620964898,176.431200478889,391.001218819071,-328.652083575861,-436.023949854441,-221.28021729728
"CWW","east","light","LD-HR",140.857131212993,52.1502867946986,229.563975631287,-319.784266356052,-422.53730007923,-217.031232632874
"CWW","north","heavy","HD-HR",338.542426787965,246.942673845345,430.142179730586,-372.952908254967,-466.596650157056,-279.309166352878
"CWW","north","medium","HD-HR",239.513029279669,167.41711505643,311.608943502908,-345.359669760597,-451.309020405806,-239.410319115388
"CWW","north","light","HD-HR",103.89358533412,43.8993887774917,163.887781890749,-327.741408743626,-424.374613052496,-231.108204434757
"CWW","central","heavy","HD-HR",339.734474732778,248.614055663941,430.854893801614,-371.913889312252,-465.592248427997,-278.235530196508
"CWW","central","medium","HD-HR",240.537764401501,168.857635001424,312.217893801577,-344.334934638766,-450.304089569168,-238.365779708364
"CWW","central","light","HD-HR",104.730562473523,45.0768770686355,164.38424787841,-326.904431604224,-423.571729403064,-230.237133805384
"CWW","east","heavy","HD-HR",434.139443794138,381.575020659716,486.703866928559,-329.087217860815,-463.387183324459,-194.787252397171
"CWW","east","medium","HD-HR",240.537764401501,168.857635001424,312.217893801577,-344.334934638766,-450.304089569168,-238.365779708364
"CWW","east","light","HD-HR",104.730562473523,45.0768770686355,164.38424787841,-326.904431604224,-423.571729403064,-230.237133805384
"MIT","north","heavy","LD-LR",902.016464331693,594.597262004894,1209.43566665849,102.648051914839,-203.430130493418,408.726234323096
"MIT","north","medium","LD-LR",741.330766664455,438.519937694157,1044.14159563475,89.5764259786893,-210.587752592926,389.740604550304
"MIT","north","light","LD-LR",643.863515165838,448.267158672123,839.459871659554,151.936374123191,-43.0606336800797,346.933381926462
"MIT","central","heavy","LD-LR",902.016464331693,594.597262004894,1209.43566665849,106.914329627802,-193.719926847464,407.548586103068
"MIT","central","medium","LD-LR",741.330766664455,438.519937694157,1044.14159563475,89.5764259786893,-210.587752592926,389.740604550304
"MIT","central","light","LD-LR",643.865262915928,448.267756207213,839.462769624642,151.938121873281,-43.059027280761,346.935271027323
"MIT","east","heavy","LD-LR",883.94469633638,714.194341513881,1053.69505115888,64.2379723786465,-226.44123376548,354.917178522773
"MIT","east","medium","LD-LR",719.828196149235,566.591970435236,873.064421863233,68.0738554634687,-187.141309810762,323.289020737699
"MIT","east","light","LD-LR",552.857386997059,418.329835312751,687.384938681367,60.9302459544121,-170.475211390585,292.33570329941
"MIT","north","heavy","LD-HR",640.742820028667,445.336473347708,836.149166709627,-105.451042029238,-176.650708774203,-34.2513752842733
"MIT","north","medium","LD-HR",493.897774172104,281.1841463119,706.611402032307,-118.470519052737,-195.117560159594,-41.8234779458802
"MIT","north","light","LD-HR",490.433589506039,420.021781861249,560.845397150828,29.7921919369939,-72.9559430158385,132.540326889826
"MIT","central","heavy","LD-HR",722.196898410827,517.773437707253,926.620359114401,-24.1500614405983,-144.671743245815,96.3716203646188
"MIT","central","medium","LD-HR",605.884225612815,411.771013844068,799.997437381561,-6.48406761202615,-88.2731457816834,75.3050105576311
"MIT","central","light","LD-HR",479.50300660377,294.094849719044,664.911163488496,18.861609034725,-45.3847525894246,83.1079706588747
"MIT","east","heavy","LD-HR",750.41688757427,499.00342648922,1001.83034865932,-46.3227033790025,-399.374632145085,306.72922538708
"MIT","east","medium","LD-HR",585.075921183593,341.873361614337,828.27848075285,-27.2923720412477,-339.519157540583,284.934413458088
"MIT","east","light","LD-HR",509.233706783536,356.211671787691,662.255741779381,48.5923092144913,-182.912091751733,280.096710180716
"MIT","north","heavy","HD-HR",525.680763452889,340.322243252287,711.039283653491,-185.814571590044,-474.182545625816,102.553402445729
"MIT","north","medium","HD-HR",460.99273185687,311.646894159561,610.338569554179,-123.879967183396,-384.231801191448,136.471866824655
"MIT","north","light","HD-HR",370.039271916078,256.294854797083,483.783689035073,-61.5957221616688,-278.92268484661,155.731240523272
"MIT","central","heavy","HD-HR",596.131496818381,471.27623287645,720.986760760312,-115.516867226649,-201.927964542963,-29.1057699103353
"MIT","central","medium","HD-HR",478.897808264473,331.307700314,626.487916214947,-105.974890775793,-200.00398704509,-11.9457945064966
"MIT","central","light","HD-HR",451.396963376904,377.516565386125,525.277361367682,19.7619692991569,-72.4791536221508,112.003092220465
"MIT","east","heavy","HD-HR",485.665682598247,244.362916218876,726.968448977619,-277.560979056705,-581.561915701586,26.439957588176
"MIT","east","medium","HD-HR",362.503849794695,120.856575519012,604.151124070378,-222.368849245572,-508.105547914158,63.3678494230144
"MIT","east","light","HD-HR",408.445986889629,233.687301976183,583.204671803074,-23.1890071881182,-275.054726822836,228.676712446599
