"scenario","region","soiltype","initdenres_collapsed","gp","gp_ci_l","gp_ci_u","oc","oc_ci_l","oc_ci_u"
"BAU","north","heavy","LD-LR",772.212996193289,622.662636638657,921.763355747921,0,0,0
"BAU","north","medium","LD-LR",629.163103940207,478.995281943504,779.33092593691,0,0,0
"BAU","north","light","LD-LR",473.545288341178,335.613712837238,611.476863845119,0,0,0
"BAU","central","heavy","LD-LR",767.974542944042,618.844026248905,917.105059639179,0,0,0
"BAU","central","medium","LD-LR",629.163103940207,478.995281943504,779.33092593691,0,0,0
"BAU","central","light","LD-LR",473.545288341178,335.613712837238,611.476863845119,0,0,0
"BAU","east","heavy","LD-LR",797.5602122569,630.595330545944,964.525093967856,0,0,0
"BAU","east","medium","LD-LR",629.163103940207,478.995281943504,779.33092593691,0,0,0
"BAU","east","light","LD-LR",473.545288341178,335.613712837238,611.476863845119,0,0,0
"BAU","north","heavy","LD-HR",716.706112543508,591.432529736484,841.979695350532,0,0,0
"BAU","north","medium","LD-HR",586.44801870685,458.988125534213,713.907911879488,0,0,0
"BAU","north","light","LD-HR",439.332558381458,320.654102750496,558.01101401242,0,0,0
"BAU","central","heavy","LD-HR",716.861458857953,591.572178205838,842.150739510068,0,0,0
"BAU","central","medium","LD-HR",586.44801870685,458.988125534213,713.907911879488,0,0,0
"BAU","central","light","LD-HR",439.332558381458,320.654102750496,558.01101401242,0,0,0
"BAU","east","heavy","LD-HR",769.01424097328,621.546193845704,916.482288100857,0,0,0
"BAU","east","medium","LD-HR",586.44801870685,458.988125534213,713.907911879488,0,0,0
"BAU","east","light","LD-HR",439.332558381458,320.654102750496,558.01101401242,0,0,0
"BAU","north","heavy","HD-HR",719.968222338008,594.37091950539,845.565525170625,0,0,0
"BAU","north","medium","HD-HR",592.091297079517,462.760319555422,721.422274603613,0,0,0
"BAU","north","light","HD-HR",437.712558381458,319.958653028046,555.46646373487,0,0,0
"BAU","central","heavy","HD-HR",720.121251340105,594.504643079291,845.737859600919,0,0,0
"BAU","central","medium","HD-HR",592.091297079517,462.760319555422,721.422274603613,0,0,0
"BAU","central","light","HD-HR",437.712558381458,319.958653028046,555.46646373487,0,0,0
"BAU","east","heavy","HD-HR",770.623803413584,622.212192410695,919.035414416472,0,0,0
"BAU","east","medium","HD-HR",592.091297079517,462.760319555422,721.422274603613,0,0,0
"BAU","east","light","HD-HR",437.712558381458,319.958653028046,555.46646373487,0,0,0
"CWW","north","heavy","LD-LR",448.90786012198,389.222378455308,508.593341788652,-323.305136071309,-460.419134035843,-186.191138106775
"CWW","north","medium","LD-LR",325.400100386599,276.410543563271,374.389657209928,-303.763003553608,-443.856438743769,-163.669568363446
"CWW","north","light","LD-LR",174.894120909301,133.843861587702,215.944380230899,-298.651167431878,-427.870776187367,-169.431558676388
"CWW","central","heavy","LD-LR",449.649630547256,390.271206705078,509.028054389434,-318.324912396786,-453.82705992912,-182.822764864452
"CWW","central","medium","LD-LR",325.920741216646,277.139815525319,374.701666907973,-303.242362723561,-443.373189744043,-163.111535703079
"CWW","central","light","LD-LR",175.318874626504,134.439842573329,216.19790667968,-298.226413714674,-427.477791632756,-168.975035796593
"CWW","east","heavy","LD-LR",485.968973228674,439.632133048896,532.305813408452,-311.591239028226,-471.78553576632,-151.396942290132
"CWW","east","medium","LD-LR",325.920741216646,277.139815525319,374.701666907973,-303.242362723561,-443.373189744043,-163.111535703079
"CWW","east","light","LD-LR",175.318874626504,134.439842573329,216.19790667968,-298.226413714674,-427.477791632756,-168.975035796593
"CWW","north","heavy","LD-HR",353.641372389495,253.809432314344,453.473312464646,-363.064740154013,-455.773553968422,-270.355926339605
"CWW","north","medium","LD-HR",253.036412081844,173.825591894853,332.247232268836,-333.411606625006,-436.494898897003,-230.328314353009
"CWW","north","light","LD-HR",115.822711317832,50.0284778785364,181.616944757127,-323.509847063626,-422.411574598481,-224.608119528771
"CWW","central","heavy","LD-HR",354.820045423226,255.475985878418,454.164104968035,-362.041413434727,-454.792278219843,-269.290548649611
"CWW","central","medium","LD-HR",254.042345261498,175.254728176459,332.829962346537,-332.405673445352,-435.516138083781,-229.295208806923
"CWW","central","light","LD-HR",116.644300105811,51.1963499999642,182.092250211657,-322.688258275647,-421.621644659788,-223.754871891506
"CWW","east","heavy","LD-HR",446.822029651198,386.743606870035,506.900452432361,-322.192211322082,-456.335517973234,-188.04890467093
"CWW","east","medium","LD-HR",254.042345261498,175.254728176459,332.829962346537,-332.405673445352,-435.516138083781,-229.295208806923
"CWW","east","light","LD-HR",116.644300105811,51.1963499999642,182.092250211657,-322.688258275647,-421.621644659788,-223.754871891506
"CWW","north","heavy","HD-HR",348.781795676586,248.949664628833,448.613926724339,-371.186426661421,-466.523289293943,-275.8495640289
"CWW","north","medium","HD-HR",248.176412081844,168.965591894853,327.387232268836,-343.914884997673,-451.392879051689,-236.436890943657
"CWW","north","light","HD-HR",110.962711317832,45.1684778785364,176.756944757127,-326.749847063626,-424.773813723333,-228.725880403919
