"scenario","initdenres_collapsed","soiltype","region","ww_mean","ww_ci_l","ww_ci_u","pc_mean","pc_ci_l","pc_ci_u"
"BAU","LD-LR","heavy","north",5.4596021508401,2.05261326662117,8.86659103505902,0,0,0
"BAU","LD-LR","heavy","central",5.45997267787042,2.05277992791623,8.86716542782461,0,0,0
"BAU","LD-LR","heavy","east",5.57193686305892,2.09431647358473,9.04955725253311,0,0,0
"BAU","LD-LR","medium","north",4.87958233621498,1.83491514419953,7.92424952823043,0,0,0
"BAU","LD-LR","medium","central",4.87958233621498,1.83491514419953,7.92424952823043,0,0,0
"BAU","LD-LR","medium","east",4.87958233621498,1.83491514419953,7.92424952823043,0,0,0
"BAU","LD-LR","light","north",3.98940964991091,1.4999511232534,6.47886817656842,0,0,0
"BAU","LD-LR","light","central",3.98940964991091,1.4999511232534,6.47886817656842,0,0,0
"BAU","LD-LR","light","east",3.98940964991091,1.4999511232534,6.47886817656842,0,0,0
"BAU","LD-HR","heavy","north",5.16593512957828,1.92216213868747,8.40970812046909,0,0,0
"BAU","LD-HR","heavy","central",5.16678099230135,1.92258848529278,8.41097349930993,0,0,0
"BAU","LD-HR","heavy","east",5.4450825113092,2.04699664165842,8.84316838095997,0,0,0
"BAU","LD-HR","medium","north",4.6613371587735,1.74287329475772,7.57980102278929,0,0,0
"BAU","LD-HR","medium","central",4.6613371587735,1.74287329475772,7.57980102278929,0,0,0
"BAU","LD-HR","medium","east",4.6613371587735,1.74287329475772,7.57980102278929,0,0,0
"BAU","LD-HR","light","north",3.81705285006655,1.42810859407719,6.20599710605591,0,0,0
"BAU","LD-HR","light","central",3.81705285006655,1.42810859407719,6.20599710605591,0,0,0
"BAU","LD-HR","light","east",3.81705285006655,1.42810859407719,6.20599710605591,0,0,0
"BAU","HD-HR","heavy","north",4.98330310266188,1.87630756164885,8.09029864367492,0,0,0
"BAU","HD-HR","heavy","central",4.98414849461088,1.87670604353737,8.09159094568439,0,0,0
"BAU","HD-HR","heavy","east",5.26898603915826,1.99138634384926,8.54658573446726,0,0,0
