"scenario","initdenres_collapsed","soiltype","region","ww_mean","ww_ci_l","ww_ci_u","pc_mean","pc_ci_l","pc_ci_u"
"BAU","LD-LR","heavy","north",5.30966218469566,2.00542066407156,8.61390370531976,0,0,0
"BAU","LD-LR","heavy","central",5.31018636007613,2.00565046973871,8.61472225041355,0,0,0
"BAU","LD-LR","heavy","east",5.44966033445834,2.05510100319504,8.84421966572164,0,0,0
"BAU","LD-LR","medium","north",4.75445044058326,1.79502883556472,7.71387204560181,0,0,0
"BAU","LD-LR","medium","central",4.75445044058326,1.79502883556472,7.71387204560181,0,0,0
"BAU","LD-LR","medium","east",4.75445044058326,1.79502883556472,7.71387204560181,0,0,0
"BAU","LD-LR","light","north",3.88816439268723,1.46747449806948,6.30885428730499,0,0,0
"BAU","LD-LR","light","central",3.88816439268723,1.46747449806948,6.30885428730499,0,0,0
"BAU","LD-LR","light","east",3.88816439268723,1.46747449806948,6.30885428730499,0,0,0
"BAU","LD-HR","heavy","north",5.00312621199119,1.87931948899776,8.12693293498461,0,0,0
"BAU","LD-HR","heavy","central",5.00398439955691,1.87973149111267,8.12823730800116,0,0,0
"BAU","LD-HR","heavy","east",5.29199506042479,1.99897499017393,8.58501513067564,0,0,0
"BAU","LD-HR","medium","north",4.51772474159974,1.70215369671911,7.33329578648037,0,0,0
"BAU","LD-HR","medium","central",4.51772474159974,1.70215369671911,7.33329578648037,0,0,0
"BAU","LD-HR","medium","east",4.51772474159974,1.70215369671911,7.33329578648037,0,0,0
"BAU","LD-HR","light","north",3.69959214237671,1.39420793409197,6.00497635066145,0,0,0
"BAU","LD-HR","light","central",3.69959214237671,1.39420793409197,6.00497635066145,0,0,0
"BAU","LD-HR","light","east",3.69959214237671,1.39420793409197,6.00497635066145,0,0,0
"BAU","HD-HR","heavy","north",5.03008737323922,1.89140550273679,8.16876924374165,0,0,0
"BAU","HD-HR","heavy","central",5.03093276518822,1.89180776204382,8.17005776833262,0,0,0
"BAU","HD-HR","heavy","east",5.30983170046157,2.00578975291194,8.6138736480112,0,0,0
"BAU","HD-HR","medium","north",4.55799001047065,1.71927950895678,7.39670051198453,0,0,0
"BAU","HD-HR","medium","central",4.55799001047065,1.71927950895678,7.39670051198453,0,0,0
"BAU","HD-HR","medium","east",4.55799001047065,1.71927950895678,7.39670051198453,0,0,0
"BAU","HD-HR","light","north",3.69959214237671,1.39420793409197,6.00497635066145,0,0,0
"BAU","HD-HR","light","central",3.69959214237671,1.39420793409197,6.00497635066145,0,0,0
"BAU","HD-HR","light","east",3.69959214237671,1.39420793409197,6.00497635066145,0,0,0
"MIT","LD-LR","heavy","north",4.68234744114114,0.57479300623685,8.78990187604542,-0.627314743554527,-5.75519331351509,4.50056382640604
"MIT","LD-LR","heavy","central",4.68234744114114,0.57479300623685,8.78990187604542,-0.627838918934997,-5.75613316640497,4.50045532853497
"MIT","LD-LR","heavy","east",5.62995793724128,2.12001505123099,9.13990082325157,0.180297602782942,-5.80544046007131,6.16603566563719
"MIT","LD-LR","medium","north",4.16226106874436,0.510630903288646,7.81389123420008,-0.592189371838899,-5.16023499680712,3.97585625312932
"MIT","LD-LR","medium","central",4.16226106874436,0.510630903288646,7.81389123420008,-0.592189371838899,-5.16023499680712,3.97585625312932
"MIT","LD-LR","medium","east",4.93813416457825,1.86288268941512,8.01338563974138,0.183683723994985,-5.02536846731135,5.39273591530132
"MIT","LD-LR","light","north",3.39834103660609,0.416907457854245,6.37977461535794,-0.489823356081141,-4.21882632799479,3.23917961583251
"MIT","LD-LR","light","central",3.3983512102161,0.416908377437141,6.37979404299506,-0.489813182471133,-4.21881931936227,3.23919295442
"MIT","LD-LR","light","east",4.03059416506507,1.52050666811628,6.54068166201385,0.142429772377831,-4.11193917889013,4.39679872364579
"MIT","LD-HR","heavy","north",2.76799280438178,-0.663390179075214,6.19937578783878,-2.23513340760941,-5.24701950127626,0.776752686057447
