"sensanaly","ID","scenario","region","soiltype","initdenres_collapsed","ww_mean","ww_ci_l","ww_ci_u","pc_mean","pc_ci_l","pc_ci_u"
"no","BAU","BAU","north","heavy","LD-LR",5.4596021508401,2.05261326662117,8.86659103505902,0,0,0
"no","BAU","BAU","north","heavy","LD-HR",5.16593512957828,1.92216213868747,8.40970812046909,0,0,0
"no","BAU","BAU","north","heavy","HD-HR",4.98330310266188,1.87630756164885,8.09029864367492,0,0,0
"no","BAU","BAU","north","medium","LD-LR",4.87958233621498,1.83491514419953,7.92424952823043,0,0,0
"no","BAU","BAU","north","medium","LD-HR",4.6613371587735,1.74287329475772,7.57980102278929,0,0,0
"no","BAU","BAU","north","medium","HD-HR",4.51799510397258,1.70580093238282,7.33018927556234,0,0,0
"no","BAU","BAU","north","light","LD-LR",3.98940964991091,1.4999511232534,6.47886817656842,0,0,0
"no","BAU","BAU","north","light","LD-HR",3.81705285006655,1.42810859407719,6.20599710605591,0,0,0
"no","BAU","BAU","north","light","HD-HR",3.66609287738998,1.38295248307988,5.94923327170008,0,0,0
"no","BAU","BAU","central","heavy","LD-LR",5.45997267787042,2.05277992791623,8.86716542782461,0,0,0
"no","BAU","BAU","central","heavy","LD-HR",5.16678099230135,1.92258848529278,8.41097349930993,0,0,0
"no","BAU","BAU","central","heavy","HD-HR",4.98414849461088,1.87670604353737,8.09159094568439,0,0,0
"no","BAU","BAU","central","medium","LD-LR",4.87958233621498,1.83491514419953,7.92424952823043,0,0,0
"no","BAU","BAU","central","medium","LD-HR",4.6613371587735,1.74287329475772,7.57980102278929,0,0,0
"no","BAU","BAU","central","medium","HD-HR",4.51799510397258,1.70580093238282,7.33018927556234,0,0,0
"no","BAU","BAU","central","light","LD-LR",3.98940964991091,1.4999511232534,6.47886817656842,0,0,0
"no","BAU","BAU","central","light","LD-HR",3.81705285006655,1.42810859407719,6.20599710605591,0,0,0
"no","BAU","BAU","central","light","HD-HR",3.66609287738998,1.38295248307988,5.94923327170008,0,0,0
"no","BAU","BAU","east","heavy","LD-LR",5.57193686305892,2.09431647358473,9.04955725253311,0,0,0
"no","BAU","BAU","east","heavy","LD-HR",5.4450825113092,2.04699664165842,8.84316838095997,0,0,0
"no","BAU","BAU","east","heavy","HD-HR",5.26898603915826,1.99138634384926,8.54658573446726,0,0,0
