"xval","cost","amount"
"BAU_LD-LR","herb",134.86
"BAU_LD-LR","ops",206.587230562249
"BAU_LD-LR","other",425.392222222222
"BAU_LD-HR","herb",134.86
"BAU_LD-HR","ops",205.788097004485
"BAU_LD-HR","other",425.392222222222
"BAU_HD-HR","herb",136.48
"BAU_HD-HR","ops",205.55589304358
"BAU_HD-HR","other",425.392222222222
"MIT_LD-LR","herb",56.42
"MIT_LD-LR","ops",205.296201941517
"MIT_LD-LR","other",438.136296296296
"MIT_LD-HR","herb",113.255185185185
"MIT_LD-HR","ops",211.910301646487
"MIT_LD-HR","other",420.237962962963
"MIT_HD-HR","herb",124.941296296296
"MIT_HD-HR","ops",217.187383229527
"MIT_HD-HR","other",388.628518518518
