"scenario","region","soiltype","initdenres","vh","oc","oc_ci_l","oc_ci_u"
"BAU","central","heavy","HD-HR",0,151.281836514952,63.1917568690112,239.371916160893
"BAU","central","heavy","HD-HR",0.1,132.822836514952,49.5292034071929,216.116469622711
"BAU","central","heavy","HD-HR",0.2,114.363836514952,34.4800788489868,194.247594180917
"BAU","central","heavy","HD-HR",0.3,95.904836514952,17.8624224078639,173.94725062204
"BAU","central","heavy","HD-HR",0.4,77.445836514952,-0.435100169018796,155.326773198923
"BAU","central","heavy","HD-HR",0.5,58.986836514952,-20.42273744289,138.396410472794
"BAU","central","heavy","HD-HR",0.6,40.527836514952,-42.0066339312935,123.062306961198
"BAU","central","heavy","HD-HR",0.7,22.068836514952,-65.0151196756189,109.152792705523
"BAU","central","heavy","HD-HR",0.8,3.60983651495206,-89.239020656492,96.4586936863961
"BAU","central","heavy","HD-HR",0.9,-14.849163485048,-114.467552191993,84.7692252218974
"BAU","central","heavy","HD-HR",1,-33.308163485048,-140.510564098914,73.8942371288179
"BAU","central","heavy","LD-HR",0,26.8364349225067,-75.4445167642698,129.117386609283
"BAU","central","heavy","LD-HR",0.1,8.37743492250669,-95.0564284195019,111.811298264515
"BAU","central","heavy","LD-HR",0.2,-10.0815650774933,-115.918011219816,95.7548810648294
"BAU","central","heavy","LD-HR",0.3,-28.5405650774933,-137.946967159379,80.8658370043919
"BAU","central","heavy","LD-HR",0.4,-46.9995650774933,-161.033711451518,67.034581296531
"BAU","central","heavy","LD-HR",0.5,-65.4585650774933,-185.055515290634,54.1383851356476
"BAU","central","heavy","LD-HR",0.6,-83.9175650774933,-209.888564516251,42.0534343612644
"BAU","central","heavy","LD-HR",0.7,-102.376565077493,-235.416307775671,30.6631776206846
"BAU","central","heavy","LD-HR",0.8,-120.835565077493,-261.534078975395,19.8629488204088
"BAU","central","heavy","LD-HR",0.9,-139.294565077493,-288.150833763907,9.5617036089204
"BAU","central","heavy","LD-HR",1,-157.753565077493,-315.189024487654,-0.318105667332759
"BAU","central","light","HD-HR",0,-4.82196337690383,-106.629566533585,96.9856397797773
"BAU","central","light","HD-HR",0.1,-18.0337967102372,-114.714780465979,78.647187045505
"BAU","central","light","HD-HR",0.2,-31.2456300435705,-123.254971320917,60.7637112337764
