"ID","scenario","region","soiltype","initdenres_collapsed","year","crop","fertcost","seedcost","herbcost","sundry","varcost","wtd_yield_mean","wtd_yield_sd","wtd_yield_se","wtd_yield_n","wtd_yield_ci_l","wtd_yield_ci_u","wtd_gp_mean","wtd_gp_sd","wtd_gp_se","wtd_gp_n","wtd_gp_ci_l","wtd_gp_ci_u","wtd_output_mean","wtd_output_sd","wtd_output_se","wtd_output_n","wtd_output_ci_l","wtd_output_ci_u","wtd_fuelcost_mean","wtd_fuelcost_sd","wtd_fuelcost_se","wtd_fuelcost_n","wtd_fuelcost_ci_l","wtd_fuelcost_ci_u","wtd_labcost_mean","wtd_labcost_sd","wtd_labcost_se","wtd_labcost_n","wtd_labcost_ci_l","wtd_labcost_ci_u","wtd_opscost_mean","wtd_opscost_sd","wtd_opscost_se","wtd_opscost_n","wtd_opscost_ci_l","wtd_opscost_ci_u","wtd_opp_cost_mean","wtd_opp_cost_sd","wtd_opp_cost_se","wtd_opp_cost_n","wtd_opp_cost_ci_l","wtd_opp_cost_ci_u"
"BAU_n_h_LD-LR_1","BAU","north","heavy","LD-LR",1,"winterwheat",191.76,72,168.66,182,614.42,8.96,0,0,74,8.96,8.96,1063.78,0,0,74,1063.78,1063.78,1858.2,0,0,74,1858.2,1858.2,117,0,0,74,117,117,63,0,0,74,63,63,180,0,0,74,180,180,0,0,0,74,0,0
"BAU_n_h_LD-LR_2","BAU","north","heavy","LD-LR",2,"winterwheat",191.76,72,168.66,182,614.42,7.85654447051804,0.141494050624697,0.0164483492814195,74,7.82430570592646,7.88878323510962,867.720695539549,25.6073967195435,2.97679940302316,74,861.886168709623,873.555222369474,1656.81869245126,25.823090273032,3.00187326930846,74,1650.93502084342,1662.70236405911,113.89577073973,0.090546818638964,0.0105258538625444,74,113.87514006616,113.916401413301,60.7827473182852,0.126516119414473,0.0147072001449635,74,60.7539212060011,60.8115734305694,174.678518058015,0.215262689920332,0.0250237794128815,74,174.629471450366,174.727564665665,0,0,0,74,0,0
"BAU_n_h_LD-LR_3","BAU","north","heavy","LD-LR",3,"wosr",202.3,23.49,67.26,192,485.05,3.35,0,0,74,3.35,3.35,546.2,0,0,74,546.2,546.2,1345.25,0,0,74,1345.25,1345.25,203,0,0,74,203,203,111,0,0,74,111,111,314,0,0,74,314,314,0,0,0,74,0,0
"BAU_n_h_LD-LR_4","BAU","north","heavy","LD-LR",4,"winterwheat",191.76,72,168.66,182,614.42,8.43108181430524,0.247584356798338,0.028781096867714,74,8.37467086444452,8.48749276416596,967.981440006071,44.8514284387401,5.21387265029092,74,957.762249611501,978.200630400641,1761.67392308255,45.1837720533506,5.25250681074098,74,1751.3790097335,1771.9688364316,116.713918296991,0.172687553967121,0.0200745203891237,74,116.674572237028,116.753264356954,62.5585647794889,0.161893261985759,0.0188197094343791,74,62.5216781489975,62.5954514099803,179.27248307648,0.332364822072087,0.0386366257673897,74,179.196755289976,179.348210862984,0,0,0,74,0,0
"BAU_n_h_LD-LR_5","BAU","north","heavy","LD-LR",5,"winterwheat",191.76,72,168.66,182,614.42,7.5099866202173,0.062104345788174,0.00721948355360489,74,7.49583643245223,7.52413680798236,804.32833895551,11.2321227913428,1.30570775257424,74,801.769151760465,806.887526150556,1593.57287660314,11.3338927558376,1.3175382706418,74,1590.99050159268,1596.1552516136,113.950607950452,0.0337318666914826,0.00392124985330614,74,113.942922300739,113.958293600164,60.8739296971764,0.0681941629942993,0.00792741042419844,74,60.858391972745,60.8894674216079,174.824537647628,0.101771375461328,0.01183068208909,74,174.801349510733,174.847725784523,0,0,0,74,0,0
"BAU_n_h_LD-LR_6","BAU","north","heavy","LD-LR",6,"wosr",202.3,23.49,67.26,192,485.05,3.35,0,0,74,3.35,3.35,546.2,0,0,74,546.2,546.2,1345.25,0,0,74,1345.25,1345.25,203,0,0,74,203,203,111,0,0,74,111,111,314,0,0,74,314,314,0,0,0,74,0,0
"BAU_n_m_LD-LR_1","BAU","north","medium","LD-LR",1,"winterwheat",191.76,72,168.66,182,614.42,7.94,0,0,74,7.94,7.94,896.63,0,0,74,896.63,896.63,1672.05,0,0,74,1672.05,1672.05,105,0,0,74,105,105,56,0,0,74,56,56,161,0,0,74,161,161,0,0,0,74,0,0
"BAU_n_m_LD-LR_2","BAU","north","medium","LD-LR",2,"winterwheat",191.76,72,168.66,182,614.42,7.01303851843901,0.100492408417208,0.01168200519018,74,6.99014178826626,7.03593524861176,711.734483296186,18.1325426832846,2.10786527135335,74,707.603067364334,715.865899228039,1502.87575424726,18.3390454937152,2.13187073545987,74,1498.69728760576,1507.05422088877,114.765330643488,0.174807876579504,0.0203210028861883,74,114.725501477831,114.805159809145,61.9643074647296,0.0330509179205917,0.00384209116658457,74,61.9567769660431,61.9718379634161,176.729638108218,0.20760764008295,0.0241338979448196,74,176.682335668246,176.77694054819,0,0,0,74,0,0
"BAU_n_m_LD-LR_3","BAU","north","medium","LD-LR",3,"wosr",202.3,23.49,67.26,192,485.05,2.86,0,0,74,2.86,2.86,404.05,0,0,74,404.05,404.05,1181.1,0,0,74,1181.1,1181.1,189,0,0,74,189,189,103,0,0,74,103,103,292,0,0,74,292,292,0,0,0,74,0,0
"BAU_n_m_LD-LR_4","BAU","north","medium","LD-LR",4,"winterwheat",191.76,72,168.66,182,614.42,7.62715748347367,0.170447164787414,0.0198140804371156,74,7.58832188581692,7.66599308113042,840.116583114048,30.7846714445049,3.57864536492798,74,833.102438198789,847.130728029307,1614.95696632211,31.1064454429729,3.61605083245903,74,1607.86950669049,1622.04442595373,104.507976850885,0.263455819252255,0.0306261169013931,74,104.447949661759,104.568004040012,55.9132736209665,0.0580650163414341,0.006749921043313,74,55.9000437757216,55.9265034662114,160.421250471852,0.321214169374637,0.0373403887208588,74,160.348063309959,160.494437633745,0,0,0,74,0,0
