"ID","scenario","region","soiltype","initdenres_collapsed","year","crop","fertcost","seedcost","herbcost","sundry","varcost","wtd_yield_mean","wtd_yield_sd","wtd_yield_se","wtd_yield_n","wtd_yield_ci_l","wtd_yield_ci_u","wtd_gp_mean","wtd_gp_sd","wtd_gp_se","wtd_gp_n","wtd_gp_ci_l","wtd_gp_ci_u","wtd_output_mean","wtd_output_sd","wtd_output_se","wtd_output_n","wtd_output_ci_l","wtd_output_ci_u","wtd_fuelcost_mean","wtd_fuelcost_sd","wtd_fuelcost_se","wtd_fuelcost_n","wtd_fuelcost_ci_l","wtd_fuelcost_ci_u","wtd_labcost_mean","wtd_labcost_sd","wtd_labcost_se","wtd_labcost_n","wtd_labcost_ci_l","wtd_labcost_ci_u","wtd_opscost_mean","wtd_opscost_sd","wtd_opscost_se","wtd_opscost_n","wtd_opscost_ci_l","wtd_opscost_ci_u","wtd_opp_cost_mean","wtd_opp_cost_sd","wtd_opp_cost_se","wtd_opp_cost_n","wtd_opp_cost_ci_l","wtd_opp_cost_ci_u"
"BAU_n_h_LD-LR_1","BAU","north","heavy","LD-LR",1,"winterwheat",191.76,72,168.66,182,614.42,8.366,0,0,74,8.366,8.366,956.176,0,0,74,956.176,956.176,1749.796,0,0,74,1749.796,1749.796,116.6,0,0,74,116.6,116.6,62.6,0,0,74,62.6,62.6,179.2,0,0,74,179.2,179.2,0,0,0,74,0,0
"BAU_n_h_LD-LR_2","BAU","north","heavy","LD-LR",2,"winterwheat",191.76,72,168.66,182,614.42,7.60017553709076,0.162819600180515,0.0189273940621976,74,7.56307784472885,7.63727322945266,821.315867874201,29.474302708276,3.42631809345764,74,814.600284411024,828.031451337377,1610.03065455661,29.7150037298236,3.45429901885578,74,1603.26022847965,1616.80108063356,113.697369632499,0.139073170631887,0.0161669276985731,74,113.66568245421,113.729056810788,60.598930201746,0.102187657229916,0.0118790738617405,74,60.575647216977,60.622213186515,174.296299834245,0.240019063638014,0.0279016494014217,74,174.241612601418,174.350987067072,0,0,0,74,0,0
"BAU_n_h_LD-LR_3","BAU","north","heavy","LD-LR",3,"wosr",202.3,23.49,67.26,192,485.05,3.35,0,0,74,3.35,3.35,546.2,0,0,74,546.2,546.2,1345.25,0,0,74,1345.25,1345.25,203,0,0,74,203,203,111,0,0,74,111,111,314,0,0,74,314,314,0,0,0,74,0,0
"BAU_n_h_LD-LR_4","BAU","north","heavy","LD-LR",4,"winterwheat",191.76,72,168.66,182,614.42,8.38707858750877,0.250316048550394,0.0290986495836665,74,8.33004523432478,8.44411194069275,960.010412933578,45.3472232915855,5.27150763123553,74,949.678257976356,970.342567890799,1753.64341682073,45.6823372345263,5.31046383581254,74,1743.23490770254,1764.05192593892,116.685282642181,0.178722591143953,0.0207760792106616,74,116.644561526928,116.726003757434,62.5277212449716,0.158696594059991,0.0184481043361604,74,62.4915629604727,62.5638795294704,179.213003887153,0.335135626961784,0.0389587252932369,74,179.136644785578,179.289362988728,0,0,0,74,0,0
"BAU_n_h_LD-LR_5","BAU","north","heavy","LD-LR",5,"winterwheat",191.76,72,168.66,182,614.42,7.50471898357446,0.0631285514425032,0.00733854504250873,74,7.49033543529114,7.51910253185777,803.375696351956,11.4174030501688,1.3272461451686,74,800.774293907425,805.977098796486,1592.61154759912,11.5208093024531,1.339266877828,74,1589.98658451857,1595.23651067966,113.948005665863,0.0344839436359939,0.00400867702225924,74,113.9401486589,113.955862672827,60.8678455812952,0.0690839681640041,0.00803084817411866,74,60.8521051188739,60.8835860437165,174.815851247159,0.103407717098971,0.0120209029406443,74,174.792290277395,174.839412216922,0,0,0,74,0,0
"BAU_n_h_LD-LR_6","BAU","north","heavy","LD-LR",6,"wosr",202.3,23.49,67.26,192,485.05,3.35,0,0,74,3.35,3.35,546.2,0,0,74,546.2,546.2,1345.25,0,0,74,1345.25,1345.25,203,0,0,74,203,203,111,0,0,74,111,111,314,0,0,74,314,314,0,0,0,74,0,0
"BAU_n_m_LD-LR_1","BAU","north","medium","LD-LR",1,"winterwheat",191.76,72,168.66,182,614.42,7.416,0,0,74,7.416,7.416,802.002,0,0,74,802.002,802.002,1576.42,0,0,74,1576.42,1576.42,104.2,0,0,74,104.2,104.2,55.8,0,0,74,55.8,55.8,160,0,0,74,160,160,0,0,0,74,0,0
"BAU_n_m_LD-LR_2","BAU","north","medium","LD-LR",2,"winterwheat",191.76,72,168.66,182,614.42,6.82342046123207,0.130122074848108,0.0151263839495391,74,6.79377274869097,6.85306817377317,677.528379704483,23.4699543785785,2.72832677793491,74,672.180859219731,682.875900189236,1468.27174531619,23.7465054352817,2.76047518526877,74,1462.86121395306,1473.68227667931,114.441738667306,0.219431656294924,0.0255084119099303,74,114.391742179962,114.491735154649,61.8882787559519,0.0583813003005157,0.00678668830672878,74,61.8749768468707,61.9015806650331,176.330017423258,0.277596608100571,0.0322699502149847,74,176.266768320836,176.393266525679,0,0,0,74,0,0
"BAU_n_m_LD-LR_3","BAU","north","medium","LD-LR",3,"wosr",202.3,23.49,67.26,192,485.05,2.86,0,0,74,2.86,2.86,404.05,0,0,74,404.05,404.05,1181.1,0,0,74,1181.1,1181.1,189,0,0,74,189,189,103,0,0,74,103,103,292,0,0,74,292,292,0,0,0,74,0,0
"BAU_n_m_LD-LR_4","BAU","north","medium","LD-LR",4,"winterwheat",191.76,72,168.66,182,614.42,7.59320149568032,0.176958133809675,0.0205709652118875,74,7.55288240386502,7.63352058749562,833.983528237243,31.9598209650775,3.71525372186547,74,826.701630942386,841.265425532099,1608.76003987127,32.2947237482584,3.75418537961898,74,1601.40183652722,1616.11824321533,104.455315527805,0.272872125616336,0.0317207402819059,74,104.393142876852,104.517488178758,55.9021743625976,0.0617571196091627,0.00717911933018479,74,55.8881032887105,55.9162454364848,160.357489890403,0.334307469648065,0.0388624539610086,74,160.281319480639,160.433660300166,0,0,0,74,0,0
