"","field_name","crop1","crop2","crop3","crop4","crop5","crop6","yield.1","output.1","fertcost.1","seedcost.1","herbcost.1","sundry.1","varcost.1","gmargin.1","fuelcost.1","labcost.1","opcost.1","grossprof.1","rotgrossprof.1","yield.2","output.2","fertcost.2","seedcost.2","herbcost.2","sundry.2","varcost.2","gmargin.2","fuelcost.2","labcost.2","opcost.2","grossprof.2","rotgrossprof.2","yield.3","output.3","fertcost.3","seedcost.3","herbcost.3","sundry.3","varcost.3","gmargin.3","fuelcost.3","labcost.3","opcost.3","grossprof.3","rotgrossprof.3","yield.4","output.4","fertcost.4","seedcost.4","herbcost.4","sundry.4","varcost.4","gmargin.4","fuelcost.4","labcost.4","opcost.4","grossprof.4","rotgrossprof.4","yield.5","output.5","fertcost.5","seedcost.5","herbcost.5","sundry.5","varcost.5","gmargin.5","fuelcost.5","labcost.5","opcost.5","grossprof.5","rotgrossprof.5","yield.6","output.6","fertcost.6","seedcost.6","herbcost.6","sundry.6","varcost.6","gmargin.6","fuelcost.6","labcost.6","opcost.6","grossprof.6","rotgrossprof.6","totalrotgrossprof"
"1","HD-HR.E.h","springlinseed","springbeans","winterwheat","springbarley","winterwheat","springlinseed",1.71,872.8,90.2,83.2,120.1,53,346.5,526.3,198,101,299,227.3,37.88,4.43,1042.55,52.58,138.7,195.67,81,467.95,574.6,237,123,360,214.6,35.77,8.29,1735.93,246.32,72,226.69,182,727.01,1008.92,138,70,208,800.92,133.49,5.5,1171.75,125.22,49.4,20.18,151,345.8,825.95,130,65,195,630.95,105.16,7.3781,1569.5,246.32,72,226.69,182,727.01,842.49,151,78,229,613.49,102.25,1.71,872.8,90.2,83.2,120.1,53,346.5,526.3,198,101,299,227.3,37.88,488.26
"2","VD-HR.E.h","springlinseed","springbeans","winterwheat","springbarley","winterwheat","springlinseed",1.71,872.8,90.2,83.2,120.1,53,346.5,526.3,198,101,299,227.3,37.88,4.43,1042.55,52.58,138.7,195.67,81,467.95,574.6,237,123,360,214.6,35.77,8.29,1735.93,246.32,72,226.69,182,727.01,1008.92,138,70,208,800.92,133.49,5.5,1171.75,125.22,49.4,20.18,151,345.8,825.95,130,65,195,630.95,105.16,7.3781,1569.5,246.32,72,226.69,182,727.01,842.49,151,78,229,613.49,102.25,1.71,872.8,90.2,83.2,120.1,53,346.5,526.3,198,101,299,227.3,37.88,488.26
"3","HD-HR.E.m","springlinseed","springbeans","winterwheat","springbarley","winterwheat","springlinseed",1.39,751.2,90.2,83.2,120.1,53,346.5,404.7,184,95,279,125.7,20.95,3.24,822.4,52.58,138.7,195.67,81,467.95,354.45,212,111,323,31.45,5.24,7.35,1564.38,246.32,72,226.69,182,727.01,837.37,125,64,189,648.37,108.06,5.5,1171.75,125.22,49.4,20.18,151,345.8,825.95,118,59,177,648.95,108.16,6.5415,1416.82,246.32,72,226.69,182,727.01,689.81,133,69,202,487.81,81.3,1.39,751.2,90.2,83.2,120.1,53,346.5,404.7,184,95,279,125.7,20.95,509.1
"4","VD-HR.E.m","springlinseed","springbeans","winterwheat","springbarley","winterwheat","springlinseed",1.39,751.2,90.2,83.2,120.1,53,346.5,404.7,184,95,279,125.7,20.95,3.24,822.4,52.58,138.7,195.67,81,467.95,354.45,212,111,323,31.45,5.24,7.35,1564.38,246.32,72,226.69,182,727.01,837.37,125,64,189,648.37,108.06,5.5,1171.75,125.22,49.4,20.18,151,345.8,825.95,118,59,177,648.95,108.16,6.5415,1416.82,246.32,72,226.69,182,727.01,689.81,133,69,202,487.81,81.3,1.39,751.2,90.2,83.2,120.1,53,346.5,404.7,184,95,279,125.7,20.95,509.1
"5","HD-HR.E.l","springlinseed","driedpeas","winterwheat","sugarbeet","springbarley","winterwheat",1.07,629.6,90.2,83.2,120.1,53,346.5,283.1,171,88,259,24.1,4.02,4.36,1204,43.6,141,195.67,155,535.27,668.73,208,107,315,353.73,58.96,6,1318,190.32,72,226.69,182,671.01,646.99,110,57,167,479.99,80,69.58,2112.79,175.06,218.75,182.03,835.9,1411.74,701.05,165,89,254,447.05,74.51,5.5,1171.75,125.22,49.4,20.18,151,345.8,825.95,106,52,158,667.95,111.32,5.34,1197.55,190.32,72,226.69,182,671.01,526.54,115,60,175,351.54,58.59,624.81
"6","VD-HR.E.l","springlinseed","driedpeas","winterwheat","sugarbeet","springbarley","winterwheat",1.07,629.6,90.2,83.2,120.1,53,346.5,283.1,171,88,259,24.1,4.02,4.36,1204,43.6,141,195.67,155,535.27,668.73,208,107,315,353.73,58.96,6,1318,190.32,72,226.69,182,671.01,646.99,110,57,167,479.99,80,69.58,2112.79,175.06,218.75,182.03,835.9,1411.74,701.05,165,89,254,447.05,74.51,5.5,1171.75,125.22,49.4,20.18,151,345.8,825.95,106,52,158,667.95,111.32,5.34,1197.55,190.32,72,226.69,182,671.01,526.54,115,60,175,351.54,58.59,624.81
"7","HD-HR.N.h","setaside","sosr","springbarley","winterwheat","wosr","winterwheat",0,223,0,0,19.93,2,21.93,201.07,45,24,69,132.07,22.01,2.09,923.15,114.54,36.67,10.21,140,301.42,621.73,168,86,254,367.73,61.29,5.68,1299.36,134.4,76,88.21,151,449.61,849.75,131,66,197,652.75,108.79,7.3781,1569.5,246.32,90,191.56,182,709.88,859.63,132,68,200,659.63,109.94,3.36,1348.6,197.22,23.49,65.31,192,478.02,870.58,164,85,249,621.58,103.6,8.29,1735.93,246.32,90,191.56,182,709.88,1026.05,133,68,201,825.05,137.51,543.14
"8","VD-HR.N.h","setaside","sosr","springbarley","winterwheat","wosr","winterwheat",0,223,0,0,19.93,2,21.93,201.07,45,24,69,132.07,22.01,2.09,923.15,114.54,36.67,10.21,140,301.42,621.73,168,86,254,367.73,61.29,5.68,1299.36,134.4,76,88.21,151,449.61,849.75,131,66,197,652.75,108.79,7.3781,1569.5,246.32,90,191.56,182,709.88,859.63,132,68,200,659.63,109.94,3.36,1348.6,197.22,23.49,65.31,192,478.02,870.58,164,85,249,621.58,103.6,8.29,1735.93,246.32,90,191.56,182,709.88,1026.05,133,68,201,825.05,137.51,543.14
"9","HD-HR.N.m","setaside","sosr","springbarley","winterwheat","wosr","winterwheat",0,223,0,0,19.93,2,21.93,201.07,39,21,60,141.07,23.51,2.09,923.15,114.54,36.67,10.21,140,301.42,621.73,162,83,245,376.73,62.79,5.38,1242.51,134.4,76,88.21,151,449.61,792.9,119,59,178,614.9,102.48,6.5415,1416.82,246.32,90,191.56,182,709.88,706.95,119,60,179,527.95,87.99,2.86,1181.1,197.22,23.49,65.31,192,478.02,703.08,161,84,245,458.08,76.35,7.35,1564.38,246.32,90,191.56,182,709.88,854.5,121,61,182,672.5,112.08,465.2
"10","VD-HR.N.m","setaside","sosr","springbarley","winterwheat","wosr","winterwheat",0,223,0,0,19.93,2,21.93,201.07,39,21,60,141.07,23.51,2.09,923.15,114.54,36.67,10.21,140,301.42,621.73,162,83,245,376.73,62.79,5.38,1242.51,134.4,76,88.21,151,449.61,792.9,119,59,178,614.9,102.48,6.5415,1416.82,246.32,90,191.56,182,709.88,706.95,119,60,179,527.95,87.99,2.86,1181.1,197.22,23.49,65.31,192,478.02,703.08,161,84,245,458.08,76.35,7.35,1564.38,246.32,90,191.56,182,709.88,854.5,121,61,182,672.5,112.08,465.2
"11","HD-HR.N.l","setaside","sosr","springbarley","winterwheat","wosr","winterwheat",0,223,0,0,19.93,2,21.93,201.07,33,18,51,150.07,25.01,2.09,923.15,114.54,36.67,10.21,140,301.42,621.73,157,80,237,384.73,64.12,5.08,1185.66,134.4,76,88.21,151,449.61,736.05,106,53,159,577.05,96.18,5.34,1197.55,190.32,90,191.56,182,653.88,543.67,105,54,159,384.67,64.11,2.37,1016.95,197.22,23.49,65.31,192,478.02,538.93,160,83,243,295.93,49.32,6,1318,246.32,90,191.56,182,709.88,608.12,106,54,160,448.12,74.69,373.43
"12","VD-HR.N.l","setaside","sosr","springbarley","winterwheat","wosr","winterwheat",0,223,0,0,19.93,2,21.93,201.07,33,18,51,150.07,25.01,2.09,923.15,114.54,36.67,10.21,140,301.42,621.73,157,80,237,384.73,64.12,5.08,1185.66,134.4,76,88.21,151,449.61,736.05,106,53,159,577.05,96.18,5.34,1197.55,190.32,90,191.56,182,653.88,543.67,105,54,159,384.67,64.11,2.37,1016.95,197.22,23.49,65.31,192,478.02,538.93,160,83,243,295.93,49.32,6,1318,246.32,90,191.56,182,709.88,608.12,106,54,160,448.12,74.69,373.43
"13","HD-HR.C.h","winterwheat","springbarley","springbeans","winterwheat","springbarley","wosr",8.35,1746.88,270.32,90,254.65,182,796.97,949.91,144,73,217,732.91,122.15,5.3489,1236.62,166.4,76,37.69,151,431.09,805.53,141,72,213,592.53,98.75,4.43,1042.55,52.58,138.7,107.89,81,380.17,662.38,231,120,351,311.38,51.9,8.35,1746.88,270.32,90,240.07,182,782.39,964.49,144,73,217,747.49,124.58,5.3489,1236.62,166.4,76,37.69,151,431.09,805.53,141,72,213,592.53,98.75,3.36,1348.6,197.22,23.49,74.1,192,486.81,861.79,169,87,256,605.79,100.97,597.1
"14","VD-HR.C.h","winterwheat","springbarley","springbeans","winterwheat","springbarley","wosr",8.35,1746.88,270.32,90,254.65,182,796.97,949.91,144,73,217,732.91,122.15,5.3489,1236.62,166.4,76,37.69,151,431.09,805.53,141,72,213,592.53,98.75,4.43,1042.55,52.58,138.7,107.89,81,380.17,662.38,231,120,351,311.38,51.9,8.35,1746.88,270.32,90,240.07,182,782.39,964.49,144,73,217,747.49,124.58,5.3489,1236.62,166.4,76,37.69,151,431.09,805.53,141,72,213,592.53,98.75,3.36,1348.6,197.22,23.49,74.1,192,486.81,861.79,169,87,256,605.79,100.97,597.1
"15","HD-HR.C.m","winterwheat","springbarley","springbeans","winterwheat","springbarley","wosr",7.39,1571.67,270.32,90,254.65,182,796.97,774.71,132,66,198,576.71,96.12,5.0552,1180.96,166.4,76,37.69,151,431.09,749.87,128,66,194,555.87,92.65,3.24,822.4,52.58,138.7,107.89,81,380.17,442.23,209,110,319,123.23,20.54,7.39,1571.67,270.32,90,240.07,182,782.39,789.29,132,66,198,591.29,98.55,5.0552,1180.96,166.4,76,37.69,151,431.09,749.87,128,66,194,555.87,92.65,2.86,1181.1,197.22,23.49,74.1,192,486.81,694.29,166,86,252,442.29,73.72,474.23
"16","VD-HR.C.m","winterwheat","springbarley","springbeans","winterwheat","springbarley","wosr",7.39,1571.67,270.32,90,254.65,182,796.97,774.71,132,66,198,576.71,96.12,5.0552,1180.96,166.4,76,37.69,151,431.09,749.87,128,66,194,555.87,92.65,3.24,822.4,52.58,138.7,107.89,81,380.17,442.23,209,110,319,123.23,20.54,7.39,1571.67,270.32,90,240.07,182,782.39,789.29,132,66,198,591.29,98.55,5.0552,1180.96,166.4,76,37.69,151,431.09,749.87,128,66,194,555.87,92.65,2.86,1181.1,197.22,23.49,74.1,192,486.81,694.29,166,86,252,442.29,73.72,474.23
"17","HD-HR.C.l","winterwheat","springbarley","driedpeas","winterwheat","springbarley","wosr",6.23,1359.98,214.32,86.4,254.65,182,737.37,622.61,116,59,175,447.61,74.6,4.7793,1128.68,166.4,76,37.69,151,431.09,697.59,116,60,176,521.59,86.93,4.36,1204,43.6,141,107.89,155,447.49,756.51,208,107,315,441.51,73.59,6.23,1359.98,214.32,86.4,240.07,182,722.79,637.19,116,59,175,462.19,77.03,4.7793,1128.68,166.4,76,37.69,151,431.09,697.59,116,60,176,521.59,86.93,2.37,1016.95,197.22,23.49,74.1,192,486.81,530.14,165,85,250,280.14,46.69,445.77
"18","VD-HR.C.l","winterwheat","springbarley","driedpeas","winterwheat","springbarley","wosr",6.23,1359.98,214.32,86.4,254.65,182,737.37,622.61,116,59,175,447.61,74.6,4.7793,1128.68,166.4,76,37.69,151,431.09,697.59,116,60,176,521.59,86.93,4.36,1204,43.6,141,107.89,155,447.49,756.51,208,107,315,441.51,73.59,6.23,1359.98,214.32,86.4,240.07,182,722.79,637.19,116,59,175,462.19,77.03,4.7793,1128.68,166.4,76,37.69,151,431.09,697.59,116,60,176,521.59,86.93,2.37,1016.95,197.22,23.49,74.1,192,486.81,530.14,165,85,250,280.14,46.69,445.77
"19","LD-HR.E.h","winterwheat","springbeans","winterwheat","winterbarley","wosr","winterwheat",8.34,1745.05,262.32,72,124.51,182,640.83,1104.22,128,64,192,912.22,152.04,4.43,1042.55,52.58,115.9,129.85,81,379.33,663.22,241,125,366,297.22,49.54,8.34,1745.05,262.32,72,124.51,182,640.83,1104.22,128,64,192,912.22,152.04,6.7106,1367.16,220.62,77.76,183.01,158,639.39,727.77,142,73,215,512.77,85.46,3.36,1348.6,197.22,23.49,60.45,192,473.16,875.44,160,82,242,633.44,105.57,8.34,1745.05,262.32,72,124.51,182,640.83,1104.22,142,72,214,890.22,148.37,693.02
"20","MD-HR.E.h","winterwheat","springbeans","winterwheat","winterbarley","wosr","winterwheat",8.34,1745.05,262.32,72,124.51,182,640.83,1104.22,128,64,192,912.22,152.04,4.43,1042.55,52.58,115.9,129.85,81,379.33,663.22,241,125,366,297.22,49.54,8.34,1745.05,262.32,72,124.51,182,640.83,1104.22,128,64,192,912.22,152.04,6.7106,1367.16,220.62,77.76,183.01,158,639.39,727.77,142,73,215,512.77,85.46,3.36,1348.6,197.22,23.49,60.45,192,473.16,875.44,160,82,242,633.44,105.57,8.34,1745.05,262.32,72,124.51,182,640.83,1104.22,142,72,214,890.22,148.37,693.02
"21","LD-HR.E.m","winterwheat","springbeans","winterwheat","winterbarley","wosr","winterwheat",7.38,1569.85,262.32,72,124.51,182,640.83,929.02,115,58,173,756.02,126,3.24,822.4,52.58,115.9,129.85,81,379.33,443.07,217,113,330,113.07,18.85,7.38,1569.85,262.32,72,124.51,182,640.83,929.02,115,58,173,756.02,126,5.9897,1244.24,220.62,77.76,183.01,158,639.39,604.85,129,66,195,409.85,68.31,2.86,1181.1,197.22,23.49,60.45,192,473.16,707.94,157,81,238,469.94,78.32,7.38,1569.85,262.32,72,124.51,182,640.83,929.02,125,64,189,740.02,123.34,540.82
"22","MD-HR.E.m","winterwheat","springbeans","winterwheat","winterbarley","wosr","winterwheat",7.38,1569.85,262.32,72,124.51,182,640.83,929.02,115,58,173,756.02,126,3.24,822.4,52.58,115.9,129.85,81,379.33,443.07,217,113,330,113.07,18.85,7.38,1569.85,262.32,72,124.51,182,640.83,929.02,115,58,173,756.02,126,5.9897,1244.24,220.62,77.76,183.01,158,639.39,604.85,129,66,195,409.85,68.31,2.86,1181.1,197.22,23.49,60.45,192,473.16,707.94,157,81,238,469.94,78.32,7.38,1569.85,262.32,72,124.51,182,640.83,929.02,125,64,189,740.02,123.34,540.82
"23","LD-HR.E.l","winterwheat","driedpeas","winterwheat","winterbarley","wosr","winterwheat",6.18,1350.85,206.32,72,124.51,182,584.83,766.02,100,51,151,615.02,102.5,4.36,1204,43.6,141,154.21,155,493.81,710.19,208,107,315,395.19,65.87,6.18,1350.85,206.32,72,124.51,182,584.83,766.02,100,51,151,615.02,102.5,5.2777,1122.85,220.62,77.76,183.01,158,639.39,483.46,115,59,174,309.46,51.58,2.37,1016.95,197.22,23.49,60.45,192,473.16,543.79,156,80,236,307.79,51.3,6.18,1350.85,206.32,72,124.51,182,584.83,766.02,106,54,160,606.02,101,474.75
"24","MD-HR.E.l","winterwheat","driedpeas","winterwheat","winterbarley","wosr","winterwheat",6.18,1350.85,206.32,72,124.51,182,584.83,766.02,100,51,151,615.02,102.5,4.36,1204,43.6,141,154.21,155,493.81,710.19,208,107,315,395.19,65.87,6.18,1350.85,206.32,72,124.51,182,584.83,766.02,100,51,151,615.02,102.5,5.2777,1122.85,220.62,77.76,183.01,158,639.39,483.46,115,59,174,309.46,51.58,2.37,1016.95,197.22,23.49,60.45,192,473.16,543.79,156,80,236,307.79,51.3,6.18,1350.85,206.32,72,124.51,182,584.83,766.02,106,54,160,606.02,101,474.75
"25","LD-HR.N.h","winterwheat","winterbarley","springbeans","winterwheat","winterbarley","springbeans",8.29,1735.93,246.32,72,186.21,182,686.53,1049.39,128,64,192,857.4,142.9,6.6839,1362.6,212.62,73.8,94.56,158,538.98,823.62,132,68,200,623.62,103.94,4.43,1042.55,52.58,115.9,109.18,81,358.66,683.88,201,103,304,379.88,63.31,8.29,1735.93,246.32,72,186.21,182,686.53,1049.39,128,64,192,857.4,142.9,6.6839,1362.6,212.62,73.8,94.56,158,538.98,823.62,132,68,200,623.62,103.94,4.43,1042.55,52.58,115.9,109.18,81,358.66,683.88,201,103,304,379.88,63.31,620.3
"26","MD-HR.N.h","winterwheat","winterbarley","springbeans","winterwheat","winterbarley","springbeans",8.29,1735.93,246.32,72,186.21,182,686.53,1049.39,128,64,192,857.4,142.9,6.6839,1362.6,212.62,73.8,94.56,158,538.98,823.62,132,68,200,623.62,103.94,4.43,1042.55,52.58,115.9,109.18,81,358.66,683.88,201,103,304,379.88,63.31,8.29,1735.93,246.32,72,186.21,182,686.53,1049.39,128,64,192,857.4,142.9,6.6839,1362.6,212.62,73.8,94.56,158,538.98,823.62,132,68,200,623.62,103.94,4.43,1042.55,52.58,115.9,109.18,81,358.66,683.88,201,103,304,379.88,63.31,620.3
"27","LD-HR.N.m","winterwheat","winterbarley","springbeans","winterwheat","winterbarley","springbeans",7.35,1564.38,246.32,72,186.21,182,686.53,877.84,115,58,173,704.84,117.47,5.9719,1241.21,212.62,73.8,94.56,158,538.98,702.23,119,61,180,522.23,87.04,3.24,822.4,52.58,115.9,109.18,81,358.66,463.74,184,95,279,184.74,30.79,7.35,1564.38,246.32,72,186.21,182,686.53,877.84,115,58,173,704.84,117.47,5.9719,1241.21,212.62,73.8,94.56,158,538.98,702.23,119,61,180,522.23,87.04,3.24,822.4,52.58,115.9,109.18,81,358.66,463.74,184,95,279,184.74,30.79,470.6
"28","MD-HR.N.m","winterwheat","winterbarley","springbeans","winterwheat","winterbarley","springbeans",7.35,1564.38,246.32,72,186.21,182,686.53,877.84,115,58,173,704.84,117.47,5.9719,1241.21,212.62,73.8,94.56,158,538.98,702.23,119,61,180,522.23,87.04,3.24,822.4,52.58,115.9,109.18,81,358.66,463.74,184,95,279,184.74,30.79,7.35,1564.38,246.32,72,186.21,182,686.53,877.84,115,58,173,704.84,117.47,5.9719,1241.21,212.62,73.8,94.56,158,538.98,702.23,119,61,180,522.23,87.04,3.24,822.4,52.58,115.9,109.18,81,358.66,463.74,184,95,279,184.74,30.79,470.6
"29","LD-HR.N.l","winterwheat","winterbarley","driedpeas","winterwheat","winterbarley","driedpeas",6,1318,190.32,72,186.21,182,630.53,687.47,100,51,151,536.47,89.41,5.251,1118.3,212.62,73.8,94.56,158,538.98,579.32,105,54,159,420.32,70.05,4.36,1204,43.6,141,131.61,155,471.21,732.79,187,96,283,449.79,74.96,6,1318,190.32,72,186.21,182,630.53,687.47,100,51,151,536.47,89.41,5.251,1118.3,212.62,73.8,94.56,158,538.98,579.32,105,54,159,420.32,70.05,4.36,1204,43.6,141,131.61,155,471.21,732.79,187,96,283,449.79,74.96,468.84
"30","MD-HR.N.l","winterwheat","winterbarley","driedpeas","winterwheat","winterbarley","driedpeas",6,1318,190.32,72,186.21,182,630.53,687.47,100,51,151,536.47,89.41,5.251,1118.3,212.62,73.8,94.56,158,538.98,579.32,105,54,159,420.32,70.05,4.36,1204,43.6,141,131.61,155,471.21,732.79,187,96,283,449.79,74.96,6,1318,190.32,72,186.21,182,630.53,687.47,100,51,151,536.47,89.41,5.251,1118.3,212.62,73.8,94.56,158,538.98,579.32,105,54,159,420.32,70.05,4.36,1204,43.6,141,131.61,155,471.21,732.79,187,96,283,449.79,74.96,468.84
"31","LD-HR.C.h","winterwheat","springbarley","wosr","winterwheat","springbarley","wosr",8.29,1735.93,246.32,72,67,182,567.32,1168.61,147,75,222,946.61,157.77,4.9573,1162.41,134.4,76,27.24,151,388.64,773.77,124,63,187,586.77,97.79,3.36,1348.6,197.22,23.49,150.15,192,562.86,785.74,169,87,256,529.74,88.29,8.29,1735.93,246.32,72,67,182,567.32,1168.61,133,67,200,968.61,161.43,4.9573,1162.41,134.4,76,27.24,151,388.64,773.77,124,63,187,586.77,97.79,3.36,1348.6,197.22,23.49,150.15,192,562.86,785.74,169,87,256,529.74,88.29,691.36
"32","MD-HR.C.h","winterwheat","springbarley","wosr","winterwheat","springbarley","wosr",8.29,1735.93,246.32,72,67,182,567.32,1168.61,147,75,222,946.61,157.77,4.9573,1162.41,134.4,76,27.24,151,388.64,773.77,124,63,187,586.77,97.79,3.36,1348.6,197.22,23.49,150.15,192,562.86,785.74,169,87,256,529.74,88.29,8.29,1735.93,246.32,72,67,182,567.32,1168.61,133,67,200,968.61,161.43,4.9573,1162.41,134.4,76,27.24,151,388.64,773.77,124,63,187,586.77,97.79,3.36,1348.6,197.22,23.49,150.15,192,562.86,785.74,169,87,256,529.74,88.29,691.36
"33","LD-HR.C.m","winterwheat","springbarley","wosr","winterwheat","springbarley","wosr",7.35,1564.38,246.32,72,67,182,567.32,997.06,130,67,197,800.06,133.34,4.6903,1111.81,134.4,76,27.24,151,388.64,723.17,114,58,172,551.17,91.86,2.86,1181.1,197.22,23.49,150.15,192,562.86,618.24,166,86,252,366.24,61.04,7.35,1564.38,246.32,72,67,182,567.32,997.06,120,61,181,816.06,136.01,4.6903,1111.81,134.4,76,27.24,151,388.64,723.17,114,58,172,551.17,91.86,2.86,1181.1,197.22,23.49,150.15,192,562.86,618.24,166,86,252,366.24,61.04,575.15
"34","MD-HR.C.m","winterwheat","springbarley","wosr","winterwheat","springbarley","wosr",7.35,1564.38,246.32,72,67,182,567.32,997.06,130,67,197,800.06,133.34,4.6903,1111.81,134.4,76,27.24,151,388.64,723.17,114,58,172,551.17,91.86,2.86,1181.1,197.22,23.49,150.15,192,562.86,618.24,166,86,252,366.24,61.04,7.35,1564.38,246.32,72,67,182,567.32,997.06,120,61,181,816.06,136.01,4.6903,1111.81,134.4,76,27.24,151,388.64,723.17,114,58,172,551.17,91.86,2.86,1181.1,197.22,23.49,150.15,192,562.86,618.24,166,86,252,366.24,61.04,575.15
"35","LD-HR.C.l","winterwheat","springbarley","wosr","winterwheat","springbarley","wosr",6,1318,190.32,72,67,182,511.32,806.68,111,57,168,638.68,106.45,4.4322,1062.9,134.4,76,27.24,151,388.64,674.26,105,53,158,516.26,86.04,2.37,1016.95,197.22,23.49,150.15,192,562.86,454.09,165,85,250,204.09,34.02,6,1318,190.32,72,67,182,511.32,806.68,105,54,159,647.68,107.95,4.4322,1062.9,134.4,76,27.24,151,388.64,674.26,105,53,158,516.26,86.04,2.37,1016.95,197.22,23.49,150.15,192,562.86,454.09,165,85,250,204.09,34.02,454.52
"36","MD-HR.C.l","winterwheat","springbarley","wosr","winterwheat","springbarley","wosr",6,1318,190.32,72,67,182,511.32,806.68,111,57,168,638.68,106.45,4.4322,1062.9,134.4,76,27.24,151,388.64,674.26,105,53,158,516.26,86.04,2.37,1016.95,197.22,23.49,150.15,192,562.86,454.09,165,85,250,204.09,34.02,6,1318,190.32,72,67,182,511.32,806.68,105,54,159,647.68,107.95,4.4322,1062.9,134.4,76,27.24,151,388.64,674.26,105,53,158,516.26,86.04,2.37,1016.95,197.22,23.49,150.15,192,562.86,454.09,165,85,250,204.09,34.02,454.52
"37","LD-LR.E.h","winterwheat","wosr","winterwheat","winterwheat","wosr","winterwheat",8.29,1735.93,246.32,72,107.22,182,607.54,1128.39,117,59,176,952.39,158.73,3.36,1348.6,197.22,23.49,0,192,412.71,935.89,196,102,298,637.89,106.32,8.29,1735.93,246.32,72,107.22,182,607.54,1128.39,117,59,176,952.39,158.73,7.0465,1508.99,246.32,72,107.22,182,607.54,901.45,117,59,176,725.45,120.91,3.36,1348.6,197.22,23.49,0,192,412.71,935.89,196,102,298,637.89,106.32,8.29,1735.93,246.32,72,107.22,182,607.54,1128.39,117,59,176,952.39,158.73,809.74
"38","MD-LR.E.h","winterwheat","wosr","winterwheat","winterwheat","wosr","winterwheat",8.29,1735.93,246.32,72,107.22,182,607.54,1128.39,117,59,176,952.39,158.73,3.36,1348.6,197.22,23.49,0,192,412.71,935.89,196,102,298,637.89,106.32,8.29,1735.93,246.32,72,107.22,182,607.54,1128.39,117,59,176,952.39,158.73,7.0465,1508.99,246.32,72,107.22,182,607.54,901.45,117,59,176,725.45,120.91,3.36,1348.6,197.22,23.49,0,192,412.71,935.89,196,102,298,637.89,106.32,8.29,1735.93,246.32,72,107.22,182,607.54,1128.39,117,59,176,952.39,158.73,809.74
"39","LD-LR.E.m","winterwheat","wosr","winterwheat","winterwheat","wosr","winterwheat",7.35,1564.38,246.32,72,107.22,182,607.54,956.83,107,54,161,795.83,132.64,2.86,1181.1,197.22,23.49,0,192,412.71,768.39,180,94,274,494.39,82.4,7.35,1564.38,246.32,72,107.22,182,607.54,956.83,107,54,161,795.83,132.64,6.2475,1363.17,246.32,72,107.22,182,607.54,755.63,107,54,161,594.63,99.1,2.86,1181.1,197.22,23.49,0,192,412.71,768.39,180,94,274,494.39,82.4,7.35,1564.38,246.32,72,107.22,182,607.54,956.83,107,54,161,795.83,132.64,661.82
