"region","soiltype","initdenres_collapsed","oc","oc_ci_l","oc_ci_u","situation"
"north","heavy","LD-LR",102.648051914839,-203.430130493418,408.726234323096,"Current"
"north","heavy","LD-HR",-105.451042029238,-176.650708774203,-34.2513752842733,"Current"
"north","heavy","HD-HR",-185.814571590044,-474.182545625816,102.553402445729,"Current"
"north","medium","LD-LR",89.5764259786893,-210.587752592926,389.740604550304,"Current"
"north","medium","LD-HR",-118.470519052737,-195.117560159594,-41.8234779458802,"Current"
"north","medium","HD-HR",-123.879967183396,-384.231801191448,136.471866824655,"Current"
"north","light","LD-LR",151.936374123191,-43.0606336800797,346.933381926462,"Current"
"north","light","LD-HR",29.7921919369939,-72.9559430158385,132.540326889826,"Current"
"north","light","HD-HR",-61.5957221616688,-278.92268484661,155.731240523272,"Current"
"central","heavy","LD-LR",106.914329627802,-193.719926847464,407.548586103068,"Current"
"central","heavy","LD-HR",-24.1500614405983,-144.671743245815,96.3716203646188,"Current"
"central","heavy","HD-HR",-115.516867226649,-201.927964542963,-29.1057699103353,"Current"
"central","medium","LD-LR",89.5764259786893,-210.587752592926,389.740604550304,"Current"
"central","medium","LD-HR",-6.48406761202615,-88.2731457816834,75.3050105576311,"Current"
"central","medium","HD-HR",-105.974890775793,-200.00398704509,-11.9457945064966,"Current"
"central","light","LD-LR",151.938121873281,-43.059027280761,346.935271027323,"Current"
"central","light","LD-HR",18.861609034725,-45.3847525894246,83.1079706588747,"Current"
"central","light","HD-HR",19.7619692991569,-72.4791536221508,112.003092220465,"Current"
"east","heavy","LD-LR",64.2379723786465,-226.44123376548,354.917178522773,"Current"
"east","heavy","LD-HR",-46.3227033790025,-399.374632145085,306.72922538708,"Current"
"east","heavy","HD-HR",-277.560979056705,-581.561915701586,26.439957588176,"Current"
"east","medium","LD-LR",68.0738554634687,-187.141309810762,323.289020737699,"Current"
"east","medium","LD-HR",-27.2923720412477,-339.519157540583,284.934413458088,"Current"
"east","medium","HD-HR",-222.368849245572,-508.105547914158,63.3678494230144,"Current"
"east","light","LD-LR",60.9302459544121,-170.475211390585,292.33570329941,"Current"
"east","light","LD-HR",48.5923092144913,-182.912091751733,280.096710180716,"Current"
"east","light","HD-HR",-23.1890071881182,-275.054726822836,228.676712446599,"Current"
"north","heavy","LD-LR",337.57313099836,72.6933324786916,602.452929518028,"Worst case"
"north","heavy","LD-HR",76.2994866953342,-86.6458872716829,239.244860662351,"Worst case"
"north","heavy","HD-HR",-37.1425698804443,-251.964145523609,177.67900576272,"Worst case"
"north","medium","LD-LR",303.482433331122,42.6865501114196,564.278316550824,"Worst case"
"north","medium","LD-HR",56.0494408387703,-120.029521333564,232.128403011105,"Worst case"
"north","medium","HD-HR",24.764398523537,-159.634617916611,209.163414963685,"Worst case"
"north","light","LD-LR",327.786848499172,159.191304437427,496.382392560916,"Worst case"
"north","light","LD-HR",174.356922839372,145.687822817576,203.026022861168,"Worst case"
"north","light","HD-HR",55.5826052494115,-96.1283786047153,207.293589103538,"Worst case"
"central","heavy","LD-LR",341.906464331693,82.10256515248,601.710363510907,"Worst case"
"central","heavy","LD-HR",157.753565077493,0.318105667332759,315.189024487654,"Worst case"
"central","heavy","HD-HR",33.308163485048,-73.8942371288179,140.510564098914,"Worst case"
"central","medium","LD-LR",303.482433331122,42.6865501114196,564.278316550824,"Worst case"
"central","medium","LD-HR",168.035892279481,21.369000193343,314.70278436562,"Worst case"
"central","medium","HD-HR",42.66947493114,-94.4466507847458,179.785600647026,"Worst case"
"central","light","LD-LR",327.788596249261,159.192339931323,496.384852567199,"Worst case"
"central","light","LD-HR",163.426339937103,21.9630333201411,304.889646554065,"Worst case"
"central","light","HD-HR",136.940296710237,57.4877304637078,216.392862956767,"Worst case"
"east","heavy","LD-LR",319.501363003047,168.704011592181,470.298714413913,"Worst case"
"east","heavy","LD-HR",185.973554240937,-61.1603283269926,433.107436808866,"Worst case"
"east","heavy","HD-HR",-77.157650735086,-336.746083108419,182.430781638247,"Worst case"
"east","medium","LD-LR",281.979862815901,142.488214999256,421.471510632547,"Worst case"
"east","medium","LD-HR",147.22758785026,-93.6776241931375,388.132799893658,"Worst case"
"east","medium","HD-HR",-73.7244835386385,-323.886611548292,176.437644471015,"Worst case"
"east","light","LD-LR",236.780720330393,101.132300927418,372.429139733367,"Worst case"
"east","light","LD-HR",193.157040116869,26.2416334730542,360.072446760684,"Worst case"
"east","light","HD-HR",93.9893202229622,-121.353059431676,309.331699877601,"Worst case"
