"Field_no","field_name","crop1","crop2","crop3","crop4","crop5","crop6","yield.1","output.1","fertcost.1","seedcost.1","herbcost.1","sundry.1","varcost.1","gmargin.1","fuelcost.1","labcost.1","opcost.1","grossprof.1","rotgrossprof.1","yield.2","output.2","fertcost.2","seedcost.2","herbcost.2","sundry.2","varcost.2","gmargin.2","fuelcost.2","labcost.2","opcost.2","grossprof.2","rotgrossprof.2","yield.3","output.3","fertcost.3","seedcost.3","herbcost.3","sundry.3","varcost.3","gmargin.3","fuelcost.3","labcost.3","opcost.3","grossprof.3","rotgrossprof.3","yield.4","output.4","fertcost.4","seedcost.4","herbcost.4","sundry.4","varcost.4","gmargin.4","fuelcost.4","labcost.4","opcost.4","grossprof.4","rotgrossprof.4","yield.5","output.5","fertcost.5","seedcost.5","herbcost.5","sundry.5","varcost.5","gmargin.5","fuelcost.5","labcost.5","opcost.5","grossprof.5","rotgrossprof.5","yield.6","output.6","fertcost.6","seedcost.6","herbcost.6","sundry.6","varcost.6","gmargin.6","fuelcost.6","labcost.6","opcost.6","grossprof.6","rotgrossprof.6","totalrotgrossprof"
1,"N_heavy_HD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",7.79,1644.68,191.76,72,171.09,182,616.85,1027.83,116,62,178,849.83,141.64,7.011,1502.51,191.76,72,171.09,182,616.85,885.66,113,60,173,712.66,118.78,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,7.79,1644.68,191.76,72,171.09,182,616.85,1027.83,116,62,178,849.83,141.64,6.6215,1431.42,191.76,72,171.09,182,616.85,814.57,113,60,173,641.57,106.93,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,691.05
2,"N_heavy_VD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",7.79,1644.68,191.76,72,171.09,182,616.85,1027.83,116,62,178,849.83,141.64,7.011,1502.51,191.76,72,171.09,182,616.85,885.66,113,60,173,712.66,118.78,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,7.79,1644.68,191.76,72,171.09,182,616.85,1027.83,116,62,178,849.83,141.64,6.6215,1431.42,191.76,72,171.09,182,616.85,814.57,113,60,173,641.57,106.93,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,691.05
3,"N_heavy_LD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",7.79,1644.68,191.76,72,168.66,182,614.42,1030.26,116,62,178,852.26,142.04,7.011,1502.51,191.76,72,168.66,182,614.42,888.09,113,60,173,715.09,119.18,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,7.79,1644.68,191.76,72,168.66,182,614.42,1030.26,116,62,178,852.26,142.04,6.6215,1431.42,191.76,72,168.66,182,614.42,817,113,60,173,644,107.33,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,692.65
4,"N_heavy_MD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",7.79,1644.68,191.76,72,168.66,182,614.42,1030.26,116,62,178,852.26,142.04,7.011,1502.51,191.76,72,168.66,182,614.42,888.09,113,60,173,715.09,119.18,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,7.79,1644.68,191.76,72,168.66,182,614.42,1030.26,116,62,178,852.26,142.04,6.6215,1431.42,191.76,72,168.66,182,614.42,817,113,60,173,644,107.33,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,692.65
5,"N_heavy_LD-LR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",7.79,1644.68,191.76,72,168.66,182,614.42,1030.26,116,62,178,852.26,142.04,7.011,1502.51,191.76,72,168.66,182,614.42,888.09,113,60,173,715.09,119.18,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,7.79,1644.68,191.76,72,168.66,182,614.42,1030.26,116,62,178,852.26,142.04,6.6215,1431.42,191.76,72,168.66,182,614.42,817,113,60,173,644,107.33,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,692.65
6,"N_heavy_MD-LR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",7.79,1644.68,191.76,72,168.66,182,614.42,1030.26,116,62,178,852.26,142.04,7.011,1502.51,191.76,72,168.66,182,614.42,888.09,113,60,173,715.09,119.18,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,7.79,1644.68,191.76,72,168.66,182,614.42,1030.26,116,62,178,852.26,142.04,6.6215,1431.42,191.76,72,168.66,182,614.42,817,113,60,173,644,107.33,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,692.65
7,"N_medium_HD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",6.91,1484.08,191.76,72,171.09,182,616.85,867.23,104,56,160,707.23,117.87,6.219,1357.97,191.76,72,171.09,182,616.85,741.12,114,62,176,565.12,94.19,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,6.91,1484.08,191.76,72,171.09,182,616.85,867.23,104,56,160,707.23,117.87,5.8735,1294.91,191.76,72,171.09,182,616.85,678.06,114,62,176,502.06,83.68,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,548.29
8,"N_medium_VD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",6.91,1484.08,191.76,72,171.09,182,616.85,867.23,104,56,160,707.23,117.87,6.219,1357.97,191.76,72,171.09,182,616.85,741.12,114,62,176,565.12,94.19,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,6.91,1484.08,191.76,72,171.09,182,616.85,867.23,104,56,160,707.23,117.87,5.8735,1294.91,191.76,72,171.09,182,616.85,678.06,114,62,176,502.06,83.68,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,548.29
9,"N_medium_LD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",6.91,1484.08,191.76,72,168.66,182,614.42,869.66,104,56,160,709.66,118.28,6.219,1357.97,191.76,72,168.66,182,614.42,743.55,114,62,176,567.55,94.59,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,6.91,1484.08,191.76,72,168.66,182,614.42,869.66,104,56,160,709.66,118.28,5.8735,1294.91,191.76,72,168.66,182,614.42,680.49,114,62,176,504.49,84.08,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,549.91
10,"N_medium_MD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",6.91,1484.08,191.76,72,168.66,182,614.42,869.66,104,56,160,709.66,118.28,6.219,1357.97,191.76,72,168.66,182,614.42,743.55,114,62,176,567.55,94.59,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,6.91,1484.08,191.76,72,168.66,182,614.42,869.66,104,56,160,709.66,118.28,5.8735,1294.91,191.76,72,168.66,182,614.42,680.49,114,62,176,504.49,84.08,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,549.91
