"Field_no","field_name","crop1","crop2","crop3","crop4","crop5","crop6","yield.1","output.1","fertcost.1","seedcost.1","herbcost.1","sundry.1","varcost.1","gmargin.1","fuelcost.1","labcost.1","opcost.1","grossprof.1","rotgrossprof.1","yield.2","output.2","fertcost.2","seedcost.2","herbcost.2","sundry.2","varcost.2","gmargin.2","fuelcost.2","labcost.2","opcost.2","grossprof.2","rotgrossprof.2","yield.3","output.3","fertcost.3","seedcost.3","herbcost.3","sundry.3","varcost.3","gmargin.3","fuelcost.3","labcost.3","opcost.3","grossprof.3","rotgrossprof.3","yield.4","output.4","fertcost.4","seedcost.4","herbcost.4","sundry.4","varcost.4","gmargin.4","fuelcost.4","labcost.4","opcost.4","grossprof.4","rotgrossprof.4","yield.5","output.5","fertcost.5","seedcost.5","herbcost.5","sundry.5","varcost.5","gmargin.5","fuelcost.5","labcost.5","opcost.5","grossprof.5","rotgrossprof.5","yield.6","output.6","fertcost.6","seedcost.6","herbcost.6","sundry.6","varcost.6","gmargin.6","fuelcost.6","labcost.6","opcost.6","grossprof.6","rotgrossprof.6","totalrotgrossprof"
1,"N_heavy_HD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",2.69,713.92,191.76,72,171.09,182,616.85,97.08,110,59,169,-71.92,-11.99,2.421,664.83,191.76,72,171.09,182,616.85,47.98,107,57,164,-116.02,-19.34,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,2.69,713.92,191.76,72,171.09,182,616.85,97.08,110,59,169,-71.92,-11.99,2.2865,640.29,191.76,72,171.09,182,616.85,23.44,107,57,164,-140.56,-23.43,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,115.31
2,"N_heavy_VD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",2.69,713.92,191.76,72,171.09,182,616.85,97.08,110,59,169,-71.92,-11.99,2.421,664.83,191.76,72,171.09,182,616.85,47.98,107,57,164,-116.02,-19.34,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,2.69,713.92,191.76,72,171.09,182,616.85,97.08,110,59,169,-71.92,-11.99,2.2865,640.29,191.76,72,171.09,182,616.85,23.44,107,57,164,-140.56,-23.43,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,115.31
3,"N_heavy_LD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",2.69,713.92,191.76,72,168.66,182,614.42,99.51,110,59,169,-69.49,-11.58,2.421,664.83,191.76,72,168.66,182,614.42,50.41,107,57,164,-113.59,-18.93,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,2.69,713.92,191.76,72,168.66,182,614.42,99.51,110,59,169,-69.49,-11.58,2.2865,640.29,191.76,72,168.66,182,614.42,25.87,107,57,164,-138.13,-23.02,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,116.95
4,"N_heavy_MD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",2.69,713.92,191.76,72,168.66,182,614.42,99.51,110,59,169,-69.49,-11.58,2.421,664.83,191.76,72,168.66,182,614.42,50.41,107,57,164,-113.59,-18.93,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,2.69,713.92,191.76,72,168.66,182,614.42,99.51,110,59,169,-69.49,-11.58,2.2865,640.29,191.76,72,168.66,182,614.42,25.87,107,57,164,-138.13,-23.02,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,116.95
5,"N_heavy_LD-LR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",2.69,713.92,191.76,72,168.66,182,614.42,99.51,110,59,169,-69.49,-11.58,2.421,664.83,191.76,72,168.66,182,614.42,50.41,107,57,164,-113.59,-18.93,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,2.69,713.92,191.76,72,168.66,182,614.42,99.51,110,59,169,-69.49,-11.58,2.2865,640.29,191.76,72,168.66,182,614.42,25.87,107,57,164,-138.13,-23.02,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,116.95
6,"N_heavy_MD-LR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",2.69,713.92,191.76,72,168.66,182,614.42,99.51,110,59,169,-69.49,-11.58,2.421,664.83,191.76,72,168.66,182,614.42,50.41,107,57,164,-113.59,-18.93,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,2.69,713.92,191.76,72,168.66,182,614.42,99.51,110,59,169,-69.49,-11.58,2.2865,640.29,191.76,72,168.66,182,614.42,25.87,107,57,164,-138.13,-23.02,3.35,1345.25,202.3,23.49,67.26,192,485.05,860.2,203,111,314,546.2,91.03,116.95
7,"N_medium_HD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",2.38,657.35,191.76,72,171.09,182,616.85,40.5,98,53,151,-110.5,-18.42,2.142,613.92,191.76,72,171.09,182,616.85,-2.93,108,59,167,-169.93,-28.32,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,2.38,657.35,191.76,72,171.09,182,616.85,40.5,98,53,151,-110.5,-18.42,2.023,592.2,191.76,72,171.09,182,616.85,-24.65,108,59,167,-191.65,-31.94,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,37.58
8,"N_medium_VD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",2.38,657.35,191.76,72,171.09,182,616.85,40.5,98,53,151,-110.5,-18.42,2.142,613.92,191.76,72,171.09,182,616.85,-2.93,108,59,167,-169.93,-28.32,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,2.38,657.35,191.76,72,171.09,182,616.85,40.5,98,53,151,-110.5,-18.42,2.023,592.2,191.76,72,171.09,182,616.85,-24.65,108,59,167,-191.65,-31.94,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,37.58
9,"N_medium_LD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",2.38,657.35,191.76,72,168.66,182,614.42,42.93,98,53,151,-108.07,-18.01,2.142,613.92,191.76,72,168.66,182,614.42,-0.5,108,59,167,-167.5,-27.92,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,2.38,657.35,191.76,72,168.66,182,614.42,42.93,98,53,151,-108.07,-18.01,2.023,592.2,191.76,72,168.66,182,614.42,-22.22,108,59,167,-189.22,-31.54,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,39.2
10,"N_medium_MD-HR","winterwheat","winterwheat","wosr","winterwheat","winterwheat","wosr",2.38,657.35,191.76,72,168.66,182,614.42,42.93,98,53,151,-108.07,-18.01,2.142,613.92,191.76,72,168.66,182,614.42,-0.5,108,59,167,-167.5,-27.92,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,2.38,657.35,191.76,72,168.66,182,614.42,42.93,98,53,151,-108.07,-18.01,2.023,592.2,191.76,72,168.66,182,614.42,-22.22,108,59,167,-189.22,-31.54,2.86,1181.1,202.3,23.49,67.26,192,485.05,696.05,189,103,292,404.05,67.34,39.2
