"Field_no","field_name","crop1","crop2","crop3","crop4","crop5","crop6","yield.1","output.1","fertcost.1","seedcost.1","herbcost.1","sundry.1","varcost.1","gmargin.1","fuelcost.1","labcost.1","opcost.1","grossprof.1","rotgrossprof.1","yield.2","output.2","fertcost.2","seedcost.2","herbcost.2","sundry.2","varcost.2","gmargin.2","fuelcost.2","labcost.2","opcost.2","grossprof.2","rotgrossprof.2","yield.3","output.3","fertcost.3","seedcost.3","herbcost.3","sundry.3","varcost.3","gmargin.3","fuelcost.3","labcost.3","opcost.3","grossprof.3","rotgrossprof.3","yield.4","output.4","fertcost.4","seedcost.4","herbcost.4","sundry.4","varcost.4","gmargin.4","fuelcost.4","labcost.4","opcost.4","grossprof.4","rotgrossprof.4","yield.5","output.5","fertcost.5","seedcost.5","herbcost.5","sundry.5","varcost.5","gmargin.5","fuelcost.5","labcost.5","opcost.5","grossprof.5","rotgrossprof.5","yield.6","output.6","fertcost.6","seedcost.6","herbcost.6","sundry.6","varcost.6","gmargin.6","fuelcost.6","labcost.6","opcost.6","grossprof.6","rotgrossprof.6","totalrotgrossprof"
1,"N_heavy_HD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",7.79,1644.68,243.3,72,463.08,182,960.38,684.3,146,75,221,463.3,77.22,7.011,1502.51,243.3,72,463.08,182,960.38,542.13,132,67,199,343.13,57.19,6.9331,1488.29,243.3,72,463.08,182,960.38,527.91,132,67,199,328.91,54.82,6.6215,1431.42,243.3,72,463.08,182,960.38,471.04,132,67,199,272.04,45.34,6.6215,1431.42,243.3,72,463.08,182,960.38,471.04,132,67,199,272.04,45.34,6.4657,1402.99,243.3,72,463.08,182,960.38,442.61,132,67,199,243.61,40.6,320.51
2,"N_heavy_VD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",7.79,1644.68,243.3,72,463.08,182,960.38,684.3,146,75,221,463.3,77.22,7.011,1502.51,243.3,72,463.08,182,960.38,542.13,132,67,199,343.13,57.19,6.9331,1488.29,243.3,72,463.08,182,960.38,527.91,132,67,199,328.91,54.82,6.6215,1431.42,243.3,72,463.08,182,960.38,471.04,132,67,199,272.04,45.34,6.6215,1431.42,243.3,72,463.08,182,960.38,471.04,132,67,199,272.04,45.34,6.4657,1402.99,243.3,72,463.08,182,960.38,442.61,132,67,199,243.61,40.6,320.51
3,"N_heavy_LD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",7.79,1644.68,243.3,72,458.22,182,955.52,689.16,146,75,221,468.16,78.03,7.011,1502.51,243.3,72,458.22,182,955.52,546.99,132,67,199,347.99,58,6.9331,1488.29,243.3,72,458.22,182,955.52,532.77,132,67,199,333.77,55.63,6.6215,1431.42,243.3,72,458.22,182,955.52,475.9,132,67,199,276.9,46.15,6.6215,1431.42,243.3,72,458.22,182,955.52,475.9,132,67,199,276.9,46.15,6.4657,1402.99,243.3,72,458.22,182,955.52,447.47,132,67,199,248.47,41.41,325.37
4,"N_heavy_MD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",7.79,1644.68,243.3,72,458.22,182,955.52,689.16,146,75,221,468.16,78.03,7.011,1502.51,243.3,72,458.22,182,955.52,546.99,132,67,199,347.99,58,6.9331,1488.29,243.3,72,458.22,182,955.52,532.77,132,67,199,333.77,55.63,6.6215,1431.42,243.3,72,458.22,182,955.52,475.9,132,67,199,276.9,46.15,6.6215,1431.42,243.3,72,458.22,182,955.52,475.9,132,67,199,276.9,46.15,6.4657,1402.99,243.3,72,458.22,182,955.52,447.47,132,67,199,248.47,41.41,325.37
5,"N_heavy_LD-LR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",7.79,1644.68,243.3,72,458.22,182,955.52,689.16,146,75,221,468.16,78.03,7.011,1502.51,243.3,72,458.22,182,955.52,546.99,132,67,199,347.99,58,6.9331,1488.29,243.3,72,458.22,182,955.52,532.77,132,67,199,333.77,55.63,6.6215,1431.42,243.3,72,458.22,182,955.52,475.9,132,67,199,276.9,46.15,6.6215,1431.42,243.3,72,458.22,182,955.52,475.9,132,67,199,276.9,46.15,6.4657,1402.99,243.3,72,458.22,182,955.52,447.47,132,67,199,248.47,41.41,325.37
6,"N_heavy_MD-LR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",7.79,1644.68,243.3,72,458.22,182,955.52,689.16,146,75,221,468.16,78.03,7.011,1502.51,243.3,72,458.22,182,955.52,546.99,132,67,199,347.99,58,6.9331,1488.29,243.3,72,458.22,182,955.52,532.77,132,67,199,333.77,55.63,6.6215,1431.42,243.3,72,458.22,182,955.52,475.9,132,67,199,276.9,46.15,6.6215,1431.42,243.3,72,458.22,182,955.52,475.9,132,67,199,276.9,46.15,6.4657,1402.99,243.3,72,458.22,182,955.52,447.47,132,67,199,248.47,41.41,325.37
7,"N_medium_HD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",6.91,1484.08,243.3,72,463.08,182,960.38,523.7,129,67,196,327.7,54.62,6.219,1357.97,243.3,72,463.08,182,960.38,397.59,119,61,180,217.59,36.26,6.1499,1345.36,243.3,72,463.08,182,960.38,384.98,119,61,180,204.98,34.16,5.8735,1294.91,243.3,72,463.08,182,960.38,334.53,119,61,180,154.53,25.76,5.8735,1294.91,243.3,72,463.08,182,960.38,334.53,119,61,180,154.53,25.76,5.7353,1269.69,243.3,72,463.08,182,960.38,309.31,119,61,180,129.31,21.55,198.11
8,"N_medium_VD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",6.91,1484.08,243.3,72,463.08,182,960.38,523.7,129,67,196,327.7,54.62,6.219,1357.97,243.3,72,463.08,182,960.38,397.59,119,61,180,217.59,36.26,6.1499,1345.36,243.3,72,463.08,182,960.38,384.98,119,61,180,204.98,34.16,5.8735,1294.91,243.3,72,463.08,182,960.38,334.53,119,61,180,154.53,25.76,5.8735,1294.91,243.3,72,463.08,182,960.38,334.53,119,61,180,154.53,25.76,5.7353,1269.69,243.3,72,463.08,182,960.38,309.31,119,61,180,129.31,21.55,198.11
9,"N_medium_LD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",6.91,1484.08,243.3,72,458.22,182,955.52,528.56,129,67,196,332.56,55.43,6.219,1357.97,243.3,72,458.22,182,955.52,402.45,119,61,180,222.45,37.07,6.1499,1345.36,243.3,72,458.22,182,955.52,389.84,119,61,180,209.84,34.97,5.8735,1294.91,243.3,72,458.22,182,955.52,339.39,119,61,180,159.39,26.57,5.8735,1294.91,243.3,72,458.22,182,955.52,339.39,119,61,180,159.39,26.57,5.7353,1269.69,243.3,72,458.22,182,955.52,314.17,119,61,180,134.17,22.36,202.97
10,"N_medium_MD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",6.91,1484.08,243.3,72,458.22,182,955.52,528.56,129,67,196,332.56,55.43,6.219,1357.97,243.3,72,458.22,182,955.52,402.45,119,61,180,222.45,37.07,6.1499,1345.36,243.3,72,458.22,182,955.52,389.84,119,61,180,209.84,34.97,5.8735,1294.91,243.3,72,458.22,182,955.52,339.39,119,61,180,159.39,26.57,5.8735,1294.91,243.3,72,458.22,182,955.52,339.39,119,61,180,159.39,26.57,5.7353,1269.69,243.3,72,458.22,182,955.52,314.17,119,61,180,134.17,22.36,202.97
