"Field_no","field_name","crop1","crop2","crop3","crop4","crop5","crop6","yield.1","output.1","fertcost.1","seedcost.1","herbcost.1","sundry.1","varcost.1","gmargin.1","fuelcost.1","labcost.1","opcost.1","grossprof.1","rotgrossprof.1","yield.2","output.2","fertcost.2","seedcost.2","herbcost.2","sundry.2","varcost.2","gmargin.2","fuelcost.2","labcost.2","opcost.2","grossprof.2","rotgrossprof.2","yield.3","output.3","fertcost.3","seedcost.3","herbcost.3","sundry.3","varcost.3","gmargin.3","fuelcost.3","labcost.3","opcost.3","grossprof.3","rotgrossprof.3","yield.4","output.4","fertcost.4","seedcost.4","herbcost.4","sundry.4","varcost.4","gmargin.4","fuelcost.4","labcost.4","opcost.4","grossprof.4","rotgrossprof.4","yield.5","output.5","fertcost.5","seedcost.5","herbcost.5","sundry.5","varcost.5","gmargin.5","fuelcost.5","labcost.5","opcost.5","grossprof.5","rotgrossprof.5","yield.6","output.6","fertcost.6","seedcost.6","herbcost.6","sundry.6","varcost.6","gmargin.6","fuelcost.6","labcost.6","opcost.6","grossprof.6","rotgrossprof.6","totalrotgrossprof"
1,"N_heavy_HD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",4.93,1122.72,243.3,72,463.08,182,960.38,162.35,142,74,216,-53.65,-8.94,4.437,1032.75,243.3,72,463.08,182,960.38,72.37,128,66,194,-121.63,-20.27,4.3877,1023.76,243.3,72,463.08,182,960.38,63.38,128,66,194,-130.62,-21.77,4.1905,987.77,243.3,72,463.08,182,960.38,27.39,128,66,194,-166.61,-27.77,4.1905,987.77,243.3,72,463.08,182,960.38,27.39,128,66,194,-166.61,-27.77,4.0919,969.77,243.3,72,463.08,182,960.38,9.39,128,66,194,-184.61,-30.77,-137.29
2,"N_heavy_VD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",4.93,1122.72,243.3,72,463.08,182,960.38,162.35,142,74,216,-53.65,-8.94,4.437,1032.75,243.3,72,463.08,182,960.38,72.37,128,66,194,-121.63,-20.27,4.3877,1023.76,243.3,72,463.08,182,960.38,63.38,128,66,194,-130.62,-21.77,4.1905,987.77,243.3,72,463.08,182,960.38,27.39,128,66,194,-166.61,-27.77,4.1905,987.77,243.3,72,463.08,182,960.38,27.39,128,66,194,-166.61,-27.77,4.0919,969.77,243.3,72,463.08,182,960.38,9.39,128,66,194,-184.61,-30.77,-137.29
3,"N_heavy_LD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",4.93,1122.72,243.3,72,458.22,182,955.52,167.2,142,74,216,-48.8,-8.13,4.437,1032.75,243.3,72,458.22,182,955.52,77.23,128,66,194,-116.77,-19.46,4.3877,1023.76,243.3,72,458.22,182,955.52,68.24,128,66,194,-125.76,-20.96,4.1905,987.77,243.3,72,458.22,182,955.52,32.25,128,66,194,-161.75,-26.96,4.1905,987.77,243.3,72,458.22,182,955.52,32.25,128,66,194,-161.75,-26.96,4.0919,969.77,243.3,72,458.22,182,955.52,14.25,128,66,194,-179.75,-29.96,-132.43
4,"N_heavy_MD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",4.93,1122.72,243.3,72,458.22,182,955.52,167.2,142,74,216,-48.8,-8.13,4.437,1032.75,243.3,72,458.22,182,955.52,77.23,128,66,194,-116.77,-19.46,4.3877,1023.76,243.3,72,458.22,182,955.52,68.24,128,66,194,-125.76,-20.96,4.1905,987.77,243.3,72,458.22,182,955.52,32.25,128,66,194,-161.75,-26.96,4.1905,987.77,243.3,72,458.22,182,955.52,32.25,128,66,194,-161.75,-26.96,4.0919,969.77,243.3,72,458.22,182,955.52,14.25,128,66,194,-179.75,-29.96,-132.43
5,"N_heavy_LD-LR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",4.93,1122.72,243.3,72,458.22,182,955.52,167.2,142,74,216,-48.8,-8.13,4.437,1032.75,243.3,72,458.22,182,955.52,77.23,128,66,194,-116.77,-19.46,4.3877,1023.76,243.3,72,458.22,182,955.52,68.24,128,66,194,-125.76,-20.96,4.1905,987.77,243.3,72,458.22,182,955.52,32.25,128,66,194,-161.75,-26.96,4.1905,987.77,243.3,72,458.22,182,955.52,32.25,128,66,194,-161.75,-26.96,4.0919,969.77,243.3,72,458.22,182,955.52,14.25,128,66,194,-179.75,-29.96,-132.43
6,"N_heavy_MD-LR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",4.93,1122.72,243.3,72,458.22,182,955.52,167.2,142,74,216,-48.8,-8.13,4.437,1032.75,243.3,72,458.22,182,955.52,77.23,128,66,194,-116.77,-19.46,4.3877,1023.76,243.3,72,458.22,182,955.52,68.24,128,66,194,-125.76,-20.96,4.1905,987.77,243.3,72,458.22,182,955.52,32.25,128,66,194,-161.75,-26.96,4.1905,987.77,243.3,72,458.22,182,955.52,32.25,128,66,194,-161.75,-26.96,4.0919,969.77,243.3,72,458.22,182,955.52,14.25,128,66,194,-179.75,-29.96,-132.43
7,"N_medium_HD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",4.37,1020.52,243.3,72,463.08,182,960.38,60.15,126,65,191,-130.85,-21.81,3.933,940.77,243.3,72,463.08,182,960.38,-19.61,116,59,175,-194.61,-32.43,3.8893,932.8,243.3,72,463.08,182,960.38,-27.58,116,59,175,-202.58,-33.76,3.7145,900.9,243.3,72,463.08,182,960.38,-59.48,116,59,175,-234.48,-39.08,3.7145,900.9,243.3,72,463.08,182,960.38,-59.48,116,59,175,-234.48,-39.08,3.6271,884.95,243.3,72,463.08,182,960.38,-75.43,116,59,175,-250.43,-41.74,-207.9
8,"N_medium_VD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",4.37,1020.52,243.3,72,463.08,182,960.38,60.15,126,65,191,-130.85,-21.81,3.933,940.77,243.3,72,463.08,182,960.38,-19.61,116,59,175,-194.61,-32.43,3.8893,932.8,243.3,72,463.08,182,960.38,-27.58,116,59,175,-202.58,-33.76,3.7145,900.9,243.3,72,463.08,182,960.38,-59.48,116,59,175,-234.48,-39.08,3.7145,900.9,243.3,72,463.08,182,960.38,-59.48,116,59,175,-234.48,-39.08,3.6271,884.95,243.3,72,463.08,182,960.38,-75.43,116,59,175,-250.43,-41.74,-207.9
9,"N_medium_LD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",4.37,1020.52,243.3,72,458.22,182,955.52,65,126,65,191,-126,-21,3.933,940.77,243.3,72,458.22,182,955.52,-14.75,116,59,175,-189.75,-31.62,3.8893,932.8,243.3,72,458.22,182,955.52,-22.72,116,59,175,-197.72,-32.95,3.7145,900.9,243.3,72,458.22,182,955.52,-54.62,116,59,175,-229.62,-38.27,3.7145,900.9,243.3,72,458.22,182,955.52,-54.62,116,59,175,-229.62,-38.27,3.6271,884.95,243.3,72,458.22,182,955.52,-70.57,116,59,175,-245.57,-40.93,-203.04
10,"N_medium_MD-HR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",4.37,1020.52,243.3,72,458.22,182,955.52,65,126,65,191,-126,-21,3.933,940.77,243.3,72,458.22,182,955.52,-14.75,116,59,175,-189.75,-31.62,3.8893,932.8,243.3,72,458.22,182,955.52,-22.72,116,59,175,-197.72,-32.95,3.7145,900.9,243.3,72,458.22,182,955.52,-54.62,116,59,175,-229.62,-38.27,3.7145,900.9,243.3,72,458.22,182,955.52,-54.62,116,59,175,-229.62,-38.27,3.6271,884.95,243.3,72,458.22,182,955.52,-70.57,116,59,175,-245.57,-40.93,-203.04
11,"N_medium_LD-LR","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat","winterwheat",4.37,1020.52,243.3,72,458.22,182,955.52,65,126,65,191,-126,-21,3.933,940.77,243.3,72,458.22,182,955.52,-14.75,116,59,175,-189.75,-31.62,3.8893,932.8,243.3,72,458.22,182,955.52,-22.72,116,59,175,-197.72,-32.95,3.7145,900.9,243.3,72,458.22,182,955.52,-54.62,116,59,175,-229.62,-38.27,3.7145,900.9,243.3,72,458.22,182,955.52,-54.62,116,59,175,-229.62,-38.27,3.6271,884.95,243.3,72,458.22,182,955.52,-70.57,116,59,175,-245.57,-40.93,-203.04
