"Field_no","field_name","crop1","crop2","crop3","crop4","crop5","crop6","yield.1","output.1","fertcost.1","seedcost.1","herbcost.1","sundry.1","varcost.1","gmargin.1","fuelcost.1","labcost.1","opcost.1","grossprof.1","rotgrossprof.1","yield.2","output.2","fertcost.2","seedcost.2","herbcost.2","sundry.2","varcost.2","gmargin.2","fuelcost.2","labcost.2","opcost.2","grossprof.2","rotgrossprof.2","yield.3","output.3","fertcost.3","seedcost.3","herbcost.3","sundry.3","varcost.3","gmargin.3","fuelcost.3","labcost.3","opcost.3","grossprof.3","rotgrossprof.3","yield.4","output.4","fertcost.4","seedcost.4","herbcost.4","sundry.4","varcost.4","gmargin.4","fuelcost.4","labcost.4","opcost.4","grossprof.4","rotgrossprof.4","yield.5","output.5","fertcost.5","seedcost.5","herbcost.5","sundry.5","varcost.5","gmargin.5","fuelcost.5","labcost.5","opcost.5","grossprof.5","rotgrossprof.5","yield.6","output.6","fertcost.6","seedcost.6","herbcost.6","sundry.6","varcost.6","gmargin.6","fuelcost.6","labcost.6","opcost.6","grossprof.6","rotgrossprof.6","totalrotgrossprof"
1,"HD-HR.E.h","springlinseed","springbeans","winterwheat","springbarley","winterwheat","springlinseed",1.71,872.8,90.2,83.2,120.1,53,346.5,526.3,198,101,299,227.3,37.88,4.43,1042.55,52.58,138.7,195.67,81,467.95,574.6,237,123,360,214.6,35.77,4.93,1122.72,246.32,72,226.69,182,727.01,395.72,133,69,202,193.72,32.29,4.9039,1068.92,125.22,49.4,20.18,151,345.8,723.12,129,65,194,529.12,88.19,4.3877,1023.76,246.32,72,226.69,182,727.01,296.75,147,76,223,73.75,12.29,1.71,872.8,90.2,83.2,120.1,53,346.5,526.3,198,101,299,227.3,37.88,244.3
2,"VD-HR.E.h","springlinseed","springbeans","winterwheat","springbarley","winterwheat","springlinseed",1.71,872.8,90.2,83.2,120.1,53,346.5,526.3,198,101,299,227.3,37.88,4.43,1042.55,52.58,138.7,195.67,81,467.95,574.6,237,123,360,214.6,35.77,4.93,1122.72,246.32,72,226.69,182,727.01,395.72,133,69,202,193.72,32.29,4.9039,1068.92,125.22,49.4,20.18,151,345.8,723.12,129,65,194,529.12,88.19,4.3877,1023.76,246.32,72,226.69,182,727.01,296.75,147,76,223,73.75,12.29,1.71,872.8,90.2,83.2,120.1,53,346.5,526.3,198,101,299,227.3,37.88,244.3
3,"HD-HR.E.m","springlinseed","springbeans","winterwheat","springbarley","winterwheat","springlinseed",1.39,751.2,90.2,83.2,120.1,53,346.5,404.7,184,95,279,125.7,20.95,3.24,822.4,52.58,138.7,195.67,81,467.95,354.45,212,111,323,31.45,5.24,4.37,1020.52,246.32,72,226.69,182,727.01,293.52,121,62,183,110.52,18.42,4.6369,1022.87,125.22,49.4,20.18,151,345.8,677.06,116,59,175,502.06,83.68,3.8893,932.8,246.32,72,226.69,182,727.01,205.79,130,68,198,7.79,1.3,1.39,751.2,90.2,83.2,120.1,53,346.5,404.7,184,95,279,125.7,20.95,150.54
4,"VD-HR.E.m","springlinseed","springbeans","winterwheat","springbarley","winterwheat","springlinseed",1.39,751.2,90.2,83.2,120.1,53,346.5,404.7,184,95,279,125.7,20.95,3.24,822.4,52.58,138.7,195.67,81,467.95,354.45,212,111,323,31.45,5.24,4.37,1020.52,246.32,72,226.69,182,727.01,293.52,121,62,183,110.52,18.42,4.6369,1022.87,125.22,49.4,20.18,151,345.8,677.06,116,59,175,502.06,83.68,3.8893,932.8,246.32,72,226.69,182,727.01,205.79,130,68,198,7.79,1.3,1.39,751.2,90.2,83.2,120.1,53,346.5,404.7,184,95,279,125.7,20.95,150.54
5,"HD-HR.E.l","springlinseed","driedpeas","winterwheat","sugarbeet","springbarley","winterwheat",1.07,629.6,90.2,83.2,120.1,53,346.5,283.1,171,88,259,24.1,4.02,4.36,1204,43.6,141,195.67,155,535.27,668.73,208,107,315,353.73,58.96,3.56,872.7,190.32,72,226.69,182,671.01,201.69,107,56,163,38.69,6.45,69.58,2112.79,175.06,218.75,182.03,835.9,1411.74,701.05,165,89,254,447.05,74.51,4.92,1071.7,125.22,49.4,20.18,151,345.8,725.9,105,52,157,568.9,94.82,3.1684,801.23,190.32,72,226.69,182,671.01,130.22,113,58,171,-40.78,-6.8,231.96
6,"VD-HR.E.l","springlinseed","driedpeas","winterwheat","sugarbeet","springbarley","winterwheat",1.07,629.6,90.2,83.2,120.1,53,346.5,283.1,171,88,259,24.1,4.02,4.36,1204,43.6,141,195.67,155,535.27,668.73,208,107,315,353.73,58.96,3.56,872.7,190.32,72,226.69,182,671.01,201.69,107,56,163,38.69,6.45,69.58,2112.79,175.06,218.75,182.03,835.9,1411.74,701.05,165,89,254,447.05,74.51,4.92,1071.7,125.22,49.4,20.18,151,345.8,725.9,105,52,157,568.9,94.82,3.1684,801.23,190.32,72,226.69,182,671.01,130.22,113,58,171,-40.78,-6.8,231.96
7,"HD-HR.N.h","setaside","sosr","springbarley","winterwheat","wosr","winterwheat",0,223,0,0,19.93,2,21.93,201.07,45,24,69,132.07,22.01,2.09,923.15,114.54,36.67,10.21,140,301.42,621.73,168,86,254,367.73,61.29,5.68,1299.36,134.4,76,88.21,151,449.61,849.75,131,66,197,652.75,108.79,4.3877,1023.76,246.32,90,191.56,182,709.88,313.88,128,66,194,119.88,19.98,3.36,1348.6,197.22,23.49,65.31,192,478.02,870.58,164,85,249,621.58,103.6,4.93,1122.72,246.32,90,191.56,182,709.88,412.85,128,67,195,217.85,36.31,351.98
8,"VD-HR.N.h","setaside","sosr","springbarley","winterwheat","wosr","winterwheat",0,223,0,0,19.93,2,21.93,201.07,45,24,69,132.07,22.01,2.09,923.15,114.54,36.67,10.21,140,301.42,621.73,168,86,254,367.73,61.29,5.68,1299.36,134.4,76,88.21,151,449.61,849.75,131,66,197,652.75,108.79,4.3877,1023.76,246.32,90,191.56,182,709.88,313.88,128,66,194,119.88,19.98,3.36,1348.6,197.22,23.49,65.31,192,478.02,870.58,164,85,249,621.58,103.6,4.93,1122.72,246.32,90,191.56,182,709.88,412.85,128,67,195,217.85,36.31,351.98
9,"HD-HR.N.m","setaside","sosr","springbarley","winterwheat","wosr","winterwheat",0,223,0,0,19.93,2,21.93,201.07,39,21,60,141.07,23.51,2.09,923.15,114.54,36.67,10.21,140,301.42,621.73,162,83,245,376.73,62.79,5.38,1242.51,134.4,76,88.21,151,449.61,792.9,119,59,178,614.9,102.48,3.8893,932.8,246.32,90,191.56,182,709.88,222.92,116,59,175,47.92,7.99,2.86,1181.1,197.22,23.49,65.31,192,478.02,703.08,161,84,245,458.08,76.35,4.37,1020.52,246.32,90,191.56,182,709.88,310.65,117,59,176,134.65,22.44,295.56
10,"VD-HR.N.m","setaside","sosr","springbarley","winterwheat","wosr","winterwheat",0,223,0,0,19.93,2,21.93,201.07,39,21,60,141.07,23.51,2.09,923.15,114.54,36.67,10.21,140,301.42,621.73,162,83,245,376.73,62.79,5.38,1242.51,134.4,76,88.21,151,449.61,792.9,119,59,178,614.9,102.48,3.8893,932.8,246.32,90,191.56,182,709.88,222.92,116,59,175,47.92,7.99,2.86,1181.1,197.22,23.49,65.31,192,478.02,703.08,161,84,245,458.08,76.35,4.37,1020.52,246.32,90,191.56,182,709.88,310.65,117,59,176,134.65,22.44,295.56
