"sensanaly","ID","scenario","region","soiltype","initdenres_collapsed","year","crop","fertcost","seedcost","herbcost","sundry","varcost","wtd_yield_mean","wtd_yield_sd","wtd_yield_se","wtd_yield_n","wtd_yield_ci_l","wtd_yield_ci_u","wtd_gp_mean","wtd_gp_sd","wtd_gp_se","wtd_gp_n","wtd_gp_ci_l","wtd_gp_ci_u","wtd_fuelcost_mean","wtd_fuelcost_sd","wtd_fuelcost_se","wtd_fuelcost_n","wtd_fuelcost_ci_l","wtd_fuelcost_ci_u","wtd_labcost_mean","wtd_labcost_sd","wtd_labcost_se","wtd_labcost_n","wtd_labcost_ci_l","wtd_labcost_ci_u","wtd_opscost_mean","wtd_opscost_sd","wtd_opscost_se","wtd_opscost_n","wtd_opscost_ci_l","wtd_opscost_ci_u","wtd_opp_cost_mean","wtd_opp_cost_sd","wtd_opp_cost_se","wtd_opp_cost_n","wtd_opp_cost_ci_l","wtd_opp_cost_ci_u"
"lower","BAU_n_h_LD-LR_1","BAU","north","heavy","LD-LR",1,"winterwheat",191.76,72,168.66,182,614.42,8.96,0,0,74,8.96,8.96,1063.78,0,0,74,1063.78,1063.78,117,0,0,74,117,117,63,0,0,74,63,63,180,0,0,74,180,180,0,0,0,74,0,0
"lower","BAU_n_h_LD-LR_2","BAU","north","heavy","LD-LR",2,"winterwheat",191.76,72,168.66,182,614.42,8.00912329446791,0.0476729000134167,0.00554186205862988,74,7.99826124483299,8.01998534410282,895.349360787238,8.60964425028629,1.00085081452008,74,893.387693190779,897.311028383698,113.947885369865,0.0452734093194859,0.00526292693127266,74,113.93757003308,113.95820070665,60.9478853698651,0.0452734093194851,0.00526292693127256,74,60.9375700330798,60.9582007066504,174.89577073973,0.0905468186389697,0.0105258538625451,74,174.87514006616,174.916401413301,0,0,0,74,0,0
"lower","BAU_n_h_LD-LR_3","BAU","north","heavy","LD-LR",3,"wosr",202.3,23.49,67.26,192,485.05,3.35,2.70078910595622e-16,3.13960356312442e-17,74,3.35,3.35,546.2,4.79756019506996e-14,5.5770504440822e-15,74,546.2,546.2,203,1.66325473850478e-14,1.9334943598065e-15,74,203,203,111,8.64252513905992e-15,1.00467314019981e-15,74,111,111,314,2.20655675936042e-14,2.56507013029863e-15,74,314,314,0,0,0,74,0,0
"lower","BAU_n_h_LD-LR_4","BAU","north","heavy","LD-LR",4,"winterwheat",191.76,72,168.66,182,614.42,8.79264220373975,0.10102221907073,0.0117435944276332,74,8.76962475866159,8.81565964881792,1033.52399908977,18.2634357075563,2.12308127635297,74,1029.36275978812,1037.68523839142,116.856959148496,0.0863437769835312,0.0100372601945584,74,116.837286118514,116.876632178477,62.8569591484955,0.0863437769835306,0.0100372601945584,74,62.8372861185142,62.8766321784769,179.713918296991,0.172687553967061,0.0200745203891167,74,179.674572237028,179.753264356954,0,0,0,74,0,0
"lower","BAU_n_h_LD-LR_5","BAU","north","heavy","LD-LR",5,"winterwheat",191.76,72,168.66,182,614.42,7.59143980336204,0.0167731707123293,0.00194984148955527,74,7.58761811404251,7.59526149268157,819.067063553028,3.02743503555867,0.351932174334006,74,818.377276491333,819.756850614723,113.975303975226,0.0168659333457316,0.00196062492665194,74,113.97146115037,113.979146800082,60.9753039752258,0.0168659333457313,0.00196062492665191,74,60.9714611503695,60.979146800082,174.950607950452,0.0337318666914617,0.0039212498533037,74,174.942922300739,174.958293600164,0,0,0,74,0,0
"lower","BAU_n_h_LD-LR_6","BAU","north","heavy","LD-LR",6,"wosr",202.3,23.49,67.26,192,485.05,3.35,3.7480939023984e-16,4.35707065943922e-17,74,3.35,3.35,546.2,5.48621997533144e-14,6.37760117761455e-15,74,546.2,546.2,203,2.30467337041598e-14,2.67912837386617e-15,74,203,203,111,1.21086772701814e-14,1.40760514096954e-15,74,111,111,314,3.58276035323827e-14,4.1648743124892e-15,74,314,314,0,0,0,74,0,0
"upper","BAU_n_h_LD-LR_1","BAU","north","heavy","LD-LR",1,"winterwheat",191.76,72,168.66,182,614.42,8.822,0.138941990457632,0.016151678313066,74,8.79034271050639,8.85365728949361,1038.895,25.0548654531752,2.91256894797571,74,1033.18636486197,1044.60363513803,117,0,0,74,117,117,62.7,0.302047805342679,0.0351123441588393,74,62.6311798054487,62.7688201945513,179.7,0.30204780534269,0.0351123441588405,74,179.631179805449,179.768820194551,0,0,0,74,0,0
"upper","BAU_n_h_LD-LR_2","BAU","north","heavy","LD-LR",2,"winterwheat",191.76,72,168.66,182,614.42,7.04930848567812,0.556264602945517,0.0646644466091845,74,6.92256617032411,7.17605080103212,722.10279972489,100.435732143378,11.6754167071744,74,699.218982978829,744.986616470952,112.809507331156,0.720431670826648,0.0837484806098624,74,112.645360309161,112.973654353152,60.1674176869518,0.363744993060087,0.042284496548122,74,60.0845400737175,60.2502953001861,172.976925018108,1.08279835605581,0.125872752127177,74,172.730214423939,173.223635612277,0,0,0,74,0,0
"upper","BAU_n_h_LD-LR_3","BAU","north","heavy","LD-LR",3,"wosr",202.3,23.49,67.26,192,485.05,3.35,2.70078910595622e-16,3.13960356312442e-17,74,3.35,3.35,546.2,4.79756019506996e-14,5.5770504440822e-15,74,546.2,546.2,203,1.66325473850478e-14,1.9334943598065e-15,74,203,203,111,8.64252513905992e-15,1.00467314019981e-15,74,111,111,314,2.20655675936042e-14,2.56507013029863e-15,74,314,314,0,0,0,74,0,0
"upper","BAU_n_h_LD-LR_4","BAU","north","heavy","LD-LR",4,"winterwheat",191.76,72,168.66,182,614.42,6.71831051300444,0.824562793227019,0.0958534777086491,74,6.53043769669549,6.90618332931339,658.645420620674,149.047929855924,17.3264699054056,74,624.685539606079,692.605301635269,114.506742194435,0.97838462534031,0.113734902479067,74,114.283821785576,114.729662603294,61.5217129843042,0.455712376488036,0.0529754877130686,74,61.4178810283866,61.6255449402219,176.02845517874,1.43397696350781,0.166696436020814,74,175.701730164139,176.35518019334,0,0,0,74,0,0
