"sensanaly","ID","scenario","region","soiltype","initdenres_collapsed","year","crop","ww_yield_mean","ww_yield_sd","ww_yield_se","ww_yield_n","ww_yield_ci_l","ww_yield_ci_u","prod_cost_mean","prod_cost_sd","prod_cost_se","prod_cost_n","prod_cost_ci_l","prod_cost_ci_u"
"lower","BAU_n_h_LD-LR_1","BAU","north","heavy","LD-LR",1,"winterwheat",8.96,0,0,74,8.96,8.96,0,0,0,74,0,0
"lower","BAU_n_h_LD-LR_2","BAU","north","heavy","LD-LR",2,"winterwheat",8.00912329446791,0.0476729000134167,0.00554186205862988,74,7.99826124483299,8.01998534410282,0,0,0,74,0,0
"lower","BAU_n_h_LD-LR_3","BAU","north","heavy","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_n_h_LD-LR_4","BAU","north","heavy","LD-LR",4,"winterwheat",8.79264220373975,0.10102221907073,0.0117435944276332,74,8.76962475866159,8.81565964881792,0,0,0,74,0,0
"lower","BAU_n_h_LD-LR_5","BAU","north","heavy","LD-LR",5,"winterwheat",7.59143980336204,0.0167731707123293,0.00194984148955527,74,7.58761811404251,7.59526149268157,0,0,0,74,0,0
"lower","BAU_n_h_LD-LR_6","BAU","north","heavy","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_n_h_LD-LR_1","BAU","north","heavy","LD-LR",1,"winterwheat",8.822,0.138941990457632,0.016151678313066,74,8.79034271050639,8.85365728949361,0,0,0,74,0,0
"upper","BAU_n_h_LD-LR_2","BAU","north","heavy","LD-LR",2,"winterwheat",7.04930848567812,0.556264602945517,0.0646644466091845,74,6.92256617032411,7.17605080103212,0,0,0,74,0,0
"upper","BAU_n_h_LD-LR_3","BAU","north","heavy","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_n_h_LD-LR_4","BAU","north","heavy","LD-LR",4,"winterwheat",6.71831051300444,0.824562793227019,0.0958534777086491,74,6.53043769669549,6.90618332931339,0,0,0,74,0,0
"upper","BAU_n_h_LD-LR_5","BAU","north","heavy","LD-LR",5,"winterwheat",7.03829585121522,0.287778827695346,0.0334536092000484,74,6.97272677718313,7.10386492524732,0,0,0,74,0,0
"upper","BAU_n_h_LD-LR_6","BAU","north","heavy","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_n_m_LD-LR_1","BAU","north","medium","LD-LR",1,"winterwheat",7.94,0,0,74,7.94,7.94,0,0,0,74,0,0
"lower","BAU_n_m_LD-LR_2","BAU","north","medium","LD-LR",2,"winterwheat",7.11291301980437,0.030638200912391,0.00356161851142419,74,7.10593224752198,7.11989379208676,0,0,0,74,0,0
"lower","BAU_n_m_LD-LR_3","BAU","north","medium","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_n_m_LD-LR_4","BAU","north","medium","LD-LR",4,"winterwheat",7.85067182959553,0.0598069668316765,0.00695241867461231,74,7.83704508899329,7.86429857019777,0,0,0,74,0,0
"lower","BAU_n_m_LD-LR_5","BAU","north","medium","LD-LR",5,"winterwheat",6.73768787492914,0.00856038233726674,0.000995124233451555,74,6.73573743143158,6.7396383184267,0,0,0,74,0,0
"lower","BAU_n_m_LD-LR_6","BAU","north","medium","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_n_m_LD-LR_1","BAU","north","medium","LD-LR",1,"winterwheat",7.817,0.123839600190499,0.0143960611051241,74,7.78878372023396,7.84521627976604,0,0,0,74,0,0
"upper","BAU_n_m_LD-LR_2","BAU","north","medium","LD-LR",2,"winterwheat",6.45920555032562,0.427287777156443,0.0496711951585317,74,6.3618500078149,6.55656109283634,0,0,0,74,0,0
"upper","BAU_n_m_LD-LR_3","BAU","north","medium","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_n_m_LD-LR_4","BAU","north","medium","LD-LR",4,"winterwheat",6.50006981593277,0.64778731795006,0.0753037461198862,74,6.35247447353779,6.64766515832774,0,0,0,74,0,0
"upper","BAU_n_m_LD-LR_5","BAU","north","medium","LD-LR",5,"winterwheat",6.44709641608953,0.182998085621967,0.0212730953481929,74,6.40540114920707,6.48879168297199,0,0,0,74,0,0
"upper","BAU_n_m_LD-LR_6","BAU","north","medium","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
