"sensanaly","ID","scenario","region","soiltype","initdenres","year","crop","ww_yield_mean","ww_yield_sd","ww_yield_se","ww_yield_n","ww_yield_ci_l","ww_yield_ci_u","prod_cost_mean","prod_cost_sd","prod_cost_se","prod_cost_n","prod_cost_ci_l","prod_cost_ci_u"
"lower","BAU_n_h_LD-LR_1","BAU","north","heavy","LD-LR",1,"winterwheat",8.96,0,0,37,8.96,8.96,0,0,0,37,0,0
"lower","BAU_n_h_LD-LR_2","BAU","north","heavy","LD-LR",2,"winterwheat",8.03720207437599,0.0188809787676076,0.00310401378872864,37,8.03111820735008,8.04328594140189,0,0,0,37,0,0
"lower","BAU_n_h_LD-LR_3","BAU","north","heavy","LD-LR",3,"wosr",0,0,0,37,0,0,0,0,0,37,0,0
"lower","BAU_n_h_LD-LR_4","BAU","north","heavy","LD-LR",4,"winterwheat",8.80132631384461,0.0987688825044849,0.0162375042610191,37,8.76950080549301,8.8331518221962,0,0,0,37,0,0
"lower","BAU_n_h_LD-LR_5","BAU","north","heavy","LD-LR",5,"winterwheat",7.59193518923975,0.0166881561076142,0.00274351596408549,37,7.58655789795015,7.59731248052936,0,0,0,37,0,0
"lower","BAU_n_h_LD-LR_6","BAU","north","heavy","LD-LR",6,"wosr",0,0,0,37,0,0,0,0,0,37,0,0
"lower","BAU_n_m_LD-LR_1","BAU","north","medium","LD-LR",1,"winterwheat",7.94,0,0,37,7.94,7.94,0,0,0,37,0,0
"lower","BAU_n_m_LD-LR_2","BAU","north","medium","LD-LR",2,"winterwheat",7.13049366459185,0.0112092450193321,0.00184278852963581,37,7.12688179907377,7.13410553010994,0,0,0,37,0,0
"lower","BAU_n_m_LD-LR_3","BAU","north","medium","LD-LR",3,"wosr",0,0,0,37,0,0,0,0,0,37,0,0
"lower","BAU_n_m_LD-LR_4","BAU","north","medium","LD-LR",4,"winterwheat",7.85647258729362,0.0573264994357893,0.00942441845300489,37,7.83800072712573,7.87494444746151,0,0,0,37,0,0
"lower","BAU_n_m_LD-LR_5","BAU","north","medium","LD-LR",5,"winterwheat",6.73807185945158,0.0084057876783741,0.00138190298182855,37,6.7353633296072,6.74078038929597,0,0,0,37,0,0
"lower","BAU_n_m_LD-LR_6","BAU","north","medium","LD-LR",6,"wosr",0,0,0,37,0,0,0,0,0,37,0,0
"lower","BAU_n_l_LD-LR_1","BAU","north","light","LD-LR",1,"winterwheat",6.48,0,0,37,6.48,6.48,0,0,0,37,0,0
"lower","BAU_n_l_LD-LR_2","BAU","north","light","LD-LR",2,"winterwheat",5.81984756910217,0.00878573808636499,0.00144436644412851,37,5.81701661087168,5.82267852733266,0,0,0,37,0,0
"lower","BAU_n_l_LD-LR_3","BAU","north","light","LD-LR",3,"wosr",0,0,0,37,0,0,0,0,0,37,0,0
"lower","BAU_n_l_LD-LR_4","BAU","north","light","LD-LR",4,"winterwheat",6.42262496693036,0.0407484258087404,0.0066989999372444,37,6.40949492705336,6.43575500680736,0,0,0,37,0,0
"lower","BAU_n_l_LD-LR_5","BAU","north","light","LD-LR",5,"winterwheat",5.50016505795698,0.0060944198666947,0.00100191645429826,37,5.49820130170655,5.5021288142074,0,0,0,37,0,0
"lower","BAU_n_l_LD-LR_6","BAU","north","light","LD-LR",6,"wosr",0,0,0,37,0,0,0,0,0,37,0,0
"lower","BAU_c_h_LD-LR_1","BAU","central","heavy","LD-LR",1,"winterwheat",8.96,0,0,37,8.96,8.96,0,0,0,37,0,0
"lower","BAU_c_h_LD-LR_2","BAU","central","heavy","LD-LR",2,"winterwheat",8.03760983669437,0.0186123355593974,0.00305984911735242,37,8.03161253242435,8.04360714096438,0,0,0,37,0,0
"lower","BAU_c_h_LD-LR_3","BAU","central","heavy","LD-LR",3,"wosr",0,0,0,37,0,0,0,0,0,37,0,0
"lower","BAU_c_h_LD-LR_4","BAU","central","heavy","LD-LR",4,"winterwheat",8.80183650014431,0.0985678637038025,0.0162044569737576,37,8.77007576447574,8.83359723581287,0,0,0,37,0,0
"lower","BAU_c_h_LD-LR_5","BAU","central","heavy","LD-LR",5,"winterwheat",7.59234095947385,0.0165757459923977,0.00272503585498101,37,7.58699988919809,7.59768202974962,0,0,0,37,0,0
"lower","BAU_c_h_LD-LR_6","BAU","central","heavy","LD-LR",6,"wosr",0,0,0,37,0,0,0,0,0,37,0,0
