"imp","ID","scenario","initdenres","initcondit","region","soiltype","year","crop","wtd_yield","ww_yield","wtd_prod_cost_ww"
1,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
2,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
3,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
4,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
5,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
6,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
7,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
8,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
9,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
10,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
11,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
12,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
13,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
14,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
15,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
16,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
17,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
18,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
19,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
20,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
21,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
22,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
23,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
24,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
25,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
26,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
27,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
28,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
29,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
30,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
31,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
32,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
33,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
34,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
35,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
36,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
37,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.069,8.069,0
1,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.19117946505756,7.19117946505756,0
2,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.08662397080589,7.08662397080589,0
3,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.9359871655795,6.9359871655795,0
4,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.49518057325872,6.49518057325872,0
5,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.97953328285086,6.97953328285086,0
6,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.87172215275927,6.87172215275927,0
7,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.06812406576169,7.06812406576169,0
8,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.55913801843636,6.55913801843636,0
9,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.96150986165889,6.96150986165889,0
10,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.76618063850615,6.76618063850615,0
11,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.76114603782088,6.76114603782088,0
12,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.42664868718825,7.42664868718825,0
13,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.00133573909559,7.00133573909559,0
14,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.00633182381029,7.00633182381029,0
15,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.76943703378411,6.76943703378411,0
16,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.71413368993227,6.71413368993227,0
17,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.8316074704367,6.8316074704367,0
18,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.03694742215736,7.03694742215736,0
19,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.94513301173283,6.94513301173283,0
20,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.61942713434238,6.61942713434238,0
21,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.67807091813171,6.67807091813171,0
22,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.00141727459724,7.00141727459724,0
23,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.82407638196356,6.82407638196356,0
24,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.05571156377404,7.05571156377404,0
25,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.33278245217484,7.33278245217484,0
26,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.08083404951412,7.08083404951412,0
27,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.38515788371519,7.38515788371519,0
28,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.67294287998942,6.67294287998942,0
29,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.07586405332,7.07586405332,0
30,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.22581944976928,7.22581944976928,0
31,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.7868288973878,6.7868288973878,0
32,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.12711015422483,7.12711015422483,0
33,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.91378443228995,6.91378443228995,0
34,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.98474747209787,6.98474747209787,0
35,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.85257394218543,6.85257394218543,0
36,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.28285656530698,7.28285656530698,0
37,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.80374168658324,6.80374168658324,0
1,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
2,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
3,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
4,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
5,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
6,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
7,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
8,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
9,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
10,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
11,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
12,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
