"imp","ID","scenario","initdenres","initcondit","region","soiltype","year","crop","wtd_yield","ww_yield","wtd_prod_cost_ww"
1,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
2,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
3,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
4,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
5,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
6,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
7,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
8,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
9,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
10,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
11,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
12,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
13,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
14,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
15,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
16,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
17,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
18,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
19,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
20,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
21,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
22,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
23,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
24,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
25,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
26,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
27,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
28,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
29,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
30,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
31,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
32,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
33,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
34,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
35,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
36,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
37,"BAU_n_h_VD-HR_1","BAU","VD-HR","n_h_VD-HR","north","heavy",1,"winterwheat",8.366,8.366,0
1,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.3992561028174,7.3992561028174,0
2,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.30374478492049,7.30374478492049,0
3,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.17094157577593,7.17094157577593,0
4,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.7327082793345,6.7327082793345,0
5,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.21287350655496,7.21287350655496,0
6,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.11593667579073,7.11593667579073,0
7,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.29583315037319,7.29583315037319,0
8,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.81225072651348,6.81225072651348,0
9,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.1988160688727,7.1988160688727,0
10,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.01860355486524,7.01860355486524,0
11,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.01978751274845,7.01978751274845,0
12,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.58640602544419,7.58640602544419,0
13,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.23322127898083,7.23322127898083,0
14,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.24236861258532,7.24236861258532,0
15,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.02119705005597,7.02119705005597,0
16,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.96772866864218,6.96772866864218,0
17,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.08586129987084,7.08586129987084,0
18,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.26974519315833,7.26974519315833,0
19,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.18812142558397,7.18812142558397,0
20,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.87438795099983,6.87438795099983,0
21,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.93665906424601,6.93665906424601,0
22,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.23514735328129,7.23514735328129,0
23,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.07970097550448,7.07970097550448,0
24,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.2880539873552,7.2880539873552,0
25,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.51585993404196,7.51585993404196,0
26,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.3091289292136,7.3091289292136,0
27,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.55755907541916,7.55755907541916,0
28,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",6.94154326533654,6.94154326533654,0
29,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.30035664533143,7.30035664533143,0
30,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.42865820468489,7.42865820468489,0
31,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.04657088720204,7.04657088720204,0
32,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.34846187110508,7.34846187110508,0
33,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.16088917473127,7.16088917473127,0
34,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.22416011896826,7.22416011896826,0
35,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.10657032148156,7.10657032148156,0
36,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.47512035461822,7.47512035461822,0
37,"BAU_n_h_VD-HR_2","BAU","VD-HR","n_h_VD-HR","north","heavy",2,"winterwheat",7.05677562153252,7.05677562153252,0
1,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
2,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
3,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
4,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
5,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
6,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
7,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
8,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
9,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
10,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
11,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
12,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
13,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
14,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
15,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
16,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
17,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
18,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
19,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
20,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
21,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
22,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
23,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
24,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
25,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
26,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
27,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
28,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
29,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
30,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
31,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
32,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
33,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
34,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
35,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
36,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
37,"BAU_n_h_VD-HR_3","BAU","VD-HR","n_h_VD-HR","north","heavy",3,"wosr",3.35,0,0
1,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.82424976001521,7.82424976001521,0
2,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.98679305298234,7.98679305298234,0
3,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.99258790840568,7.99258790840568,0
4,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.31741736051424,7.31741736051424,0
5,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.78587181935128,7.78587181935128,0
6,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.87372078328668,7.87372078328668,0
7,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.99887120969988,7.99887120969988,0
8,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.20787265257286,7.20787265257286,0
9,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.34118982116506,7.34118982116506,0
10,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.67461009242039,7.67461009242039,0
