"ID","scenario","region","soiltype","initdenres_collapsed","year","crop","ww_yield_mean","ww_yield_sd","ww_yield_se","ww_yield_n","ww_yield_ci_l","ww_yield_ci_u","prod_cost_mean","prod_cost_sd","prod_cost_se","prod_cost_n","prod_cost_ci_l","prod_cost_ci_u"
"BAU_n_h_LD-LR_1","BAU","north","heavy","LD-LR",1,"winterwheat",8.96,0,0,74,8.96,8.96,0,0,0,74,0,0
"BAU_n_h_LD-LR_2","BAU","north","heavy","LD-LR",2,"winterwheat",7.85654447051804,0.141494050624697,0.0164483492814195,74,7.82430570592646,7.88878323510962,0,0,0,74,0,0
"BAU_n_h_LD-LR_3","BAU","north","heavy","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_h_LD-LR_4","BAU","north","heavy","LD-LR",4,"winterwheat",8.43108181430524,0.247584356798338,0.028781096867714,74,8.37467086444452,8.48749276416596,0,0,0,74,0,0
"BAU_n_h_LD-LR_5","BAU","north","heavy","LD-LR",5,"winterwheat",7.5099866202173,0.062104345788174,0.00721948355360489,74,7.49583643245223,7.52413680798236,0,0,0,74,0,0
"BAU_n_h_LD-LR_6","BAU","north","heavy","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_m_LD-LR_1","BAU","north","medium","LD-LR",1,"winterwheat",7.94,0,0,74,7.94,7.94,0,0,0,74,0,0
"BAU_n_m_LD-LR_2","BAU","north","medium","LD-LR",2,"winterwheat",7.01303851843901,0.100492408417208,0.01168200519018,74,6.99014178826626,7.03593524861176,0,0,0,74,0,0
"BAU_n_m_LD-LR_3","BAU","north","medium","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_m_LD-LR_4","BAU","north","medium","LD-LR",4,"winterwheat",7.62715748347367,0.170447164787414,0.0198140804371156,74,7.58832188581692,7.66599308113042,0,0,0,74,0,0
"BAU_n_m_LD-LR_5","BAU","north","medium","LD-LR",5,"winterwheat",6.69729801537719,0.0354670337810008,0.00412295893028861,74,6.68921701587382,6.70537901488055,0,0,0,74,0,0
"BAU_n_m_LD-LR_6","BAU","north","medium","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_l_LD-LR_1","BAU","north","light","LD-LR",1,"winterwheat",6.48,0,0,74,6.48,6.48,0,0,0,74,0,0
"BAU_n_l_LD-LR_2","BAU","north","light","LD-LR",2,"winterwheat",5.72724504789119,0.0797058169479214,0.00926561301434295,74,5.70908444638308,5.74540564939931,0,0,0,74,0,0
"BAU_n_l_LD-LR_3","BAU","north","light","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_l_LD-LR_4","BAU","north","light","LD-LR",4,"winterwheat",6.25858271740162,0.126500809450882,0.0147054203978469,74,6.22976009342184,6.2874053413814,0,0,0,74,0,0
"BAU_n_l_LD-LR_5","BAU","north","light","LD-LR",5,"winterwheat",5.47063013417264,0.0261889373739047,0.00304440213092618,74,5.46466310599602,5.47659716234925,0,0,0,74,0,0
"BAU_n_l_LD-LR_6","BAU","north","light","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_c_h_LD-LR_1","BAU","central","heavy","LD-LR",1,"winterwheat",8.96,0,0,74,8.96,8.96,0,0,0,74,0,0
"BAU_c_h_LD-LR_2","BAU","central","heavy","LD-LR",2,"winterwheat",7.85734232879525,0.141746538360305,0.0164777003844957,74,7.82504603604164,7.88963862154886,0,0,0,74,0,0
"BAU_c_h_LD-LR_3","BAU","central","heavy","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_c_h_LD-LR_4","BAU","central","heavy","LD-LR",4,"winterwheat",8.43172122285128,0.24740336671776,0.0287600571982108,74,8.37535151074278,8.48809093495977,0,0,0,74,0,0
"BAU_c_h_LD-LR_5","BAU","central","heavy","LD-LR",5,"winterwheat",7.51077251557601,0.0618538911401603,0.00719036879216088,74,7.49667939274337,7.52486563840864,0,0,0,74,0,0
"BAU_c_h_LD-LR_6","BAU","central","heavy","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_c_m_LD-LR_1","BAU","central","medium","LD-LR",1,"winterwheat",7.94,0,0,74,7.94,7.94,0,0,0,74,0,0
