"ID","scenario","region","soiltype","initdenres_collapsed","year","crop","ww_yield_mean","ww_yield_sd","ww_yield_se","ww_yield_n","ww_yield_ci_l","ww_yield_ci_u","prod_cost_mean","prod_cost_sd","prod_cost_se","prod_cost_n","prod_cost_ci_l","prod_cost_ci_u"
"BAU_n_h_LD-LR_1","BAU","north","heavy","LD-LR",1,"winterwheat",8.366,0,0,74,8.366,8.366,0,0,0,74,0,0
"BAU_n_h_LD-LR_2","BAU","north","heavy","LD-LR",2,"winterwheat",7.60017553709076,0.162819600180515,0.0189273940621976,74,7.56307784472885,7.63727322945266,0,0,0,74,0,0
"BAU_n_h_LD-LR_3","BAU","north","heavy","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_h_LD-LR_4","BAU","north","heavy","LD-LR",4,"winterwheat",8.38707858750877,0.250316048550394,0.0290986495836665,74,8.33004523432478,8.44411194069275,0,0,0,74,0,0
"BAU_n_h_LD-LR_5","BAU","north","heavy","LD-LR",5,"winterwheat",7.50471898357446,0.0631285514425032,0.00733854504250873,74,7.49033543529114,7.51910253185777,0,0,0,74,0,0
"BAU_n_h_LD-LR_6","BAU","north","heavy","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_m_LD-LR_1","BAU","north","medium","LD-LR",1,"winterwheat",7.416,0,0,74,7.416,7.416,0,0,0,74,0,0
"BAU_n_m_LD-LR_2","BAU","north","medium","LD-LR",2,"winterwheat",6.82342046123207,0.130122074848108,0.0151263839495391,74,6.79377274869097,6.85306817377317,0,0,0,74,0,0
"BAU_n_m_LD-LR_3","BAU","north","medium","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_m_LD-LR_4","BAU","north","medium","LD-LR",4,"winterwheat",7.59320149568032,0.176958133809675,0.0205709652118875,74,7.55288240386502,7.63352058749562,0,0,0,74,0,0
"BAU_n_m_LD-LR_5","BAU","north","medium","LD-LR",5,"winterwheat",6.69408068658719,0.0365605079508459,0.00425007272056047,74,6.68575054405489,6.70241082911949,0,0,0,74,0,0
"BAU_n_m_LD-LR_6","BAU","north","medium","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_l_LD-LR_1","BAU","north","light","LD-LR",1,"winterwheat",6.054,0,0,74,6.054,6.054,0,0,0,74,0,0
"BAU_n_l_LD-LR_2","BAU","north","light","LD-LR",2,"winterwheat",5.57583795012573,0.104190704501263,0.0121119233773268,74,5.55209858030617,5.59957731994529,0,0,0,74,0,0
"BAU_n_l_LD-LR_3","BAU","north","light","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_l_LD-LR_4","BAU","north","light","LD-LR",4,"winterwheat",6.23112442155287,0.133170573199805,0.0154807646846383,74,6.20078212277097,6.26146672033476,0,0,0,74,0,0
"BAU_n_l_LD-LR_5","BAU","north","light","LD-LR",5,"winterwheat",5.46802398444481,0.0272052398522525,0.00316254489428361,74,5.46182539645201,5.47422257243761,0,0,0,74,0,0
"BAU_n_l_LD-LR_6","BAU","north","light","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
